split,rows,both_success_rows,mean_delta_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,success_regressions_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
all_targeted_vs_static_rows,44994,37842,0.0054865163785,14998,17905,352,False,False,False,False,False
static_flow_both_success_rows_only,37842,37842,0.0054865163785,14998,17905,0,False,False,False,False,False
non_static_rows_only,44994,37842,0.0054865163785,14998,17905,352,False,False,False,False,False
abstention_static_flow_rows_only,0,0,,0,0,0,False,False,False,False,False
fingerprint_matched_rows_only,43325,36449,0.00435627239911,14785,16860,319,False,False,False,False,False
fingerprint_mismatched_rows_only,1669,1393,0.0350602872361,213,1045,33,False,False,False,False,False
