map_family,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,2470,6,0,380,2084,0.000785973189924,0,0.000785973189924,0.000785973189924,0.00127043244041,67,1907,110,False,False,False,False,False
random,2814,54,38,344,2378,0.00138848875564,0,-0.00130805557,0.0039818296639,0.00259482098824,73,2196,109,False,False,False,False,False
warehouse,2259,0,0,1879,380,0,0,0,0,0,0,380,0,False,False,False,False,False
