candidate_id,candidate_family,proposal_seed,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,predicted_context_budget_pairs,predicted_improvement_context_budget_pairs,mean_predicted_new_gap_vs_old_oracle,predicted_harmful_risk,nearest_g517_failed_param_distance,nearest_old14_param_distance,too_close_to_g517_failed_candidate,surrogate_selection_score,selected_batch
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,37,2,0.035209441609,0.02527248259,0.368646171823,0.0,False,0.035588528848,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.35,0.75,False,37,2,0.037074743955,0.075452528675,0.404227658628,0.05,False,0.038206531886,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.3,0.75,False,37,2,0.0376080874,0.081526778762,0.358329457343,0.05,False,0.038830989081,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.3,0.75,False,37,0,0.038053656788,0.097445231214,0.394841740448,0.070710678119,False,0.039515335256,A
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.35,0.75,False,37,0,0.03897500817,0.105059954447,0.590254182535,0.111803398875,False,0.040550907486,A
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False,37,0,0.039141146894,0.119570412755,0.615142259969,0.15,False,0.040934703086,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.35,0.75,False,37,0,0.039254266166,0.135483481981,0.483114893167,0.15,False,0.041286518396,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p98_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.92,0.98,0.35,0.75,False,37,0,0.040672119063,0.047378640699,0.27,0.036055512755,False,0.041382798674,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p95_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.92,0.95,0.35,0.75,False,37,0,0.040755883279,0.051839706009,0.273861278753,0.03,False,0.041533478869,B
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.65,1.0,0.45,0.95,1.0,0.35,0.75,False,37,0,0.039619322817,0.141131793291,0.667757440992,0.187082869339,False,0.041736299716,A
