normalized_context_key,short_budget_ms,candidate_id,target_teacher_param_vector,target_teacher_region,target_teacher_action_class,target_teacher_residual_vs_additive,target_teacher_congestion_component,target_teacher_flow_component,target_teacher_priority_block_adjustment,target_teacher_failed_candidate_adjustment,target_teacher_goal_progress_adjustment,target_teacher_wait_nonprogress_adjustment,edge_update_teacher_proxy_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,repair5g59_block_heavy_flow_guard,1.0|1.5|1.0|0.5|0.95|1.0|0.35|0.75,old14,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,repair5g59_block_heavy_flow_guard,1.0|1.5|1.0|0.5|0.95|1.0|0.35|0.75,old14,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
