stage,claim_flag,value,closed,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision,phase5p5_allowed,False,True,False,False,False,False,False
decision,phase6_allowed,False,True,False,False,False,False,False
decision,runtime_claim_allowed,False,True,False,False,False,False,False
decision,learned_runtime_policy_validated,False,True,False,False,False,False,False
decision,aaai_ready,False,True,False,False,False,False,False
iteration,phase5p5_allowed,False,True,False,False,False,False,False
iteration,phase6_allowed,False,True,False,False,False,False,False
iteration,runtime_claim_allowed,False,True,False,False,False,False,False
iteration,learned_runtime_policy_validated,False,True,False,False,False,False,False
iteration,aaai_ready,False,True,False,False,False,False,False
policy,phase5p5_allowed,False,True,False,False,False,False,False
policy,phase6_allowed,False,True,False,False,False,False,False
policy,runtime_claim_allowed,False,True,False,False,False,False,False
policy,learned_runtime_policy_validated,False,True,False,False,False,False,False
policy,aaai_ready,False,True,False,False,False,False,False
targeted,phase5p5_allowed,False,True,False,False,False,False,False
targeted,phase6_allowed,False,True,False,False,False,False,False
targeted,runtime_claim_allowed,False,True,False,False,False,False,False
targeted,learned_runtime_policy_validated,False,True,False,False,False,False,False
targeted,aaai_ready,False,True,False,False,False,False,False
blind,phase5p5_allowed,False,True,False,False,False,False,False
blind,phase6_allowed,False,True,False,False,False,False,False
blind,runtime_claim_allowed,False,True,False,False,False,False,False
blind,learned_runtime_policy_validated,False,True,False,False,False,False,False
blind,aaai_ready,False,True,False,False,False,False,False
