column,present_in_dataset,model_facing,forbidden_for_model,leakage_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,source_rows
feature_map_family_maze,True,True,False,allowed,False,False,False,False,False,
feature_map_family_random,True,True,False,allowed,False,False,False,False,False,
feature_map_family_warehouse,True,True,False,allowed,False,False,False,False,False,
feature_agents,True,True,False,allowed,False,False,False,False,False,
feature_budget_ms,True,True,False,allowed,False,False,False,False,False,
feature_iteration_final,True,True,False,allowed,False,False,False,False,False,
feature_obstacle_ratio_proxy,True,True,False,allowed,False,False,False,False,False,
feature_corridor_proxy,True,True,False,allowed,False,False,False,False,False,
feature_junction_proxy,True,True,False,allowed,False,False,False,False,False,
feature_trace_event_count,True,True,False,allowed,False,False,False,False,False,
feature_trace_events_per_agent,True,True,False,allowed,False,False,False,False,False,
feature_pibt_failure_audit_count,True,True,False,allowed,False,False,False,False,False,
feature_expanded_nodes,True,True,False,allowed,False,False,False,False,False,
feature_high_level_expansions,True,True,False,allowed,False,False,False,False,False,
feature_low_level_pibt_calls,True,True,False,allowed,False,False,False,False,False,
feature_expansions_per_agent,True,True,False,allowed,False,False,False,False,False,
feature_budget_per_agent,True,True,False,allowed,False,False,False,False,False,
theta_alpha_cong_commit_progress,True,True,False,allowed,False,False,False,False,False,
theta_alpha_cong_commit_nonprogress,True,True,False,allowed,False,False,False,False,False,
theta_alpha_cong_block,True,True,False,allowed,False,False,False,False,False,
theta_alpha_cong_wait_progress,True,True,False,allowed,False,False,False,False,False,
theta_alpha_cong_wait_nonprogress,True,True,False,allowed,False,False,False,False,False,
theta_alpha_flow_commit_progress,True,True,False,allowed,False,False,False,False,False,
theta_alpha_flow_wait_progress,True,True,False,allowed,False,False,False,False,False,
theta_rho_cong_decay,True,True,False,allowed,False,False,False,False,False,
theta_rho_flow_decay,True,True,False,allowed,False,False,False,False,False,
theta_lambda_cong,True,True,False,allowed,False,False,False,False,False,
theta_lambda_flow,True,True,False,allowed,False,False,False,False,False,
theta_flow_shield_beta,True,True,False,allowed,False,False,False,False,False,
theta_max_flow_shield,True,True,False,allowed,False,False,False,False,False,
theta_min_edge_cost,True,True,False,allowed,False,False,False,False,False,
theta_max_edge_cost,True,True,False,allowed,False,False,False,False,False,
theta_goal_projection_mode_flow_shield,True,True,False,allowed,False,False,False,False,False,
theta_goal_projection_mode_agent_progress,True,True,False,allowed,False,False,False,False,False,
theta_goal_projection_mode_none,True,True,False,allowed,False,False,False,False,False,
baseline_additive_success,True,False,True,blocked_from_model,False,False,False,False,False,
baseline_family_static_success,True,False,True,blocked_from_model,False,False,False,False,False,
baseline_static_flow_success,True,False,True,blocked_from_model,False,False,False,False,False,
candidate_id,True,False,True,blocked_from_model,False,False,False,False,False,
method,True,False,True,blocked_from_model,False,False,False,False,False,
quality_delta_vs_family_static,True,False,True,blocked_from_model,False,False,False,False,False,
quality_delta_vs_static_flow,True,False,True,blocked_from_model,False,False,False,False,False,
role,True,False,True,blocked_from_model,False,False,False,False,False,
seed,True,False,True,blocked_from_model,False,False,False,False,False,
selected_success,True,False,True,blocked_from_model,False,False,False,False,False,
success_regression_vs_additive_if_available,True,False,True,blocked_from_model,False,False,False,False,False,
success_regression_vs_family_static,True,False,True,blocked_from_model,False,False,False,False,False,
success_regression_vs_static_flow,True,False,True,blocked_from_model,False,False,False,False,False,
source::g539_param_optimizer_probe,True,False,False,source_audit,False,False,False,False,False,216
source::g539_frozen_param_blind,True,False,False,source_audit,False,False,False,False,False,144
source::g540_stage1,True,False,False,source_audit,False,False,False,False,False,3168
source::g540_stage2,True,False,False,source_audit,False,False,False,False,False,6120
source::g540_stage3,False,False,False,source_audit,False,False,False,False,False,0
source::g540_blind,False,False,False,source_audit,False,False,False,False,False,0
source::g541_balanced_extension,True,False,False,source_audit,False,False,False,False,False,9600
source::g541_stratum_refinement,True,False,False,source_audit,False,False,False,False,False,3360
source::g541_frozen_blind,True,False,False,source_audit,False,False,False,False,False,7200
source::g542_ladder_overlay_probe,True,False,False,source_audit,False,False,False,False,False,7560
source::g542_frozen_blind,False,False,False,source_audit,False,False,False,False,False,0
source::g543_stage1,True,False,False,source_audit,False,False,False,False,False,12960
source::g543_refinement,True,False,False,source_audit,False,False,False,False,False,15120
source::g543_blind,False,False,False,source_audit,False,False,False,False,False,0
