pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,family_rows,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_pool_285508689866,family_centroid,g553_high_quality_nearmiss,1.64436114932,0.428455498045,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_high_quality_nearmiss,164,1.25,1.21380212453,1.25,0.75,0.75,1,0.962464531473,0.95,1,0.877939646865,0.85697180069,0.368196567265,0.788184275766,0.965119486529,10.7909765766,1,0,0,False,False,False,False,False
g554_pool_349563201297,family_centroid,g553_zero_regression_low_support,1.53221221694,0.40030651324,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,600,1.25,1.22593501775,1.25,0.75,0.75,1,0.925444743106,0.95,1,0.98126532337,0.838395586045,0.359873032631,0.763811769727,0.912562407153,10.7801391775,1,0,0,False,False,False,False,False
g554_pool_600960186316,family_centroid,hand_legacy_midpoint,0.733333333333,0.733333333333,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,hand_legacy_midpoint,1,1.25,1.25,1.25,0.75,0.75,1,0.5,0.95,1,1,0.5,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_pool_853279913529,family_centroid,hand_static_reference,0,1.46666666667,,True,False,hand_static_reference,1,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_pool_874090128576,family_centroid,legacy_helper_reference,1.46666666667,0,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,legacy_helper_reference,1,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_pool_428300038873,family_centroid,shrinkage_to_hand_from_risky,0.544700125024,1.09555547124,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,764,1.25,1.24066570115,1.25,0.75,0.75,1,0.326686989737,0.95,1,0.985679913138,0.294834102656,0.354080915986,0.756665247476,0.973345502656,10.9238629356,1,0,0,False,False,False,False,False
