field,bucket,contexts,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,normalized_context_key,map,agents,seed,map_family,missing_from_g522_targeted
map,maze-32-32-4,11,False,False,False,False,False,,,,,,
map,random-32-32-20,9,False,False,False,False,False,,,,,,
map,warehouse-10-20-10-2-1,1,False,False,False,False,False,,,,,,
agents,100,10,False,False,False,False,False,,,,,,
agents,50,11,False,False,False,False,False,,,,,,
context_bucket,candidate_induced_risk_contexts,3,False,False,False,False,False,,,,,,
context_bucket,new_opportunity_contexts,16,False,False,False,False,False,,,,,,
context_bucket,static_near_oracle_or_no_new_safe_contexts,2,False,False,False,False,False,,,,,,
,,,False,False,False,False,False,maze-32-32-4|a50|s146|it0|14650fb0739d0383,maze-32-32-4,50,146,maze,True
,,,False,False,False,False,False,maze-32-32-4|a50|s147|it0|14650fb0739d0383,maze-32-32-4,50,147,maze,True
,,,False,False,False,False,False,maze-32-32-4|a50|s148|it0|14650fb0739d0383,maze-32-32-4,50,148,maze,True
,,,False,False,False,False,False,maze-32-32-4|a50|s149|it0|14650fb0739d0383,maze-32-32-4,50,149,maze,True
,,,False,False,False,False,False,maze-32-32-4|a50|s154|it0|14650fb0739d0383,maze-32-32-4,50,154,maze,True
,,,False,False,False,False,False,maze-32-32-4|a100|s147|it0|14650fb0739d0383,maze-32-32-4,100,147,maze,True
,,,False,False,False,False,False,maze-32-32-4|a100|s149|it0|14650fb0739d0383,maze-32-32-4,100,149,maze,True
,,,False,False,False,False,False,maze-32-32-4|a100|s152|it0|14650fb0739d0383,maze-32-32-4,100,152,maze,True
,,,False,False,False,False,False,maze-32-32-4|a100|s154|it0|14650fb0739d0383,maze-32-32-4,100,154,maze,True
,,,False,False,False,False,False,random-32-32-20|a50|s147|it0|14650fb0739d0383,random-32-32-20,50,147,random,True
,,,False,False,False,False,False,random-32-32-20|a50|s150|it0|14650fb0739d0383,random-32-32-20,50,150,random,True
,,,False,False,False,False,False,random-32-32-20|a50|s151|it0|14650fb0739d0383,random-32-32-20,50,151,random,True
,,,False,False,False,False,False,random-32-32-20|a50|s153|it0|14650fb0739d0383,random-32-32-20,50,153,random,True
,,,False,False,False,False,False,random-32-32-20|a50|s154|it0|14650fb0739d0383,random-32-32-20,50,154,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s146|it0|14650fb0739d0383,random-32-32-20,100,146,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s148|it0|14650fb0739d0383,random-32-32-20,100,148,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s150|it0|14650fb0739d0383,random-32-32-20,100,150,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s151|it0|14650fb0739d0383,random-32-32-20,100,151,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s152|it0|14650fb0739d0383,random-32-32-20,100,152,random,True
,,,False,False,False,False,False,random-32-32-20|a100|s154|it0|14650fb0739d0383,random-32-32-20,100,154,random,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s147|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,147,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s148|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,148,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s149|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,149,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s150|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,150,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s151|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,151,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s152|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,152,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s153|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,153,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s154|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,154,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a50|s155|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,155,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a100|s146|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,146,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a100|s147|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,147,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a100|s148|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,148,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a100|s149|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,149,warehouse,True
,,,False,False,False,False,False,warehouse-10-20-10-2-1|a100|s150|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,150,warehouse,True
