agents,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
100,3570,46,38,1670,1816,0,0,0,0,0.000560224089636,0,1816,0,False,False,False,False,False
50,3973,14,0,933,3026,0.0016324502276,0,0.0016324502276,0.0016324502276,0.00212428753806,140,2667,219,False,False,False,False,False
