theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,support_pairs,pair_rows,seed_block_support,success_regression_count,success_regression_rate,quality_only_mean_delta_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,bootstrap_ci_lower,bootstrap_ci_upper,region_status,interpretation,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.0153603269685,163,81,-0.0224409804039,-0.00991337019646,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.0137028294986,167,67,-0.0175334299848,-0.0101752186959,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
edge_cost_clamp_sweep,random,100,2000,c0_short2000_t050_i2,320,580,3,0,0,-0.0151610374828,190,110,-0.0183672410951,-0.012063129031,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
edge_cost_clamp_sweep,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.0158603070127,170,60,-0.0194440916565,-0.0124669431081,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
g543_true_near_signal_neighborhood,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.0201653282088,173,75,-0.0261517851324,-0.0147779559504,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
g546_g548_safe_no_gain_neighborhood,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.00753890898054,142,91,-0.0126428153253,-0.00291984664235,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
lambda_flow_lambda_cong_sweep,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.017279850435,158,77,-0.0218942591203,-0.012193665156,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,100,2000,c0_short2000_t050_i2,320,580,3,0,0,-0.00765812301948,168,114,-0.0113539460427,-0.00394392716944,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.013276090149,154,80,-0.0181774415414,-0.00900952001162,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
surrogate_guided_theta_if_model_exists,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,-0.00790179291181,142,93,-0.0124351220166,-0.00415187064615,true_safe_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
