row_type,model,policy,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,0,0.011885354014,26,144,0.154098360656,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,1,0.010204633845,41,135,0.140983606557,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,2,0.010240055729,27,127,0.116393442623,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,3,0.011980086733,36,137,0.134426229508,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,4,0.01024781352,33,134,0.147540983607,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,5,0.010284927997,33,145,0.15737704918,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,6,0.009659025122,27,154,0.144262295082,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,7,0.010792488582,37,135,0.13606557377,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,8,0.01088973036,30,134,0.137704918033,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,9,0.010950840581,31,142,0.118032786885,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,10,0.014117589837,38,128,0.132786885246,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,11,0.011426540728,42,122,0.108196721311,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,12,0.012973283014,34,116,0.140983606557,False,False,False,False,False
bootstrap,hierarchical_policy_no_abstention,hierarchical_policy_no_abstention,13,0.011595790126,31,119,0.113114754098,False,False,False,False,False
