better,bootstrap,equal,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
6,"{'mean': -7.568507284090931e-05, 'ci_low': -0.00015151438873484908, 'ci_high': -1.700241046969709e-05, 'prob_mean_lt_0': 0.9985, 'samples': 2000}",1314,-7.568507284090931e-05,0.0,always_additive_defer,0,1440,0,0
9,"{'mean': -0.00012489991306818203, 'ci_low': -0.0002696369385681821, 'ci_high': -1.6213580742424794e-05, 'prob_mean_lt_0': 0.991, 'samples': 2000}",1309,-0.00012489991306818203,0.0,laur_disable,0,1440,0,2
6,"{'mean': -9.628693209249464e-05, 'ci_low': -0.00023967481767247936, 'ci_high': 1.638166842304733e-05, 'prob_mean_lt_0': 0.94, 'samples': 2000}",1310,-9.628693209249464e-05,0.0,laur_force_additive_direct,0,1440,0,4
8,"{'mean': -8.358930771969711e-05, 'ci_low': -0.000199557064886364, 'ci_high': -3.159836174242358e-06, 'prob_mean_lt_0': 0.98, 'samples': 2000}",1311,-8.358930771969711e-05,0.0,repair5f_candidate_additive_ltm,0,1440,0,1
709,"{'mean': -0.014892081142097195, 'ci_low': -0.016406881523082766, 'ci_high': -0.013542542061141234, 'prob_mean_lt_0': 1.0, 'samples': 2000}",443,-0.014892081142097195,-0.0029411764700000287,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,1440,0,168
446,"{'mean': -0.0061228894775852945, 'ci_low': -0.007177452967730104, 'ci_high': -0.005159662753835486, 'prob_mean_lt_0': 1.0, 'samples': 2000}",667,-0.0061228894775852945,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,1440,0,207
679,"{'mean': -0.014045606718108505, 'ci_low': -0.015471859339820945, 'ci_high': -0.012640467526817155, 'prob_mean_lt_0': 1.0, 'samples': 2000}",472,-0.014045606718108505,-0.003154574140000088,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,1440,0,169
679,"{'mean': -0.014045606718108505, 'ci_low': -0.015471859339820945, 'ci_high': -0.012640467526817155, 'prob_mean_lt_0': 1.0, 'samples': 2000}",472,-0.014045606718108505,-0.003154574140000088,repair5g2_best_frozen_static_candidate,0,1440,0,169
215,"{'mean': 0.00026937202398939444, 'ci_low': -0.0003825608985250006, 'ci_high': 0.0009427936294553044, 'prob_mean_lt_0': 0.2135, 'samples': 2000}",889,0.00026937202398939444,0.0,repair5g2_c_equiv_best_frozen_baseline,2,1440,0,216
613,"{'mean': -0.01332257944519135, 'ci_low': -0.014646816332350805, 'ci_high': -0.012108348328936982, 'prob_mean_lt_0': 1.0, 'samples': 2000}",598,-0.01332257944519135,0.0,repair5g2_frozen_static_or_selector,0,1440,0,109
679,"{'mean': -0.014045606718108505, 'ci_low': -0.015471859339820945, 'ci_high': -0.012640467526817155, 'prob_mean_lt_0': 1.0, 'samples': 2000}",472,-0.014045606718108505,-0.003154574140000088,repair5g2_g1_top_diagnostic_candidate,0,1440,0,169
631,"{'mean': -0.01236480159777677, 'ci_low': -0.013753202897015192, 'ci_high': -0.01112146513467199, 'prob_mean_lt_0': 1.0, 'samples': 2000}",510,-0.01236480159777677,0.0,repair5g4_random_flow_shield_diagnostic_seed0,0,1440,0,179
681,"{'mean': -0.014373199195279214, 'ci_low': -0.015853795791059944, 'ci_high': -0.012995521428958276, 'prob_mean_lt_0': 1.0, 'samples': 2000}",475,-0.014373199195279214,-0.002307349620000121,repair5g4_shuffled_flow_shield_diagnostic_seed0,0,1440,0,164
10,"{'mean': -0.0001302778111523883, 'ci_low': -0.000285002120826384, 'ci_high': -1.149879614101591e-05, 'prob_mean_lt_0': 0.982, 'samples': 2000}",1305,-0.0001302778111523883,0.0,repair5g_dual_additive_parity,0,1440,0,5
3,"{'mean': 8.836908328246013e-05, 'ci_low': -5.1080580476081806e-05, 'ci_high': 0.00022954023818982553, 'prob_mean_lt_0': 0.0925, 'samples': 2000}",1298,8.836908328246013e-05,0.0,repair5g_dual_c_equiv_additive,4,1440,0,19
228,"{'mean': 1.1111330695981388e-05, 'ci_low': -0.0007003824295595144, 'ci_high': 0.0006516543095852928, 'prob_mean_lt_0': 0.482, 'samples': 2000}",879,1.1111330695981388e-05,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,1,1440,0,213
215,"{'mean': 0.00026937202398939444, 'ci_low': -0.0003825608985250006, 'ci_high': 0.0009427936294553044, 'prob_mean_lt_0': 0.2135, 'samples': 2000}",889,0.00026937202398939444,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,1440,0,216
