plan_row_id,context_id,map,map_family,agents,seed,budget_ms,fresh_seed_block,role,candidate_id,materialized_method,sampling_policy,expected_adapter_family,requires_real_solver_replay,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,sample_index
g546_smoke_00000000,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,repair5g59_alias,True,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,
g546_smoke_00000001,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,repair5g59_alias,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g546_smoke_00000002,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,repair5g59_alias,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,
g546_smoke_00000003,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,generated_theta::broad_sobol_lhs,repair5g546_theta_1840343,repair5g518_grid_c0p8_b0p51_f0p62_w1p12_dc0p91_df0p98_beta0p65_max0p83_c0,broad_sobol_lhs,repair5g518_grid,True,0.800916800917,0.834112834113,0.508104258104,1.19305619306,1.12299362299,0.621435621436,0.788950788951,0.91001001001,0.976289276289,1.35936085936,0.22536022536,0.653231053231,0.827116827117,0.439474939475,9.49231749232,1,0,0,False,False,False,False,False,0
g546_smoke_00000004,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,generated_theta::local_static_flow_perturb,repair5g546_theta_8710946,repair5g518_grid_c1p37_b1p31_f1p04_w0p9_dc0p95_df1p00_beta0p38_max0p79_c0,local_static_flow_perturb,repair5g518_grid,True,1.36912033912,1.11004641005,1.30911316911,0.868144168144,0.902875742876,1.03611397611,1.0977957478,0.953914415914,0.995876159876,0.928587328587,1.12707850708,0.382234624235,0.791611391611,1,11.4004111204,1,0,0,False,False,False,False,False,1
g546_smoke_00000005,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,generated_theta::prior_safe_signal_near,repair5g546_theta_7391120,repair5g518_grid_c1p01_b1p53_f1p1_w0p83_dc0p96_df0p99_beta0p45_max0p81_c0,prior_safe_signal_near,repair5g518_grid,True,1.00662873163,1.24405384405,1.53188905689,0.716553191553,0.831411306411,1.1023989524,0.716393516394,0.955495660496,0.986202086202,0.902457152457,0.891477891478,0.453242928243,0.811142461142,0.907463032463,10.2634449634,1,0,0,False,False,False,False,False,2
g546_smoke_00000006,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,generated_theta::generator_topk,repair5g546_theta_4081703,repair5g518_grid_c1p22_b1p32_f0p97_w0p7_dc0p95_df1p00_beta0p33_max0p77_c0,generator_topk,repair5g518_grid,True,1.21794151794,1.3155019905,1.31882578383,0.805783030783,0.704085239085,0.973888003888,1.05166147666,0.949051933052,1,0.983964443964,1.06028431028,0.330795996796,0.770658245658,0.999574794575,10.9508952309,1,0,0,False,False,False,False,False,3
g546_smoke_00000007,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,repair5g59_alias,True,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,
g546_smoke_00000008,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,repair5g59_alias,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g546_smoke_00000009,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,repair5g59_alias,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,
g546_smoke_00000010,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,generated_theta::broad_sobol_lhs,repair5g546_theta_0880577,repair5g518_grid_c0p93_b1p05_f0p26_w1p41_dc0p96_df0p99_beta0p57_max1p37_c0,broad_sobol_lhs,repair5g518_grid,True,0.933641433641,1.61351111351,1.04827729828,0.920315920316,1.4145999146,0.25677025677,0.831255831256,0.96319016319,0.990150590151,1.22006972007,1.21374421374,0.569146169146,1.37343487343,0.42807042807,8.40644440644,1,0,0,False,False,False,False,False,0
g546_smoke_00000011,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,generated_theta::local_static_flow_perturb,repair5g546_theta_3088221,repair5g518_grid_c1p38_b1p22_f1p01_w0p54_dc0p94_df0p99_beta0p38_max0p78_c0,local_static_flow_perturb,repair5g518_grid,True,1.37534294534,1.34563184563,1.21658623659,0.711844611845,0.544194544195,1.0065017865,1.07164622165,0.941815763816,0.993961653962,0.881416961417,1.00847926848,0.382784896785,0.775048975049,1,11.322010722,1,0,0,False,False,False,False,False,1
g546_smoke_00000012,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,generated_theta::prior_safe_signal_near,repair5g546_theta_3703872,repair5g518_grid_c1p25_b1p25_f0p96_w0p78_dc0p94_df1p00_beta0p28_max0p91_c0,prior_safe_signal_near,repair5g518_grid,True,1.25361057861,1.13352173352,1.24627774628,0.556672531673,0.77640962641,0.956196506197,0.952966252966,0.937593652594,0.997812457812,1.07707532708,0.858365958366,0.281593796594,0.906144681145,0.849882999883,10.4102531103,1,0,0,False,False,False,False,False,2
g546_smoke_00000013,random-32-32-20|a100|s486|b2000,random-32-32-20,random,100,486,2000,480_499,generated_theta::generator_topk,repair5g546_theta_2168337,repair5g518_grid_c1p2_b1p27_f1p05_w0p7_dc0p95_df1p00_beta0p32_max0p77_c0,generator_topk,repair5g518_grid,True,1.20038466038,1.18672251172,1.27098122598,0.784926109926,0.703577668578,1.04997155997,1.05316102816,0.945398937399,1,0.95596001596,1.03631188631,0.315755661756,0.77147019647,1,10.8931578932,1,0,0,False,False,False,False,False,3
