candidate_index,candidate_id,method,candidate_group,event_condition,edge_class,alpha_cong_commit,alpha_cong_block,alpha_wait_or_nonprogress,alpha_flow_progress,rho_cong_decay,rho_flow_decay,flow_shield_beta,max_flow_shield,goal_projection_mode,min_edge_cost,max_edge_cost,negative_control,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
96,repair5g543_negative_control_001,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,negative_controls,negative_control,none,1,1,0.75,0,0.95,1,0,0,none,0.25,11,True,False,False,False,False,False,False
97,repair5g543_negative_control_002,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p75_c1,negative_controls,negative_control,none,1,1,0.75,0,0.95,1,0,0.75,none,0.25,11,True,False,False,False,False,False,False
98,repair5g543_negative_control_003,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc0p95_df1p00_beta0p35_max0p00_c1,negative_controls,negative_control,none,1,1,0.75,0,0.95,1,0.35,0,none,0.25,11,True,False,False,False,False,False,False
99,repair5g543_negative_control_004,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c1,negative_controls,negative_control,none,1,1,0.75,0,0.95,1,0.35,0.75,none,0.25,11,True,False,False,False,False,False,False
100,repair5g543_negative_control_005,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc1p00_df1p00_beta0p00_max0p00_c1,negative_controls,negative_control,none,1,1,0.75,0,1,1,0,0,none,0.25,11,True,False,False,False,False,False,False
101,repair5g543_negative_control_006,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc1p00_df1p00_beta0p00_max0p75_c1,negative_controls,negative_control,none,1,1,0.75,0,1,1,0,0.75,none,0.25,11,True,False,False,False,False,False,False
102,repair5g543_negative_control_007,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc1p00_df1p00_beta0p35_max0p00_c1,negative_controls,negative_control,none,1,1,0.75,0,1,1,0.35,0,none,0.25,11,True,False,False,False,False,False,False
103,repair5g543_negative_control_008,repair5g518_grid_c1p00_b1p00_f0p00_w0p75_dc1p00_df1p00_beta0p35_max0p75_c1,negative_controls,negative_control,none,1,1,0.75,0,1,1,0.35,0.75,none,0.25,11,True,False,False,False,False,False,False
104,repair5g543_negative_control_009,repair5g518_grid_c1p00_b1p00_f0p00_w1p00_dc0p95_df1p00_beta0p00_max0p00_c1,negative_controls,negative_control,none,1,1,1,0,0.95,1,0,0,none,0.25,11,True,False,False,False,False,False,False
105,repair5g543_negative_control_010,repair5g518_grid_c1p00_b1p00_f0p00_w1p00_dc0p95_df1p00_beta0p00_max0p75_c1,negative_controls,negative_control,none,1,1,1,0,0.95,1,0,0.75,none,0.25,11,True,False,False,False,False,False,False
106,repair5g543_negative_control_011,repair5g518_grid_c1p00_b1p00_f0p00_w1p00_dc0p95_df1p00_beta0p35_max0p00_c1,negative_controls,negative_control,none,1,1,1,0,0.95,1,0.35,0,none,0.25,11,True,False,False,False,False,False,False
107,repair5g543_negative_control_012,repair5g518_grid_c1p00_b1p00_f0p00_w1p00_dc0p95_df1p00_beta0p35_max0p75_c1,negative_controls,negative_control,none,1,1,1,0,0.95,1,0.35,0.75,none,0.25,11,True,False,False,False,False,False,False
