split,run_id,checkpoint_id,map_name,agents,seed,iteration,decision_target,selected_decision,target_rule,predicted_rule,fallback_reason,attention_top1,attention_top3,decision_correct,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,selected_rule_harmful,target_delta,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,best_safe_nonadditive_advantage,opportunity_margin,rule_scores,harmful_probs,opportunity_prob,defer_prob,top3_rules,harmful_labels
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,empty-16-16,50,1,0,use_nonadditive,use_nonadditive,wait_light,block_heavy,selected,False,True,True,0.0426356589147,0.0,0.0426356589147,0.0426356589147,0.0,0.0426356589147,False,0.077519379845,True,True,0.077519379845,0.01,"[0.9358396470732987, 0.9431896263360977, 1.8855793297290802, 1.0317107647657395, 1.9761871114373206, 0.8894820672273636, 1.1064512301795184, 1.068913825955242]","[0.0013712039217352867, 0.27711960673332214, 0.16368120908737183, 0.272606760263443, 0.2166985720396042, 0.3277636468410492, 0.014027112163603306, 0.012039710767567158]",0.6172482967376709,0.24522092938423157,"[""wait_light"", ""block_heavy"", ""decay_095""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,empty-16-16,50,1,1,use_nonadditive,use_nonadditive,commit_heavy,commit_heavy,selected,True,True,True,0.135658914729,0.0,0.135658914729,0.1,0.0,0.1,False,0.135658914729,True,True,0.1,0.01,"[0.9267017069435678, 2.521832156330347, 2.4630865724384785, 0.812142943739891, 1.6748615854978561, 2.1253418737649916, 2.1092184820771216, 2.2021003641188144]","[0.0012406558962538838, 0.11573194712400436, 0.1109139546751976, 0.30957284569740295, 0.258002907037735, 0.16316267848014832, 0.0690637081861496, 0.0730232521891594]",0.8944534063339233,0.054988063871860504,"[""commit_heavy"", ""block_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,empty-16-16,50,1,2,use_nonadditive,defer_ltm,block_light,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0968992248062,True,True,0.0968992248062,0.01,"[1.166913624429144, 1.098261340856552, 1.6162376698851586, 1.5575334736704827, 2.304279134273529, 0.6373588043451309, 1.4330997851490974, 1.4926716470718384]","[0.003105609444901347, 0.32565075159072876, 0.244395449757576, 0.2338125854730606, 0.2028442621231079, 0.36298832297325134, 0.24520562589168549, 0.22576260566711426]",0.7144017815589905,0.17669615149497986,"[""wait_light"", ""block_heavy"", ""block_light""]","[0, 1, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,empty-16-16,50,1,3,defer_ltm,use_nonadditive,block_heavy,wait_light,selected,False,False,False,0.00581395348837,0.0,0.00581395348837,0.00581395348837,0.0,0.00581395348837,False,0.0077519379845,False,False,0.0077519379845,0.01,"[1.2507021501194686, 1.1891398698091507, 1.6737111327052117, 1.6396866416931153, 2.0472566014528275, 1.0829151013493539, 1.4162101411819459, 1.3650423309206963]","[0.005679952446371317, 0.2643989026546478, 0.18650533258914948, 0.15234661102294922, 0.15391644835472107, 0.24492572247982025, 0.2026515007019043, 0.20301927626132965]",0.7000192403793335,0.21340857446193695,"[""wait_light"", ""block_heavy"", ""block_light""]","[0, 1, 0, 1, 0, 1, 1, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,empty-16-16,100,1,0,use_nonadditive,use_nonadditive,wait_light,decay_095,selected,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0951923076923,True,True,0.0951923076923,0.01,"[0.6160283669270575, 1.1764134049415589, 1.5277445149421691, -0.07468823850154876, 2.2609862992167473, -0.37398325562477114, 0.8158480658754707, 0.7815381326153874]","[0.002345520071685314, 0.3392106294631958, 0.2708622217178345, 0.4591583013534546, 0.23728753626346588, 0.5097832083702087, 0.008585380390286446, 0.007289459928870201]",0.6978712677955627,0.17052260041236877,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,empty-16-16,100,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0346153846154,True,True,0.0346153846154,0.01,"[1.2088715392909943, 1.54217868745327, 2.0518835529685022, 1.3896001201868058, 2.3487939083576204, 0.2820277500152588, 1.361550372838974, 1.3374420195817946]","[0.0030370624735951424, 0.3419192135334015, 0.22681482136249542, 0.3183562457561493, 0.22997039556503296, 0.47765231132507324, 0.33334881067276, 0.34803256392478943]",0.6017034649848938,0.2222323715686798,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 1]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,empty-16-16,100,1,2,use_nonadditive,defer_ltm,wait_light,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.118269230769,True,True,0.1,0.01,"[1.2460729761328548, 1.1831358635425568, 1.4971344500780106, 1.3137827223539353, 2.1796437591314315, 1.1042169451713562, 1.5331345731019974, 1.5168365693092347]","[0.0024930466897785664, 0.3068687319755554, 0.2228914201259613, 0.2605721056461334, 0.1887853443622589, 0.2960258722305298, 0.2396586835384369, 0.23964416980743408]",0.6306200623512268,0.24968662858009338,"[""wait_light"", ""decay_095"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,empty-16-16,100,1,3,use_nonadditive,defer_ltm,decay_090,additive_ltm,low_opportunity,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0471153846154,True,True,0.0471153846154,0.01,"[1.1521248024050146, 0.9957250654697418, 1.233610094189644, 1.1239476591348647, 1.7172942823171615, 0.3134773427248001, 1.3262837195396424, 1.234882583618164]","[0.004605445545166731, 0.4116162657737732, 0.35898980498313904, 0.37348076701164246, 0.336685448884964, 0.4651707708835602, 0.3029989004135132, 0.3162806034088135]",0.4742215871810913,0.36728277802467346,"[""wait_light"", ""decay_095"", ""decay_090""]","[0, 1, 1, 1, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,empty-16-16,200,1,0,use_nonadditive,use_nonadditive,commit_heavy,decay_095,selected,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,False,1.14440611138,True,True,0.1,0.01,"[0.1303879785677418, 1.648645138144493, 0.695890667438507, 0.06478521943092347, 1.8262524896860122, 0.004655999392271041, 0.18280693244189025, 0.1357625813782215]","[0.0020793669391423464, 0.2896023094654083, 0.3851889371871948, 0.454567015171051, 0.27024003863334656, 0.46242767572402954, 0.012757206335663795, 0.011202238500118256]",0.7778845429420471,0.11480750888586044,"[""wait_light"", ""commit_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,empty-16-16,200,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,low_opportunity,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.116806308526,True,True,0.1,0.01,"[0.8492678915895522, 0.7410955804586411, 1.125077798962593, 1.1784290421009063, 1.8402459013462067, -0.15615867137908934, 0.8100460654497147, 0.6665554296970367]","[0.004360499791800976, 0.4380713999271393, 0.4089139401912689, 0.4258973002433777, 0.3959447741508484, 0.5824320316314697, 0.47544893622398376, 0.5042421221733093]",0.4259966313838959,0.37918031215667725,"[""wait_light"", ""block_light"", ""block_heavy""]","[0, 1, 0, 0, 0, 1, 0, 1]"
