candidate_id,registry_row_id,candidate_family,theta_cluster,source_model,distance_from_g554_c00051,theta_in_bounds,goal_projection_mode,predicted_regression_risk_vs_g554_c00051,predicted_success_gain_rate_vs_g554_c00051,predicted_quality_delta_vs_g554_c00051,support_coverage,pareto_score,selected_for_solver,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00051,g554_c00051,promoted_g555_baseline,g556_baseline,G5.55 blind promotion,0,True,flow_shield,0,0,0,1,0,False,1.25,1.13381402673,1.25,0.75,0.75,1.05448748099,0.685779854533,0.9825,1,0.675,0.65,0.310735509535,0.814166471667,1,10.7172797083,1,0,0,False,False,False,False,False
g556_c000001,g556_c000001,ftrst_gradient_guided_search,g556_surrogate_candidate,FTRST_or_control_ensemble,0.14512995261,True,flow_shield,0.103024290767,0.00449255952312,-0.00714201490996,0.817165898502,-0.00351183554846,False,1.25,1.14799929292,1.25,0.75,0.75,1.0199518801,0.677840108352,0.980082658252,1,0.650225834322,0.65,0.320134795737,0.846457849793,1,10.7887853698,1,0,0,False,False,False,False,False
g556_c000002,g556_c000002,ftrst_acquisition_sampling,g556_surrogate_candidate,FTRST_or_control_ensemble,0.207175886467,True,flow_shield,0.0743372684272,0.00798140459859,-0.0031305385844,0.850697297908,0.00849676926623,False,1.25,1.14192967863,1.25,0.75,0.75,1.01944504287,0.737674226975,0.981615143405,1,0.646777984166,0.65,0.340209283114,0.845403504206,0.991072672907,10.8172825643,1,0,0,False,False,False,False,False
g556_c000003,g556_c000003,retrieval_neighbor_interpolation,g556_surrogate_candidate,FTRST_or_control_ensemble,0.132206203391,True,flow_shield,0.0594928495232,0.00544368452894,-0.0109151149546,0.705735482794,0.0164554643327,False,1.25,1.15087930053,1.25,0.75,0.75,1.04585390889,0.676103738561,0.985231155007,1,0.680241852274,0.65,0.30077386582,0.861800738764,1,10.6295016836,1,0,0,False,False,False,False,False
g556_c000004,g556_c000004,candidate_set_pareto_scoring,g556_surrogate_candidate,FTRST_or_control_ensemble,0.274596368703,True,flow_shield,0.117528782062,0.00413613791834,-0.00749929342464,0.83861658415,-0.00933426839898,False,1.25,1.20817572239,1.25,0.75,0.75,1.0182020761,0.760120119012,0.976834610746,1,0.666131981604,0.65,0.295982837793,0.851217823013,1,10.7886425042,1,0,0,False,False,False,False,False
g556_c000005,g556_c000005,cem_elite_refit,g556_surrogate_candidate,FTRST_or_control_ensemble,0.430477825554,True,flow_shield,0.10537242494,0.0105753905685,-0.00346441975578,0.948455254634,-0.00179902998276,False,1.25,1.22844932782,1.25,0.75,0.75,0.986557831279,0.740226316194,0.978585359144,1,0.687940881177,0.65,0.375411187508,0.923963712275,0.977762137714,10.7793029862,1,0,0,False,False,False,False,False
g556_c000006,g556_c000006,cma_es_style_evolution,g556_surrogate_candidate,FTRST_or_control_ensemble,0.500104919681,True,flow_shield,0.115680918557,0.00966483067751,-0.00750874571377,0.715689702931,-0.014547228418,False,1.25,1.15517401015,1.25,0.75,0.75,1.18081092052,0.646259736843,0.972168247995,1,0.710232652302,0.65,0.333059502563,0.94954218554,0.967413744509,10.5213551601,1,0,0,False,False,False,False,False
g556_c000007,g556_c000007,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.113861010922,True,flow_shield,0.0327496052021,0.00192937169463,-0.011871167829,0.701780744658,0.0305854024608,True,1.25,1.12852034261,1.25,0.75,0.75,1.08321108982,0.675821737532,0.983209522871,1,0.697108961173,0.65,0.299033430641,0.790362768078,1,10.6387367239,1,0,0,False,False,False,False,False
g556_c000008,g556_c000008,ensemble_disagreement_sampling,g556_surrogate_candidate,FTRST_or_control_ensemble,0.402290643131,True,flow_shield,0.146356283932,0.0100245523113,-0.00521721629834,0.857626277121,-0.0250796118115,False,1.25,1.17387732842,1.25,0.75,0.75,0.995393358272,0.704970250087,0.971220801338,1,0.752866241401,0.65,0.352055955574,0.787532957818,1,10.9247837358,1,0,0,False,False,False,False,False
g556_c000009,g556_c000009,wide_negative_control,g556_surrogate_candidate,negative_control,2.40417400248,True,flow_shield,0.504523125131,0.00124625906772,-0.000663021865925,0.865880752358,-0.208304503082,False,0.938681303956,1.26589339299,0.776385165845,0.469313079561,0.56975339324,0.710029354364,0.553457826499,1,1,0.818502529492,0.345000095,0.247381075598,1.00421837651,0.853104015688,11.5506877681,1,0,0,False,False,False,False,False
