agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,g51_policy_classification,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,strict_equal_to_ltm,success,sum_of_loss_ratio,worse_vs_ltm
100,lacam_star_ltm,1.01939171259,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-137.scen,137,True,True,1.01939171259,False
100,lacam_star_ltm,1.01939171259,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-137.scen,137,True,True,1.01939171259,False
100,lacam_star_ltm,1.33817521562,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-138.scen,138,True,True,1.33817521562,False
100,lacam_star_ltm,1.33817521562,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-138.scen,138,True,True,1.33817521562,False
100,lacam_star_ltm,1.06939681259,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-139.scen,139,True,True,1.06939681259,False
100,lacam_star_ltm,1.06939681259,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-139.scen,139,True,True,1.06939681259,False
100,lacam_star_ltm,1.23988080457,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-140.scen,140,True,True,1.23988080457,False
100,lacam_star_ltm,1.23988080457,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-140.scen,140,True,True,1.23988080457,False
100,lacam_star_ltm,1.30923694779,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-141.scen,141,True,True,1.30923694779,False
100,lacam_star_ltm,1.30923694779,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.04492971887999997,False,semantic_policy_equivalent_time_budget_sensitive,maze-32-32-4,,,maze-32-32-4-random-141.scen,141,False,True,1.35416666667,True
100,lacam_star_ltm,1.25910735826,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-142.scen,142,True,True,1.25910735826,False
100,lacam_star_ltm,1.25910735826,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.06996381181999989,False,semantic_policy_equivalent_time_budget_sensitive,maze-32-32-4,,,maze-32-32-4-random-142.scen,142,False,True,1.32907117008,True
100,lacam_star_ltm,1.26319758673,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-143.scen,143,True,True,1.26319758673,False
100,lacam_star_ltm,1.26319758673,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-143.scen,143,True,True,1.26319758673,False
100,lacam_star_ltm,1.31290471785,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-144.scen,144,True,True,1.31290471785,False
100,lacam_star_ltm,1.31290471785,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-144.scen,144,True,True,1.31290471785,False
100,lacam_star_ltm,1.26454033771,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-145.scen,145,True,True,1.26454033771,False
100,lacam_star_ltm,1.26454033771,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,maze-32-32-4,,,maze-32-32-4-random-145.scen,145,True,True,1.26454033771,False
50,lacam_star_ltm,1.12158808933,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-136.scen,136,True,True,1.12158808933,False
50,lacam_star_ltm,1.12158808933,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-136.scen,136,True,True,1.12158808933,False
50,lacam_star_ltm,1.1746031746,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-137.scen,137,True,True,1.1746031746,False
50,lacam_star_ltm,1.1746031746,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-137.scen,137,True,True,1.1746031746,False
50,lacam_star_ltm,1.1160130719,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-138.scen,138,True,True,1.1160130719,False
50,lacam_star_ltm,1.1160130719,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-138.scen,138,True,True,1.1160130719,False
50,lacam_star_ltm,1.13089937667,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-139.scen,139,True,True,1.13089937667,False
50,lacam_star_ltm,1.13089937667,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-139.scen,139,True,True,1.13089937667,False
50,lacam_star_ltm,1.17745098039,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,True,1.17745098039,False
50,lacam_star_ltm,1.17745098039,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,True,1.17745098039,False
50,lacam_star_ltm,1.19433962264,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,True,1.19433962264,False
50,lacam_star_ltm,1.19433962264,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,True,1.19433962264,False
