source,field,expected,observed,passed,authority,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,decision,g551_targeted_regression_persists_continue_safety_training,g551_targeted_regression_persists_continue_safety_training,True,authoritative_final,False,False,False,False,False
targeted_summary,decision,g551_targeted_regression_persists_continue_safety_training,g551_targeted_regression_persists_continue_safety_training,True,authoritative_targeted,False,False,False,False,False
targeted_summary,new_targeted_solver_rows,60012,60012,True,authoritative_targeted,False,False,False,False,False
targeted_summary,success_regression_count_vs_static_flow,352,352,True,authoritative_targeted,False,False,False,False,False
targeted_summary,success_regression_count_vs_additive,300,300,True,authoritative_targeted,False,False,False,False,False
targeted_summary,quality_only_mean_delta_vs_static_flow,0.0054865163785,0.0054865163785,True,authoritative_targeted,False,False,False,False,False
targeted_summary,fulltheta_fingerprint_match_rate,0.967426514697,0.967426514697,True,authoritative_targeted,False,False,False,False,False
targeted_summary,generated_non_static_theta_usage_rate,0.833333333333,0.833333333333,True,authoritative_targeted,False,False,False,False,False
checkpoint_policy_summary,generated_non_static_theta_usage_rate,0.18,0.18,True,authoritative_offline,False,False,False,False,False
checkpoint_policy_summary,offline_gate_passed,True,True,True,authoritative_offline,False,False,False,False,False
iteration_summary,new_iteration_counterfactual_solver_rows,64011,64011,True,authoritative_iteration,False,False,False,False,False
iteration_summary,mean_best_oracle_delta_vs_static_flow,-0.0337898984235,-0.0337898984235,True,authoritative_iteration,False,False,False,False,False
raw_vs_static_table,success_regression_count_vs_static_flow,352,352,True,derived_raw_consistency,False,False,False,False,False
raw_vs_additive_table,success_regression_count_vs_additive,300,300,True,derived_raw_consistency,False,False,False,False,False
g551_autopsy_summary,targeted_success_regression_count_vs_static_flow,352,0,False,non_authoritative_if_inconsistent,False,False,False,False,False
