path,label,exists,rows,header_present,sha256,reported_rows,mismatch,sample_rows_available,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
outputs/tables/phase5p5_repair5g533_goal_aware_probe_results.csv,probe_results,True,2046,True,5ea5eed83610986d97f3de8911d6a19745160b7a2f509d55704012f6bd55884d,,False,True,False,False,False,False,False
outputs/tables/phase5p5_repair5g533_context_candidate_utility.csv,utility,True,2046,True,5cdf0e81c720aeae323d999e0ec7400bd1e5376c12d3884c10f6b8a94cbbf989,,False,True,False,False,False,False,False
outputs/tables/phase5p5_repair5g533_candidate_rule_family.csv,candidate_family,True,11,True,978b233de5fe501e9b0d9220b12c05c2097e4913ce3517f53a16e1851e8b8bdb,,False,True,False,False,False,False,False
outputs/tables/phase5p5_repair5g533_model_eval_by_split.csv,model_eval_by_split,True,9,True,abd2ef5d000de45e8c39a20b7182274024c67bcea7f4e30568935466965ee3a8,,False,True,False,False,False,False,False
outputs/tables/phase5p5_repair5g533_model_negative_controls.csv,model_negative_controls,True,8,True,c4b6f42bb2582ae2298cb405a305801fc0d3e2c2147f6989494d52e373628c11,,False,True,False,False,False,False,False
outputs/tables/phase5p5_repair5g533_rule_leaderboard.csv,rule_leaderboard,True,10,True,7809ba2fbdf288abc6ed9a0eec3e13efd3e55fdb1d83e3437c4f0d4ea427512f,,False,True,False,False,False,False,False
outputs/reports/phase5p5_repair5g533_goal_aware_real_probe_summary.json,probe,True,1,True,6beec42263cf2e9136eab48fd8e31c15806660649861802905216e3c1b4c893c,"candidate_count=11,pibt_failure_audit_count=7570,real_solver_probe_rows=2046,solver_task_rows=1617,trace_event_count=10555440",False,False,False,False,False,False,False
outputs/reports/phase5p5_repair5g533_closed_loop_rule_evidence_summary.json,rule,True,1,True,7febc23ef74f3d1af8c75d09c31d0a6da41eaa44ee3db50072ae0f1f2662a0eb,"additive_vs_goal_aware_paired_rows=1836,rule_leaderboard_rows=10,static_flow_shield_vs_goal_aware_paired_rows=1648",False,False,False,False,False,False,False
outputs/reports/phase5p5_repair5g533_decision_summary.json,decision,True,1,True,15811514ab3d23b18e3b75ac663e08f19190e1688e0cd7da79c4ca40980354e6,,False,False,False,False,False,False,False
outputs/reports/phase5p5_repair5g533_goal_aware_models_summary.json,models,True,1,True,3a2005c7e3e2c2a1f4a5e8f772aa6d5b7b5823954cdd0e018ac0e51fabc1c268,,False,False,False,False,False,False,False
outputs/reports/phase5p5_repair5g533_outcome_aware_labels_summary.json,labels,True,1,True,ad20a74922f6722a59879ac1d74c0d8725383487f42b3ddae6696bb399e92f85,"context_candidate_utility_rows=2046,high_margin_safe_opportunity_count=183,pairwise_candidate_dominance_rows=10183,residual_target_rows=45240,safety_fallback_target_rows=198",False,False,False,False,False,False,False
