candidate_id,theta_id,candidate_source,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c063174,g556_c063174,primary_baseline,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g559_c00000,g559_c00000,sobol_like_trust_region,1.2753400802612305,1.04971444606781,1.1531013250350952,0.7905401587486267,0.7516962289810181,0.9888517260551453,0.7078490257263184,0.9839441776275635,0.9953566193580627,0.6602702140808105,0.6132282614707947,0.36489561200141907,0.7503422498703003,1.0,10.553659439086914,1,0,0,False,False,False,False,False
g559_c00001,g559_c00001,sobol_like_trust_region,1.1056711673736572,1.1023350954055786,1.1206616163253784,0.8362202644348145,0.7187556028366089,0.9429208636283875,0.6208066344261169,0.9773798584938049,1.0,0.7336594462394714,0.6766788959503174,0.3382275402545929,1.0439695119857788,1.0,10.800593376159668,1,0,0,False,False,False,False,False
g559_c00002,g559_c00002,sobol_like_trust_region,1.1486378908157349,0.9476319551467896,0.988906979560852,0.9213180541992188,0.8994866609573364,0.956717848777771,0.719869077205658,0.9834436774253845,1.0,0.6865327954292297,0.6612364053726196,0.36817309260368347,0.6952775716781616,0.8847900629043579,9.930658340454102,1,0,0,False,False,False,False,False
g559_c00003,g559_c00003,sobol_like_trust_region,0.9758169054985046,0.9553054571151733,1.2528767585754395,0.7200480103492737,0.6647592782974243,1.0801693201065063,0.7547606825828552,0.9807981848716736,1.0,0.639675498008728,0.6088871359825134,0.3447593152523041,1.0308431386947632,0.9899963140487671,10.750691413879395,1,0,0,False,False,False,False,False
g559_c00004,g559_c00004,sobol_like_trust_region,1.1142425537109375,1.4509921073913574,1.6239380836486816,0.5387740135192871,0.9035719037055969,1.2172043323516846,0.5905424356460571,0.9878139495849609,1.0,0.8123738169670105,0.38031017780303955,0.5120934247970581,1.0106334686279297,1.0,10.705545425415039,1,0,0,False,False,False,False,False
g559_c00005,g559_c00005,sobol_like_trust_region,1.5,0.638057291507721,1.4126558303833008,0.5350625514984131,1.1240812540054321,1.1770374774932861,0.5438030958175659,0.9834858179092407,1.0,0.581173837184906,0.6142693758010864,0.5442653298377991,0.8987210988998413,0.8471050262451172,9.997149467468262,1,0,0,False,False,False,False,False
g559_c00006,g559_c00006,sobol_like_trust_region,1.0086309909820557,1.0326954126358032,1.6301213502883911,0.516586422920227,0.7059769034385681,0.7425675392150879,0.8362538814544678,0.9979202747344971,1.0,0.7035848498344421,0.7445821166038513,0.6291823387145996,0.6313766241073608,0.7758845090866089,11.094043731689453,1,0,0,False,False,False,False,False
g559_c00007,g559_c00007,sobol_like_trust_region,1.2776066064834595,1.1845972537994385,1.7542304992675781,1.0699267387390137,0.9694584012031555,0.9601359367370605,1.046095848083496,0.9979540109634399,1.0,0.5,1.148459792137146,0.22646501660346985,1.1346328258514404,1.0,11.735848426818848,1,0,0,False,False,False,False,False
g559_c00008,g559_c00008,sobol_like_trust_region,0.9146885275840759,0.837806224822998,1.0810307264328003,1.0251495838165283,1.0515471696853638,0.7525652050971985,1.1880214214324951,0.9753284454345703,1.0,0.5,0.9095782041549683,0.25622478127479553,1.241990089416504,0.8716690540313721,11.795710563659668,1,0,0,False,False,False,False,False
g559_c00009,g559_c00009,sobol_like_trust_region,0.9503417015075684,0.9229606986045837,0.5738287568092346,1.015513300895691,0.5313199758529663,1.4144988059997559,0.5714847445487976,0.9765077233314514,1.0,0.5,0.37061747908592224,0.5759444832801819,0.8989418745040894,1.0,11.514927864074707,1,0,0,False,False,False,False,False
g559_c00010,g559_c00010,sobol_like_trust_region,1.2757656574249268,0.946203887462616,1.0012155771255493,0.773331344127655,1.578759789466858,0.6419254541397095,1.0793912410736084,0.9824972748756409,1.0,0.6236281394958496,0.6942130327224731,0.0,0.5850257277488708,0.9423702955245972,10.897594451904297,1,0,0,False,False,False,False,False
g559_c00011,g559_c00011,sobol_like_trust_region,1.5,0.922991931438446,1.3803263902664185,0.8643534183502197,0.9988176822662354,1.5,0.6197991371154785,0.9872907996177673,0.9937177896499634,0.962181806564331,0.4078223705291748,0.0,0.7322322130203247,0.9450234770774841,10.879059791564941,1,0,0,False,False,False,False,False
g559_c00012,g559_c00012,sobol_like_trust_region,1.5,0.5,1.2283583879470825,0.4797779321670532,1.4856029748916626,0.8476557731628418,0.3232230842113495,1.0,1.0,0.5748023390769958,0.0,0.5763549208641052,0.6794812679290771,0.34439951181411743,12.0,1,0,0,False,False,False,False,False
