suite,decision,best_policy_or_model,context_budget_pairs,candidate_budget_rows,eval_rows,target_label_family,utility_sign_convention,risk_definition,uses_oracle_at_selection_time,runtime_safe_policy_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
topk_policy,topk_risk_calibrated_policies_evaluated,agent_density_specialist_baseline,120,5280,308,safe_oracle_topk,lower_selected_policy_utility_is_better,candidate_induced_no_solution_and_budget_sensitive_failure,False,True,False,False,False,False,False
neural_rank_effect,neural_rank_effect_models_evaluated,mlp_region_then_candidate,120,5280,154,actual_counterfactual_lookup,lower_selected_policy_utility_is_better,candidate_induced_no_solution_and_budget_sensitive_failure,False,True,False,False,False,False,False
constrained_contextual_bandit,constrained_contextual_bandit_evaluated,conservative_policy_improvement_over_g525_best,120,5280,7,actual_counterfactual_lookup,lower_selected_policy_utility_is_better,candidate_induced_no_solution_and_budget_sensitive_failure,True,False,False,False,False,False,False
