column,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_agent_count,False,False,False,False,False,False
feature_candidate_geometry_nearest_g518,False,False,False,False,False,False
feature_candidate_geometry_nearest_old14,False,False,False,False,False,False
feature_candidate_param_alpha_cong_blocked,False,False,False,False,False,False
feature_candidate_param_alpha_cong_committed,False,False,False,False,False,False
feature_candidate_param_alpha_flow_progress,False,False,False,False,False,False
feature_candidate_param_alpha_flow_wait_or_nonprogress,False,False,False,False,False,False
feature_candidate_param_c_only,False,False,False,False,False,False
feature_candidate_param_flow_shield_beta,False,False,False,False,False,False
feature_candidate_param_max_flow_shield,False,False,False,False,False,False
feature_candidate_param_rho_cong,False,False,False,False,False,False
feature_candidate_param_rho_flow,False,False,False,False,False,False
feature_context_bucket_prior_metadata,False,False,False,False,False,False
feature_interaction_runtime_agent_x_beta,False,False,False,False,False,False
feature_iteration_index,False,False,False,False,False,False
feature_map_agent_group_hash,False,False,False,False,False,False
feature_map_family_hash,False,False,False,False,False,False
feature_nearest_g518_distance,False,False,False,False,False,False
feature_nearest_old14_distance,False,False,False,False,False,False
feature_region_prior_hash,False,False,False,False,False,False
feature_rich_budget_count,False,False,False,False,False,False
feature_rich_candidate_count_context,False,False,False,False,False,False
feature_trace_budget_count,False,False,False,False,False,False
feature_trace_candidate_count,False,False,False,False,False,False
