theta_parameter,top_zero_regression_candidate_count,min,max,mean,current_static_flow_value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,200,0.157060657061,1.46329496329,1.20422286422,1.25,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,200,0.560105060105,1.72345372345,1.23286499699,1.25,False,False,False,False,False
theta_alpha_cong_block,200,0.670861420861,2.2074014574,1.27085443835,1.25,False,False,False,False,False
theta_alpha_cong_wait_progress,200,0.0209237709238,1.21183871184,0.741878953129,0.75,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,200,0.240570990571,1.52534352534,0.7756499594,0.75,False,False,False,False,False
theta_alpha_flow_commit_progress,200,0.0863955863956,1.42895842896,0.979096944611,1,False,False,False,False,False
theta_alpha_flow_wait_progress,200,0,1.13042738043,0.267401005108,0,False,False,False,False,False
theta_rho_cong_decay,200,0.9,1,0.948982985712,0.95,False,False,False,False,False
theta_rho_flow_decay,200,0.9,1,0.990930893106,1,False,False,False,False,False
theta_lambda_cong,200,0.50306000306,1.46684896685,0.978523022827,1,False,False,False,False,False
theta_lambda_flow,200,0,1.46426246426,0.268823551055,0,False,False,False,False,False
theta_flow_shield_beta,200,0.00776640776641,0.744735944736,0.345190619463,0.35,False,False,False,False,False
theta_max_flow_shield,200,0.251555001555,1.453999954,0.776312589971,0.75,False,False,False,False,False
theta_min_edge_cost,200,0.330533580534,1,0.933211129087,1,False,False,False,False,False
theta_max_edge_cost,200,8.03224403224,12,10.8679629362,11,False,False,False,False,False
theta_goal_projection_mode_flow_shield,200,0,1,0.89,1,False,False,False,False,False
theta_goal_projection_mode_agent_progress,200,0,1,0.04,0,False,False,False,False,False
theta_goal_projection_mode_none,200,0,1,0.07,0,False,False,False,False,False
