panel_row_id,g560_evaluation_uid,split,map,map_family,agent_count,seed,budget_ms,alpha_to_real_positive_safe_target,best_observed_positive_quality_delta_vs_g556,source_positive_rows,requires_exact_materialization_before_claim,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_alpha_00000000,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,0.0,-0.27536231884000006,30,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000001,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,0.25,-0.27536231884000006,30,True,1.247516393661499,1.1515491008758545,1.2411466836929321,0.7492970824241638,0.7731255292892456,1.0113370418548584,0.696822464466095,0.978070855140686,0.9973499774932861,0.6985706090927124,0.6580926775932312,0.3426802158355713,0.8872554302215576,0.9830894470214844,10.693707466125488,1,0,0,False,False,False,False,False
g562_alpha_00000002,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,0.5,-0.27536231884000006,30,True,1.245032787322998,1.1450941562652588,1.2322933673858643,0.7485941648483276,0.7962510585784912,0.9823344945907593,0.7003791332244873,0.9762059450149536,0.994700014591217,0.7129859924316406,0.6661853790283203,0.349849134683609,0.9155048131942749,0.9661788940429688,10.59415054321289,1,0,0,False,False,False,False,False
g562_alpha_00000003,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,0.75,-0.27536231884000006,30,True,1.2425493001937866,1.138639211654663,1.223440170288086,0.7478912472724915,0.819376528263092,0.9533318281173706,0.7039358019828796,0.9743410348892212,0.992050051689148,0.7274012565612793,0.6742781400680542,0.35701805353164673,0.9437541961669922,0.9492682814598083,10.494593620300293,1,0,0,False,False,False,False,False
g562_alpha_00000004,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,1.0,-0.27536231884000006,30,True,1.2400656938552856,1.1321841478347778,1.214586853981018,0.7471883296966553,0.8425020575523376,0.9243292212486267,0.7074924111366272,0.972476065158844,0.9894000291824341,0.7418165802955627,0.6823707818984985,0.36418700218200684,0.9720035791397095,0.9323577284812927,10.395037651062012,1,0,0,False,False,False,False,False
g562_alpha_00000005,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,train,room-40-32-8,room,96,8497,1000,0.0,-0.05072046109000006,43,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000006,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,train,room-40-32-8,room,96,8497,1000,0.25,-0.05072046109000006,43,True,1.2256951332092285,1.1692274808883667,1.2452971935272217,0.7535643577575684,0.7367168664932251,1.044096827507019,0.6959542036056519,0.9783921241760254,0.9977615475654602,0.6779476404190063,0.6592796444892883,0.3416447341442108,0.8504161834716797,0.9863218665122986,10.735334396362305,1,0,0,False,False,False,False,False
g562_alpha_00000007,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,train,room-40-32-8,room,96,8497,1000,0.5,-0.05072046109000006,43,True,1.201390266418457,1.1804509162902832,1.2405943870544434,0.7571286559104919,0.7234337329864502,1.047853946685791,0.6986425518989563,0.9768484830856323,0.9955230951309204,0.6717399954795837,0.6685593128204346,0.34777817130088806,0.8418262004852295,0.9726437330245972,10.677406311035156,1,0,0,False,False,False,False,False
g562_alpha_00000008,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,train,room-40-32-8,room,96,8497,1000,0.75,-0.05072046109000006,43,True,1.177085518836975,1.1916743516921997,1.2358916997909546,0.7606929540634155,0.7101505398750305,1.0516109466552734,0.7013309001922607,0.9753047823905945,0.9932845830917358,0.6655323505401611,0.6778390407562256,0.3539116382598877,0.8332363367080688,0.9589655995368958,10.619477272033691,1,0,0,False,False,False,False,False
g562_alpha_00000009,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,train,room-40-32-8,room,96,8497,1000,1.0,-0.05072046109000006,43,True,1.1527806520462036,1.2028976678848267,1.2311888933181763,0.7642573118209839,0.6968674063682556,1.0553680658340454,0.7040192484855652,0.9737610816955566,0.991046130657196,0.6593246459960938,0.687118649482727,0.36004507541656494,0.8246464133262634,0.9452874660491943,10.561548233032227,1,0,0,False,False,False,False,False
g562_alpha_00000010,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,7379,5000,0.0,-0.15163147792999987,38,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000011,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,7379,5000,0.25,-0.15163147792999987,38,True,1.2307590246200562,1.1784075498580933,1.255861759185791,0.7406544089317322,0.742224931716919,1.0490630865097046,0.6963614225387573,0.980499267578125,0.9988210201263428,0.6743394136428833,0.6445915699005127,0.3444204330444336,0.8891652822494507,0.9965899586677551,10.75940227508545,1,0,0,False,False,False,False,False
g562_alpha_00000012,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,7379,5000,0.5,-0.15163147792999987,38,True,1.2115180492401123,1.1988110542297363,1.261723518371582,0.7313088178634644,0.7344498634338379,1.057786464691162,0.6994569897651672,0.9810627698898315,0.9976420998573303,0.6645236015319824,0.6391831636428833,0.35332953929901123,0.9193243980407715,0.9931799173355103,10.725541114807129,1,0,0,False,False,False,False,False
g562_alpha_00000013,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,7379,5000,0.75,-0.15163147792999987,38,True,1.192276954650879,1.2192145586013794,1.2675853967666626,0.7219631671905518,0.7266748547554016,1.06650972366333,0.7025525569915771,0.9816262125968933,0.9964631795883179,0.6547077298164368,0.6337747573852539,0.36223870515823364,0.9494836330413818,0.9897699356079102,10.691679954528809,1,0,0,False,False,False,False,False
g562_alpha_00000014,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,7379,5000,1.0,-0.15163147792999987,38,True,1.173035979270935,1.239617943763733,1.2734471559524536,0.7126175761222839,0.7188997864723206,1.0752331018447876,0.7056481242179871,0.9821896553039551,0.9952841997146606,0.6448918581008911,0.6283662915229797,0.37114784121513367,0.9796428084373474,0.9863598942756653,10.657818794250488,1,0,0,False,False,False,False,False
g562_alpha_00000015,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,0.0,-0.010843373489999975,1,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000016,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,0.25,-0.010843373489999975,1,True,1.3125,1.1066174507141113,1.079107642173767,0.875,0.5625,1.024800419807434,0.7398910522460938,0.9849518537521362,1.0,0.6381164789199829,0.6578607559204102,0.2726672887802124,0.9804660677909851,1.0,10.812236785888672,1,0,0,False,False,False,False,False
g562_alpha_00000017,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,0.5,-0.010843373489999975,1,True,1.375,1.055230736732483,0.908215343952179,1.0,0.375,1.009261131286621,0.7865163087844849,0.989967942237854,1.0,0.5920776724815369,0.6657215356826782,0.20982325077056885,1.1019260883331299,1.0,10.831210136413574,1,0,0,False,False,False,False,False
