context_key,context_id,topology_id,map_family,agent_count,budget_ms,oracle_theta_id,oracle_topk_theta_ids,no_safe_improvement,safe_candidate_count,safe_improving_candidate_count,oracle_quality_delta_vs_g556,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|25|100037|5000|b5000_short500_t050_i8,random-32-32-20|a25|s100037|it0|g557_label_matrix_random_32_32_20_a25_s100037_hb5000_short500_t050_i8_b5000,,random,25,5000,g557_gcst_00086,g557_gcst_00086;g557_gcst_00254;g557_gcst_00509;g557_gcst_00008;g557_gcst_00024,False,512,354,-0.03476482618,False,False,False,False,False
random-32-32-20|25|100003|500|b500_short250_t050_i2,random-32-32-20|a25|s100003|it0|g557_label_matrix_random_32_32_20_a25_s100003_hb500_short250_t050_i2_b500,,random,25,500,g557_gcst_00297,g557_gcst_00297;g557_gcst_00053;g557_gcst_00110;g557_gcst_00127;g557_gcst_00247,False,512,355,-0.04444444445,False,False,False,False,False
random-32-32-20|25|101477|5000|b5000_short2000_t200_i8,random-32-32-20|a25|s101477|it0|g557_label_matrix_random_32_32_20_a25_s101477_hb5000_short2000_t200_i8_b5000,,random,25,5000,g557_gcst_00499,g557_gcst_00499;g557_gcst_00122;g557_gcst_00123;g557_gcst_00377;g557_gcst_00453,False,512,166,-0.04302925989,False,False,False,False,False
random-32-32-20|25|100997|5000|b5000_short1000_t050_i4,random-32-32-20|a25|s100997|it0|g557_label_matrix_random_32_32_20_a25_s100997_hb5000_short1000_t050_i4_b5000,,random,25,5000,g557_gcst_00430,g557_gcst_00430;g557_gcst_00349;g557_gcst_00042;g557_gcst_00480;g557_gcst_00012,False,512,60,-0.03045685279,False,False,False,False,False
random-32-32-20|25|100483|500|b500_short500_t100_i4,random-32-32-20|a25|s100483|it0|g557_label_matrix_random_32_32_20_a25_s100483_hb500_short500_t100_i4_b500,,random,25,500,g557_gcst_00340,g557_gcst_00340;g557_gcst_00213;g557_gcst_00360;g557_gcst_00266;g557_gcst_00329,False,512,231,-0.0615640599,False,False,False,False,False
random-32-32-20|25|100963|500|b500_short500_t050_i8,random-32-32-20|a25|s100963|it0|g557_label_matrix_random_32_32_20_a25_s100963_hb500_short500_t050_i8_b500,,random,25,500,g557_gcst_00012,g557_gcst_00012;g557_gcst_00308;g557_gcst_00355;g557_gcst_00161;g557_gcst_00349,False,512,394,-0.0845323741,False,False,False,False,False
random-32-32-10|25|101445|1000|b1000_short1000_t200_i2,random-32-32-10|a25|s101445|it0|g557_label_matrix_random_32_32_10_a25_s101445_hb1000_short1000_t200_i2_b1000,,random,25,1000,g557_gcst_00043,g557_gcst_00043;g557_gcst_00430;g557_gcst_00443;g557_gcst_00080;g557_gcst_00217,False,512,330,-0.03831417625,False,False,False,False,False
random-32-32-20|25|101443|500|b500_short1000_t200_i2,random-32-32-20|a25|s101443|it0|g557_label_matrix_random_32_32_20_a25_s101443_hb500_short1000_t200_i2_b500,,random,25,500,g557_gcst_00366,g557_gcst_00366;g557_gcst_00128;g557_gcst_00212;g557_gcst_00012;g557_gcst_00024,False,512,64,-0.02550091075,False,False,False,False,False
random-32-32-10|25|100519|5000|b5000_short1000_t200_i2,random-32-32-10|a25|s100519|it0|g557_label_matrix_random_32_32_10_a25_s100519_hb5000_short1000_t200_i2_b5000,,random,25,5000,g557_gcst_00505,g557_gcst_00505;g557_gcst_00295;g557_gcst_00196;g557_gcst_00402;g557_gcst_00475,False,512,220,-0.04210526316,False,False,False,False,False
random-32-32-10|25|100485|1000|b1000_short500_t200_i4,random-32-32-10|a25|s100485|it0|g557_label_matrix_random_32_32_10_a25_s100485_hb1000_short500_t200_i4_b1000,,random,25,1000,g557_gcst_00012,g557_gcst_00012;g557_gcst_00064;g557_gcst_00129;g557_gcst_00203;g557_gcst_00213,False,512,61,-0.01035196688,False,False,False,False,False
random-32-32-20|25|100517|5000|b5000_short500_t200_i2,random-32-32-20|a25|s100517|it0|g557_label_matrix_random_32_32_20_a25_s100517_hb5000_short500_t200_i2_b5000,,random,25,5000,g557_gcst_00008,g557_gcst_00008;g557_gcst_00433;g557_gcst_00484;g557_gcst_00108;g557_gcst_00158,False,512,231,-0.03703703704,False,False,False,False,False
