sample_index,best_edge_residual_mae,baseline_edge_residual_mae,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
113,0.00630832473136,0.0198258314401,False,False,False,False,False
114,0.00596314377567,0.0198258314401,False,False,False,False,False
115,0.00648457380219,0.0198258314401,False,False,False,False,False
116,0.00620900419006,0.0198258314401,False,False,False,False,False
117,0.00623001400381,0.0198258314401,False,False,False,False,False
118,0.00619748370295,0.0198258314401,False,False,False,False,False
119,0.00628111270035,0.0198258314401,False,False,False,False,False
120,0.00596304091585,0.0198258314401,False,False,False,False,False
121,0.00627335560863,0.0198258314401,False,False,False,False,False
122,0.00634759912481,0.0198258314401,False,False,False,False,False
123,0.0061021945429,0.0198258314401,False,False,False,False,False
124,0.00608463311592,0.0198258314401,False,False,False,False,False
125,0.00609358623553,0.0198258314401,False,False,False,False,False
126,0.00601902555086,0.0198258314401,False,False,False,False,False
127,0.00627735228792,0.0198258314401,False,False,False,False,False
128,0.00630834631632,0.0198258314401,False,False,False,False,False
129,0.00634406859442,0.0198258314401,False,False,False,False,False
130,0.00617502852383,0.0198258314401,False,False,False,False,False
131,0.00646672654911,0.0198258314401,False,False,False,False,False
132,0.0063330025515,0.0198258314401,False,False,False,False,False
133,0.00645015004713,0.0198258314401,False,False,False,False,False
134,0.00651450627693,0.0198258314401,False,False,False,False,False
135,0.00604285864704,0.0198258314401,False,False,False,False,False
136,0.0061988540267,0.0198258314401,False,False,False,False,False
137,0.00634834325345,0.0198258314401,False,False,False,False,False
138,0.00600981625678,0.0198258314401,False,False,False,False,False
139,0.00611267610997,0.0198258314401,False,False,False,False,False
140,0.00599862533023,0.0198258314401,False,False,False,False,False
141,0.0062846686071,0.0198258314401,False,False,False,False,False
142,0.00625316774135,0.0198258314401,False,False,False,False,False
143,0.00603536408387,0.0198258314401,False,False,False,False,False
144,0.00630055654718,0.0198258314401,False,False,False,False,False
145,0.00598624859459,0.0198258314401,False,False,False,False,False
146,0.00612417372791,0.0198258314401,False,False,False,False,False
147,0.00646484931619,0.0198258314401,False,False,False,False,False
148,0.0062384704531,0.0198258314401,False,False,False,False,False
149,0.0062196867767,0.0198258314401,False,False,False,False,False
150,0.0059653123775,0.0198258314401,False,False,False,False,False
151,0.00632879821481,0.0198258314401,False,False,False,False,False
152,0.00651775620791,0.0198258314401,False,False,False,False,False
153,0.00649557010075,0.0198258314401,False,False,False,False,False
154,0.00615821703519,0.0198258314401,False,False,False,False,False
155,0.00601914472636,0.0198258314401,False,False,False,False,False
156,0.00620104252473,0.0198258314401,False,False,False,False,False
157,0.00624129311876,0.0198258314401,False,False,False,False,False
158,0.00638723515006,0.0198258314401,False,False,False,False,False
159,0.00608562175812,0.0198258314401,False,False,False,False,False
160,0.00603595797599,0.0198258314401,False,False,False,False,False
161,0.00615662411504,0.0198258314401,False,False,False,False,False
162,0.00625145381509,0.0198258314401,False,False,False,False,False
163,0.00594942256349,0.0198258314401,False,False,False,False,False
164,0.00643943006324,0.0198258314401,False,False,False,False,False
165,0.00637800479487,0.0198258314401,False,False,False,False,False
166,0.00643340517837,0.0198258314401,False,False,False,False,False
167,0.00650303205193,0.0198258314401,False,False,False,False,False
168,0.00599847501042,0.0198258314401,False,False,False,False,False
