runtime_method,candidate_id,component,g2_role,source,include_in_solver,synthetic_diagnostic,diagnostic_only,phase5p5_allowed,phase6_allowed,g1_rows,g1_better,g1_equal,g1_worse,g1_mean_delta_ratio_vs_ltm,enable_dual_channel,goal_projection_mode,flow_shield_beta,max_flow_shield,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,rho_cong_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,notes
lacam_star_ltm,lacam_star_ltm,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
always_additive_defer,always_additive_defer,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5f_candidate_additive_ltm,repair5f_candidate_additive_ltm,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
laur_disable,laur_disable,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
laur_force_additive_direct,laur_force_additive_direct,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5g_dual_additive_parity,dcltm_additive_parity,control,control,required_control,True,False,True,False,False,,,,,,False,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,11.0,Legacy exact additive LTM parity control.
repair5g_dual_c_equiv_additive,dcltm_c_equiv_additive,control,control,required_control,True,False,True,False,False,120,3,116,1,-0.00042539707350427265,True,none,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `additive`.
repair5f_static_c100_b100_w075_d090,repair5f_static_c100_b100_w075_d090,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,control,control,required_control,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5g_dual_c_equiv_c100_b125_w075_d100,dcltm_c_equiv_c100_b125_w075_d100,c_equiv_baseline,c_equiv_baseline,required_c_equiv,True,False,True,False,False,120,31,65,24,-0.0027456139927826157,True,none,0.0,0.0,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `c100_b125_w075_d100`.
repair5g_dual_c_equiv_c125_b125_w075_d095,dcltm_c_equiv_c125_b125_w075_d095,c_equiv_baseline,c_equiv_baseline,required_c_equiv,True,False,True,False,False,120,36,62,22,-0.002227996893353449,True,none,0.0,0.0,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `c125_b125_w075_d095`.
repair5g_dual_c_equiv_c100_b100_w075_d095,dcltm_c_equiv_c100_b100_w075_d095,c_equiv_baseline,c_equiv_baseline,required_c_equiv,True,False,True,False,False,120,26,71,23,-0.0017208903811637957,True,none,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d095`.
repair5g_dual_c_equiv_c100_b100_w075_d100,dcltm_c_equiv_c100_b100_w075_d100,c_equiv_baseline,c_equiv_baseline,required_c_equiv,True,False,True,False,False,120,27,65,26,-0.0009970440280000115,True,none,0.0,0.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d100`.
repair5g_dual_c_equiv_c100_b100_w075_d090,dcltm_c_equiv_c100_b100_w075_d090,c_equiv_baseline,c_equiv_baseline,required_c_equiv,True,False,True,False,False,120,27,63,30,-0.00011977654297392132,True,none,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.9,1.0,0.0,0.25,11.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d090`.
repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,shield_c125_b125_w075_d095_beta0p05_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,33,54,33,-0.0002251170495555612,True,flow_shield,0.05,0.25,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,shield_c125_b125_w075_d095_beta0p05_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,40,55,25,-0.0023666628169059884,True,flow_shield,0.05,0.5,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,shield_c125_b125_w075_d095_beta0p05_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,40,54,26,-0.0023870650825689715,True,flow_shield,0.05,0.75,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,shield_c125_b125_w075_d095_beta0p1_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,36,56,28,-0.001593697708551729,True,flow_shield,0.1,0.25,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,shield_c125_b125_w075_d095_beta0p1_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,43,53,24,-0.007072366789991304,True,flow_shield,0.1,0.5,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,shield_c125_b125_w075_d095_beta0p1_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,48,46,26,-0.0026863721548017307,True,flow_shield,0.1,0.75,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,shield_c125_b125_w075_d095_beta0p2_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,34,57,29,-0.0021444721513304435,True,flow_shield,0.2,0.25,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,52,46,22,-0.004920278463801723,True,flow_shield,0.2,0.5,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,shield_c125_b125_w075_d095_beta0p2_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,61,40,19,-0.012989982687452996,True,flow_shield,0.2,0.75,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,shield_c125_b125_w075_d095_beta0p35_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,37,54,29,-0.0005991043379035194,True,flow_shield,0.35,0.25,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,shield_c125_b125_w075_d095_beta0p35_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,49,51,20,-0.005907960302170944,True,flow_shield,0.35,0.5,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,67,37,16,-0.014306860332393171,True,flow_shield,0.35,0.75,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
