candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,validation_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02550,stage1,,93,93,0,0,-1,93,0,0,0,0,42,64,1,True,True,True,False,insufficient_support,0.75,1.25,1.25,1.25,0.75,0.75,1,0,0.905,0.97,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01038,stage1,,93,93,0,0,-1,93,0,0,0,0,43,61,1,True,True,True,False,insufficient_support,0.85,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.55,10,1,0,0,False,False,False,False,False
g554_c00996,stage1,,93,93,0,0,-1,93,0,0,0,0,41,64,1,True,True,True,False,insufficient_support,1.25,1.25,1.25,1.25,0.75,0.75,1,0,0.905,0.92,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02562,stage1,,93,93,0,0,-1,93,3.86992643011e-05,0.00413540062379,38,34,42,62,1,True,True,True,False,insufficient_support,0.02291323541,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1.02291323541,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02502,stage1,,93,93,0,0,-1,93,0.000169162706882,0.00500737501393,39,33,43,63,1,True,True,True,False,insufficient_support,0.045445545445,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.386356436356,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01032,stage1,,93,93,0,0,-1,93,0.000963086942903,0.00339654101883,13,14,43,59,1,True,True,True,False,insufficient_support,0.459145340394,1.25,1.20309574997,1.25,0.75,0.75,1,0,0.907837805963,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01044,stage1,,93,93,0,0,-1,93,0.00410856120376,0.00885048955203,34,45,43,63,1,True,True,True,False,insufficient_support,1.57240572896,1.25,1.30900002775,1.25,0.75,0.75,1.0325537638,0.630032133939,0.9649499037,1,1.03664432414,1.0686008628,0.374095664096,0.721942331317,1,10.806528644,1,0,0,False,False,False,False,False
g554_c01002,stage1,,93,93,0,0,-1,93,0.00699190110505,0.0123969567298,29,45,41,62,1,True,True,True,False,insufficient_support,2.54080959151,1.25,1.29682329682,1.25,0.75,0.75,0.9696004446,0.576474597247,0.983316533317,1,0.976120148585,1,0.375557235557,0.688448563449,0.371329006263,11.3151094776,1,0,0,False,False,False,False,False
g554_c02544,stage1,,93,93,0,0,-1,93,0.00800483169656,0.0125635228124,28,54,42,62,1,True,True,True,False,insufficient_support,0.036028011028,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.704964986215,1,11,1,0,0,False,False,False,False,False
g554_c02526,stage1,,93,93,0,0,-1,93,0.00872064255151,0.0146954227667,39,49,43,59,1,True,True,True,False,insufficient_support,4.36269107519,0.497847497847,1.13288063288,2.15142065142,0.818735818736,1.11755286755,1.14770514771,0.41266041266,0.91691001691,0.997737397737,0.78348028348,1.27923727924,0.0889512889513,0.750964250964,0.54703029703,10.1802661803,1,0,0,False,False,False,False,False
g554_c02538,stage1,,93,93,0,0,-1,93,0.018129930887,0.0229563577616,18,62,43,60,1,True,True,True,False,insufficient_support,2.10355997344,1.25,1.46799105065,1.25,0.75,0.75,1.02808306558,0.952083061458,0.975758361383,1,1.12722062357,0.775977548045,0.324333804334,0.716037950413,0.950408937909,10.5148710524,1,0,0,False,False,False,False,False
g554_c01020,stage1,,93,93,0,0,-1,93,0.0390447922629,0.0480038843055,10,76,42,59,1,True,True,True,False,insufficient_support,4.38890880141,0.795048795049,0.875445375445,1.32011207011,0.954340954341,0.86361011361,1.0633975634,0.423334173334,0.918968918969,0.935666535667,1.09781859782,0.414888414888,0.0866632866633,0.544775294775,0.782519282519,8.89922489922,0,1,0,False,False,False,False,False
g554_c01062,stage1,,92,92,0,0,-1,92,-0.0378165963637,-0.0301222279209,75,9,42,62,1,True,True,True,False,insufficient_support,4.50669109419,0.411100911101,1.43592968593,1.96602721603,0.554115554116,1.2838992839,0.677315177315,0.272166522167,0.924433924434,0.971600971601,0.849446349446,0.247684747685,0.546207746208,0.981466981467,0.605636105636,8.26682426682,1,0,0,False,False,False,False,False
g554_c00966,stage1,,92,92,0,0,-1,92,-0.0340643906191,-0.0284184929801,79,7,42,58,1,True,True,True,False,insufficient_support,4.391497979,1.05958005958,1.36602586603,1.24374024374,0.038815038815,1.22302897303,0.50699000699,0.0461362961363,0.929987029987,0.939318539319,0.841718341718,0.279370779371,0.714594314594,0.835670585671,0.490262740263,8.56832456832,1,0,0,False,False,False,False,False
g554_c02592,stage1,,92,92,0,0,-1,92,-0.0242274325041,-0.0155026601053,64,18,42,58,1,True,True,True,False,insufficient_support,2.07052291016,1.25,1.28561444186,1.25,0.75,0.75,1.0559036684,1.01863048738,0.912595992596,1,0.970345795346,0.482243235514,0.41566202967,1.11328803146,0.96313022563,11.1712016962,1,0,0,False,False,False,False,False
