size,requested_size,seed,device,train_contexts,fixed_validation_contexts,fixed_validation_manifest_sha256,steps,method,initial_validation_loss,final_validation_loss,final_train_loss,validation_loss_delta,rich_actor_used,uses_label_leakage_features,weight_decay,topology_grad_norm,c0_grad_norm,f0_grad_norm,od_grad_norm,scalar_grad_norm,fusion_grad_norm,theta_head_grad_norm
16,16,564,cuda,16,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.20360586047172546,0.19201141595840454,0.20624667406082153,-0.011594444513320923,False,False,0.0,,,,,,,
16,16,564,cuda,16,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.10885536670684814,0.10969045013189316,0.11104629188776016,0.0008350834250450134,True,,0.0,0.011619129196901667,0.010165707716957684,0.010902170019619462,0.008895335304259788,0.0006000102014240838,0.01814633223693818,0.01661197270732373
16,16,565,cuda,16,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.2042039930820465,0.18812832236289978,0.20995037257671356,-0.01607567071914673,False,False,0.0,,,,,,,
16,16,565,cuda,16,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.1102338433265686,0.10968439280986786,0.12467935681343079,-0.0005494505167007446,True,,0.0,0.009553675677096862,0.0077565316572645315,0.006548261409761835,0.009951263444236247,0.000513585858470833,0.01628551835892722,0.018981092260219157
32,32,564,cuda,32,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.20360586047172546,0.19224143028259277,0.20878002047538757,-0.01136443018913269,False,False,0.0,,,,,,,
32,32,564,cuda,32,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.10885536670684814,0.10909660905599594,0.12585726380348206,0.00024124234914779663,True,,0.0,0.02254318603667116,0.020247778216271328,0.018991937234318357,0.022644177326583304,0.001177598755020881,0.029667970025911927,0.02003534117829986
32,32,565,cuda,32,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.2042039930820465,0.18838286399841309,0.20547673106193542,-0.015821129083633423,False,False,0.0,,,,,,,
32,32,565,cuda,32,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.1102338433265686,0.10937610268592834,0.12473512440919876,-0.0008577406406402588,True,,0.0,0.0075366930911116015,0.00720330245039591,0.005513563953108758,0.005398158074967796,0.0004549511281766172,0.012302907707635313,0.010942096749204211
34,64,564,cuda,34,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.20360586047172546,0.19230544567108154,0.19860675930976868,-0.011300414800643921,False,False,0.0,,,,,,,
34,64,564,cuda,34,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.10885536670684814,0.10899828374385834,0.1021655797958374,0.00014291703701019287,True,,0.0,0.018483433254232295,0.014429546559796336,0.017117706770818586,0.013862440631783102,0.0007106549135187379,0.02688628004398197,0.019172657426679507
34,64,565,cuda,34,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,scalar_pre_solver_control,0.2042039930820465,0.18833722174167633,0.20572012662887573,-0.015866771340370178,False,False,0.0,,,,,,,
34,64,565,cuda,34,8,e48786c95d8e8c1a107d622c5aef1e532cd3ff42d796d7333f4856a1ea7c320e,30,rich_graph_actor,0.1102338433265686,0.10939949005842209,0.12154994904994965,-0.0008343532681465149,True,,0.0,0.014218906586563662,0.014905071348593424,0.009892324360421867,0.011023974388081115,0.0011173646093993739,0.028102481504902244,0.016989268420729786
