context_id,topology_id,candidate_id,fallback_to_g556,predicted_score,predicted_regression_rate,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|a25|s101443|it0|g557_label_matrix_random_32_32_20_a25_s101443_hb500_short1000_t200_i2_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s103845|it0|g557_label_matrix_random_32_32_10_a25_s103845_hb1000_short500_t100_i4_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a25|s103126|it0|g557_label_matrix_random_64_64_10_a25_s103126_hb1000_short1000_t200_i2_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a25|s103638|it0|g557_label_matrix_random_64_64_20_a25_s103638_hb5000_short2000_t050_i2_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a25|s105044|it0|g557_label_matrix_random_64_64_20_a25_s105044_hb500_short250_t200_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a25|s105764|it0|g557_label_matrix_random_64_64_20_a25_s105764_hb500_short2000_t200_i8_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s107719|it0|g557_label_matrix_random_32_32_10_a25_s107719_hb5000_short1000_t200_i8_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-20|a25|s109157|it0|g557_label_matrix_random_32_32_20_a25_s109157_hb5000_short250_t100_i8_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s109605|it0|g557_label_matrix_random_32_32_10_a25_s109605_hb1000_short250_t050_i2_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a25|s107840|it0|g557_label_matrix_random_64_64_10_a25_s107840_hb500_short250_t100_i2_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s110085|it0|g557_label_matrix_random_32_32_10_a25_s110085_hb1000_short250_t100_i4_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s112005|it0|g557_label_matrix_random_32_32_10_a25_s112005_hb1000_short2000_t200_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a25|s112039|it0|g557_label_matrix_random_32_32_10_a25_s112039_hb5000_short2000_t200_i8_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-20|a25|s112963|it0|g557_label_matrix_random_32_32_20_a25_s112963_hb500_short2000_t200_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s100099|it0|g557_label_matrix_random_32_32_10_a50_s100099_hb5000_short1000_t050_i4_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-20|a50|s102497|it0|g557_label_matrix_random_32_32_20_a50_s102497_hb5000_short250_t200_i2_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a50|s100098|it0|g557_label_matrix_random_64_64_20_a50_s100098_hb5000_short1000_t200_i4_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s100066|it0|g557_label_matrix_random_64_64_10_a50_s100066_hb1000_short500_t050_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s102979|it0|g557_label_matrix_random_32_32_10_a50_s102979_hb5000_short500_t050_i4_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s100880|it0|g557_label_matrix_random_64_64_10_a50_s100880_hb500_short500_t200_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s103905|it0|g557_label_matrix_random_32_32_10_a50_s103905_hb1000_short500_t100_i2_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s105345|it0|g557_label_matrix_random_32_32_10_a50_s105345_hb1000_short2000_t200_i2_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a50|s103664|it0|g557_label_matrix_random_64_64_20_a50_s103664_hb500_short2000_t050_i8_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s104746|it0|g557_label_matrix_random_64_64_10_a50_s104746_hb1000_short1000_t200_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s105526|it0|g557_label_matrix_random_64_64_10_a50_s105526_hb1000_short500_t100_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a50|s107264|it0|g557_label_matrix_random_64_64_20_a50_s107264_hb500_short500_t050_i2_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s114019|it0|g557_label_matrix_random_32_32_10_a50_s114019_hb5000_short1000_t200_i4_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a50|s112304|it0|g557_label_matrix_random_64_64_20_a50_s112304_hb500_short500_t200_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a50|s114979|it0|g557_label_matrix_random_32_32_10_a50_s114979_hb5000_short2000_t200_i2_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-20|a50|s113744|it0|g557_label_matrix_random_64_64_20_a50_s113744_hb500_short2000_t100_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s113360|it0|g557_label_matrix_random_64_64_10_a50_s113360_hb500_short250_t200_i4_b500,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-20|a75|s100637|it0|g557_label_matrix_random_32_32_20_a75_s100637_hb5000_short2000_t050_i4_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a50|s114886|it0|g557_label_matrix_random_64_64_10_a50_s114886_hb1000_short1000_t050_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a75|s103039|it0|g557_label_matrix_random_32_32_10_a75_s103039_hb5000_short1000_t050_i8_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-20|a75|s103517|it0|g557_label_matrix_random_32_32_20_a75_s103517_hb5000_short1000_t100_i2_b5000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-64-64-10|a75|s100906|it0|g557_label_matrix_random_64_64_10_a75_s100906_hb1000_short500_t100_i2_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
random-32-32-10|a75|s105885|it0|g557_label_matrix_random_32_32_10_a75_s105885_hb1000_short250_t100_i8_b1000,,g556_c063174,True,0,0,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
