group_key,map_family,agent_count,budget_ms,group_support_count,group_no_safe_improvement_count,group_safe_frontier_size,group_oracle_theta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze|a100|b1000,maze,100,1000,80,0,80,g557_gcst_00349,False,False,False,False,False
maze|a100|b2000,maze,100,2000,18,4,14,g557_gcst_00000,False,False,False,False,False
maze|a100|b500,maze,100,500,98,18,80,g557_gcst_00000,False,False,False,False,False
maze|a1000|b1000,maze,1000,1000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a1000|b2000,maze,1000,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a1000|b500,maze,1000,500,36,36,0,g557_gcst_00000,False,False,False,False,False
maze|a150|b1000,maze,150,1000,80,0,80,g557_gcst_00069,False,False,False,False,False
maze|a150|b2000,maze,150,2000,18,6,12,g557_gcst_00000,False,False,False,False,False
maze|a150|b500,maze,150,500,98,36,62,g557_gcst_00000,False,False,False,False,False
maze|a1500|b1000,maze,1500,1000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a1500|b2000,maze,1500,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a1500|b500,maze,1500,500,36,36,0,g557_gcst_00000,False,False,False,False,False
maze|a200|b1000,maze,200,1000,80,18,62,g557_gcst_00000,False,False,False,False,False
maze|a200|b2000,maze,200,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a200|b500,maze,200,500,98,37,61,g557_gcst_00000,False,False,False,False,False
maze|a2000|b1000,maze,2000,1000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a2000|b2000,maze,2000,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a2000|b500,maze,2000,500,34,34,0,g557_gcst_00000,False,False,False,False,False
maze|a25|b1000,maze,25,1000,82,0,82,g557_gcst_00115,False,False,False,False,False
maze|a25|b2000,maze,25,2000,18,0,18,g557_gcst_00092,False,False,False,False,False
maze|a25|b500,maze,25,500,100,0,100,g557_gcst_00414,False,False,False,False,False
maze|a300|b1000,maze,300,1000,80,23,57,g557_gcst_00000,False,False,False,False,False
maze|a300|b2000,maze,300,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a300|b500,maze,300,500,98,40,58,g557_gcst_00000,False,False,False,False,False
maze|a3000|b1000,maze,3000,1000,17,17,0,g557_gcst_00000,False,False,False,False,False
maze|a3000|b2000,maze,3000,2000,17,17,0,g557_gcst_00000,False,False,False,False,False
maze|a3000|b500,maze,3000,500,34,34,0,g557_gcst_00000,False,False,False,False,False
maze|a400|b1000,maze,400,1000,80,51,29,g557_gcst_00000,False,False,False,False,False
maze|a400|b2000,maze,400,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a400|b500,maze,400,500,98,61,37,g557_gcst_00000,False,False,False,False,False
maze|a50|b1000,maze,50,1000,82,0,82,g557_gcst_00349,False,False,False,False,False
maze|a50|b2000,maze,50,2000,18,0,18,g557_gcst_00207,False,False,False,False,False
maze|a50|b500,maze,50,500,100,0,100,g557_gcst_00437,False,False,False,False,False
maze|a600|b1000,maze,600,1000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a600|b2000,maze,600,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a600|b500,maze,600,500,36,36,0,g557_gcst_00000,False,False,False,False,False
maze|a75|b1000,maze,75,1000,82,1,81,g557_gcst_00391,False,False,False,False,False
maze|a75|b2000,maze,75,2000,18,1,17,g557_gcst_00092,False,False,False,False,False
maze|a75|b500,maze,75,500,98,1,97,g557_gcst_00092,False,False,False,False,False
maze|a800|b1000,maze,800,1000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a800|b2000,maze,800,2000,18,18,0,g557_gcst_00000,False,False,False,False,False
maze|a800|b500,maze,800,500,36,36,0,g557_gcst_00000,False,False,False,False,False
other|a100|b1000,other,100,1000,163,72,91,g557_gcst_00000,False,False,False,False,False
other|a100|b2000,other,100,2000,176,50,126,g557_gcst_00000,False,False,False,False,False
other|a100|b500,other,100,500,134,19,115,g557_gcst_00000,False,False,False,False,False
other|a100|b5000,other,100,5000,121,36,85,g557_gcst_00000,False,False,False,False,False
other|a1000|b1000,other,1000,1000,130,121,9,g557_gcst_00000,False,False,False,False,False
other|a1000|b2000,other,1000,2000,114,110,4,g557_gcst_00000,False,False,False,False,False
other|a1000|b500,other,1000,500,40,31,9,g557_gcst_00000,False,False,False,False,False
other|a1000|b5000,other,1000,5000,58,45,13,g557_gcst_00000,False,False,False,False,False
other|a150|b1000,other,150,1000,163,72,91,g557_gcst_00000,False,False,False,False,False
other|a150|b2000,other,150,2000,176,62,114,g557_gcst_00000,False,False,False,False,False
other|a150|b500,other,150,500,72,18,54,g557_gcst_00000,False,False,False,False,False
other|a150|b5000,other,150,5000,59,36,23,g557_gcst_00000,False,False,False,False,False
other|a1500|b1000,other,1500,1000,130,130,0,g557_gcst_00000,False,False,False,False,False
other|a1500|b2000,other,1500,2000,112,112,0,g557_gcst_00000,False,False,False,False,False
other|a1500|b500,other,1500,500,18,18,0,g557_gcst_00000,False,False,False,False,False
other|a1500|b5000,other,1500,5000,36,36,0,g557_gcst_00000,False,False,False,False,False
other|a200|b1000,other,200,1000,163,78,85,g557_gcst_00000,False,False,False,False,False
other|a200|b2000,other,200,2000,176,55,121,g557_gcst_00000,False,False,False,False,False
other|a200|b500,other,200,500,72,18,54,g557_gcst_00000,False,False,False,False,False
other|a200|b5000,other,200,5000,59,36,23,g557_gcst_00000,False,False,False,False,False
other|a2000|b1000,other,2000,1000,85,85,0,g557_gcst_00000,False,False,False,False,False
other|a2000|b2000,other,2000,2000,68,68,0,g557_gcst_00000,False,False,False,False,False
other|a2000|b500,other,2000,500,17,17,0,g557_gcst_00000,False,False,False,False,False
other|a2000|b5000,other,2000,5000,34,34,0,g557_gcst_00000,False,False,False,False,False
other|a25|b1000,other,25,1000,164,48,116,g557_gcst_00000,False,False,False,False,False
other|a25|b2000,other,25,2000,178,43,135,g557_gcst_00000,False,False,False,False,False
other|a25|b500,other,25,500,136,14,122,g557_gcst_00000,False,False,False,False,False
other|a25|b5000,other,25,5000,122,37,85,g557_gcst_00000,False,False,False,False,False
other|a300|b1000,other,300,1000,163,82,81,g557_gcst_00000,False,False,False,False,False
other|a300|b2000,other,300,2000,176,85,91,g557_gcst_00000,False,False,False,False,False
other|a300|b500,other,300,500,72,19,53,g557_gcst_00000,False,False,False,False,False
other|a300|b5000,other,300,5000,59,37,22,g557_gcst_00000,False,False,False,False,False
other|a3000|b1000,other,3000,1000,68,68,0,g557_gcst_00000,False,False,False,False,False
other|a3000|b2000,other,3000,2000,68,68,0,g557_gcst_00000,False,False,False,False,False
other|a3000|b500,other,3000,500,17,17,0,g557_gcst_00000,False,False,False,False,False
other|a3000|b5000,other,3000,5000,34,34,0,g557_gcst_00000,False,False,False,False,False
other|a400|b1000,other,400,1000,163,122,41,g557_gcst_00000,False,False,False,False,False
other|a400|b2000,other,400,2000,176,109,67,g557_gcst_00000,False,False,False,False,False
other|a400|b500,other,400,500,72,25,47,g557_gcst_00000,False,False,False,False,False
other|a400|b5000,other,400,5000,59,39,20,g557_gcst_00000,False,False,False,False,False
other|a50|b1000,other,50,1000,164,73,91,g557_gcst_00000,False,False,False,False,False
other|a50|b2000,other,50,2000,178,56,122,g557_gcst_00000,False,False,False,False,False
other|a50|b500,other,50,500,136,18,118,g557_gcst_00000,False,False,False,False,False
