split,map_name,sample_count,changed_rule_class_count,changed_rule_class_rate,label_distribution,reason_distribution,mean_best_minus_stable
train,empty-16-16,180,25,0.1388888888888889,"{""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 27, ""decay_090"": 9, ""decay_095"": 12, ""neutral_additive"": 32, ""wait_heavy"": 7, ""wait_light"": 46}","{""additive_within_tie_band"": 6, ""best_below_neutral_threshold"": 26, ""priority_tie_break"": 148}",0.0009343082095204998
train,empty-32-32,240,73,0.30416666666666664,"{""block_heavy"": 50, ""block_light"": 5, ""commit_heavy"": 59, ""decay_090"": 2, ""decay_095"": 3, ""neutral_additive"": 69, ""wait_heavy"": 7, ""wait_light"": 45}","{""additive_within_tie_band"": 22, ""best_below_neutral_threshold"": 47, ""priority_tie_break"": 171}",0.0023193659240360338
train,maze-32-32-2,210,61,0.2904761904761905,"{""block_heavy"": 32, ""block_light"": 17, ""commit_heavy"": 44, ""decay_090"": 8, ""decay_095"": 8, ""neutral_additive"": 55, ""wait_heavy"": 10, ""wait_light"": 36}","{""additive_within_tie_band"": 21, ""best_below_neutral_threshold"": 34, ""priority_tie_break"": 155}",0.0016432125528716192
train,random-32-32-10,240,64,0.26666666666666666,"{""block_heavy"": 57, ""block_light"": 12, ""commit_heavy"": 42, ""decay_090"": 9, ""decay_095"": 4, ""neutral_additive"": 64, ""wait_heavy"": 12, ""wait_light"": 40}","{""additive_within_tie_band"": 20, ""best_below_neutral_threshold"": 44, ""priority_tie_break"": 176}",0.0016607245852918455
train,random-32-32-20,240,55,0.22916666666666666,"{""block_heavy"": 39, ""block_light"": 12, ""commit_heavy"": 51, ""decay_090"": 8, ""decay_095"": 9, ""neutral_additive"": 56, ""wait_heavy"": 19, ""wait_light"": 46}","{""additive_within_tie_band"": 11, ""best_below_neutral_threshold"": 45, ""priority_tie_break"": 184}",0.0012226084266691126
train,random-64-64-10,240,86,0.35833333333333334,"{""block_heavy"": 34, ""commit_heavy"": 78, ""decay_095"": 2, ""neutral_additive"": 119, ""wait_heavy"": 2, ""wait_light"": 5}","{""additive_within_tie_band"": 49, ""best_below_neutral_threshold"": 70, ""priority_tie_break"": 121}",0.0028916325546574553
train,random-64-64-20,240,110,0.4583333333333333,"{""block_heavy"": 49, ""commit_heavy"": 63, ""decay_095"": 1, ""neutral_additive"": 99, ""wait_heavy"": 10, ""wait_light"": 18}","{""additive_within_tie_band"": 49, ""best_below_neutral_threshold"": 50, ""priority_tie_break"": 141}",0.0031915843038823996
train,room-32-32-4,231,42,0.18181818181818182,"{""block_heavy"": 42, ""block_light"": 20, ""commit_heavy"": 56, ""decay_090"": 10, ""decay_095"": 13, ""neutral_additive"": 35, ""wait_heavy"": 10, ""wait_light"": 45}","{""additive_within_tie_band"": 5, ""best_below_neutral_threshold"": 30, ""priority_tie_break"": 196}",0.0008815834636031772
train,room-64-64-8,240,84,0.35,"{""block_heavy"": 43, ""block_light"": 18, ""commit_heavy"": 30, ""decay_090"": 1, ""decay_095"": 4, ""neutral_additive"": 101, ""wait_heavy"": 6, ""wait_light"": 37}","{""additive_within_tie_band"": 34, ""best_below_neutral_threshold"": 67, ""priority_tie_break"": 139}",0.0024249399375159252
train,warehouse-10-20-10-2-1,240,71,0.29583333333333334,"{""block_heavy"": 31, ""block_light"": 14, ""commit_heavy"": 63, ""decay_090"": 8, ""decay_095"": 9, ""neutral_additive"": 71, ""wait_heavy"": 12, ""wait_light"": 32}","{""additive_within_tie_band"": 28, ""best_below_neutral_threshold"": 43, ""priority_tie_break"": 169}",0.0019674334503133914
train,warehouse-20-40-10-2-1,225,62,0.27555555555555555,"{""block_heavy"": 20, ""commit_heavy"": 49, ""decay_090"": 3, ""decay_095"": 4, ""neutral_additive"": 134, ""wait_heavy"": 6, ""wait_light"": 9}","{""additive_within_tie_band"": 21, ""best_below_neutral_threshold"": 113, ""priority_tie_break"": 91}",0.0017613835696508448
validation,empty-48-48,240,104,0.43333333333333335,"{""block_heavy"": 50, ""block_light"": 1, ""commit_heavy"": 69, ""decay_090"": 1, ""decay_095"": 1, ""neutral_additive"": 110, ""wait_light"": 8}","{""additive_within_tie_band"": 55, ""best_below_neutral_threshold"": 55, ""priority_tie_break"": 130}",0.003384487728637947
validation,maze-32-32-4,219,53,0.2420091324200913,"{""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 40, ""decay_090"": 6, ""decay_095"": 12, ""neutral_additive"": 56, ""wait_heavy"": 19, ""wait_light"": 39}","{""additive_within_tie_band"": 11, ""best_below_neutral_threshold"": 45, ""priority_tie_break"": 163}",0.0012855955815567921
