artifact,path,exists,row_count,headers,sha256,sample_rows_json,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g535_decision_summary.json,True,1,,2124e0fb5dcafd3c,,False,False,False,False,False
no_regression_evidence_summary,outputs/reports/phase5p5_repair5g535_no_regression_evidence_summary.json,True,1,,ecb853dea0f0cc66,,False,False,False,False,False
no_regression_prospective_replay_summary,outputs/reports/phase5p5_repair5g535_no_regression_prospective_replay_summary.json,True,1,,ee7dbda67965106a,,False,False,False,False,False
calibrated_safety_gate_summary,outputs/reports/phase5p5_repair5g535_calibrated_safety_gate_summary.json,True,1,,0d7ca3339700a046,,False,False,False,False,False
constrained_selector_summary,outputs/reports/phase5p5_repair5g535_constrained_selector_summary.json,True,1,,48517c9660c26d6f,,False,False,False,False,False
g534_prospective_metric_integrity_summary,outputs/reports/phase5p5_repair5g535_g534_prospective_metric_integrity_summary.json,True,1,,c6fb953a283ca8a5,,False,False,False,False,False
success_regression_autopsy_summary,outputs/reports/phase5p5_repair5g535_success_regression_autopsy_summary.json,True,1,,b7acabf750e952be,,False,False,False,False,False
no_regression_selected_vs_additive,outputs/tables/phase5p5_repair5g535_no_regression_selected_vs_additive.csv,True,522,policy_role;context_budget_iteration_key;map;map_family;agents;seed;budget_ms;iteration;selected_candidate;additive_ratio;selected_ratio;corrected_delta_ratio_for_mean;quality_delta_ratio;success_regression;success_gain;both_fail;both_success;phase5p5_allowed;phase6_allowed;runtime_claim_allowed;learned_runtime_policy_validated;aaai_ready,60c6f2515b0fcbaf,"[{""aaai_ready"": ""False"", ""additive_ratio"": ""1.38877705083"", ""agents"": ""100"", ""both_fail"": ""False"", ""both_success"": ""True"", ""budget_ms"": ""1000"", ""context_budget_iteration_key"": ""maze-32-32-4|100|212|1000|0"", ""corrected_delta_ratio_for_mean"": ""0"", ""iteration"": ""0"", ""learned_runtime_policy_validated"": ""False"", ""map"": ""maze-32-32-4"", ""map_family"": ""maze"", ""phase5p5_allowed"": ""False"", ""phase6_allowed"": ""False"", ""policy_role"": ""G5.35_constrained_selected_candidate"", ""quality_delta_ratio"": ""0"", ""runtime_claim_allowed"": ""False"", ""seed"": ""212"", ""selected_candidate"": ""repair5g59_additive_fallback"", ""selected_ratio"": ""1.38877705083"", ""success_gain"": ""False"", ""success_regression"": ""False""}, {""aaai_ready"": ""False"", ""additive_ratio"": ""1.38877705083"", ""agents"": ""100"", ""both_fail"": ""False"", ""both_success""",False,False,False,False,False
constrained_selector_predictions,outputs/tables/phase5p5_repair5g535_constrained_selector_predictions.csv,True,8150,prediction_id;policy_variant;context_budget_iteration_key;map;map_family;agents;seed;budget_ms;iteration;g534_selected_candidate;selected_candidate;selection_reason;predicted_success_regression_risk;corrected_delta_ratio_for_mean;quality_delta_ratio;success_regression;unsafe_g534_candidate_prevented;selected_high_margin_safe_gain;phase5p5_allowed;phase6_allowed;runtime_claim_allowed;learned_runtime_policy_validated;aaai_ready,ae3df0d61d4ce4cc,"[{""aaai_ready"": ""False"", ""agents"": ""50"", ""budget_ms"": ""500"", ""context_budget_iteration_key"": ""maze-32-32-4|50|146|500|0"", ""corrected_delta_ratio_for_mean"": ""0"", ""g534_selected_candidate"": ""repair5g59_additive_fallback"", ""iteration"": ""0"", ""learned_runtime_policy_validated"": ""False"", ""map"": ""maze-32-32-4"", ""map_family"": ""maze"", ""phase5p5_allowed"": ""False"", ""phase6_allowed"": ""False"", ""policy_variant"": ""additive_baseline"", ""predicted_success_regression_risk"": ""0"", ""prediction_id"": ""g535_selector_pred_00000000"", ""quality_delta_ratio"": ""0"", ""runtime_claim_allowed"": ""False"", ""seed"": ""146"", ""selected_candidate"": ""repair5g59_additive_fallback"", ""selected_high_margin_safe_gain"": ""False"", ""selection_reason"": ""baseline_additive"", ""success_regression"": ""False"", ""unsafe_g534_candidate_prevented"": ""False",False,False,False,False,False
safety_gate_threshold_sweep,outputs/tables/phase5p5_repair5g535_safety_gate_threshold_sweep.csv,True,7,model_family;threshold;rows;unsafe_positive_rows;true_positive_count;false_negative_count;false_positive_count;true_negative_count;success_regression_recall;safe_opportunity_retention_rate;high_margin_safe_opportunity_retention_rate;fallback_rate;calibration_ece;phase5p5_allowed;phase6_allowed;runtime_claim_allowed;learned_runtime_policy_validated;aaai_ready;selected_threshold_candidate,2dea1f716fe1e166,"[{""aaai_ready"": ""False"", ""calibration_ece"": ""0.495726629065"", ""fallback_rate"": ""0.910116404656"", ""false_negative_count"": ""0"", ""false_positive_count"": ""7373"", ""high_margin_safe_opportunity_retention_rate"": ""0"", ""learned_runtime_policy_validated"": ""False"", ""model_family"": ""hybrid_rule_plus_torch_safety_gate"", ""phase5p5_allowed"": ""False"", ""phase6_allowed"": ""False"", ""rows"": ""8333"", ""runtime_claim_allowed"": ""False"", ""safe_opportunity_retention_rate"": ""0.0922186653534"", ""selected_threshold_candidate"": ""False"", ""success_regression_recall"": ""1"", ""threshold"": ""0.01"", ""true_negative_count"": ""749"", ""true_positive_count"": ""211"", ""unsafe_positive_rows"": ""211""}, {""aaai_ready"": ""False"", ""calibration_ece"": ""0.495726629065"", ""fallback_rate"": ""0.910116404656"", ""false_negative_count"": ""0"", ""false_positive_co",False,False,False,False,False
constrained_selector_threshold_sweep,outputs/tables/phase5p5_repair5g535_constrained_selector_threshold_sweep.csv,True,7,policy_variant;selected_vs_additive_pairs;mean_corrected_lexicographic_delta;quality_only_mean_delta;quality_only_pairs;success_regression_count;success_regression_rate;fallback_rate;non_additive_selection_rate;safe_high_margin_capture;unsafe_prevented_count;phase5p5_allowed;phase6_allowed;runtime_claim_allowed;learned_runtime_policy_validated;aaai_ready;threshold,ffc1265beb169179,"[{""aaai_ready"": ""False"", ""fallback_rate"": ""1"", ""learned_runtime_policy_validated"": ""False"", ""mean_corrected_lexicographic_delta"": ""0"", ""non_additive_selection_rate"": ""0"", ""phase5p5_allowed"": ""False"", ""phase6_allowed"": ""False"", ""policy_variant"": ""threshold_0.01"", ""quality_only_mean_delta"": ""0"", ""quality_only_pairs"": ""569"", ""runtime_claim_allowed"": ""False"", ""safe_high_margin_capture"": ""0"", ""selected_vs_additive_pairs"": ""815"", ""success_regression_count"": ""4"", ""success_regression_rate"": ""0.00490797546012"", ""threshold"": ""0.01"", ""unsafe_prevented_count"": ""0""}, {""aaai_ready"": ""False"", ""fallback_rate"": ""1"", ""learned_runtime_policy_validated"": ""False"", ""mean_corrected_lexicographic_delta"": ""0"", ""non_additive_selection_rate"": ""0"", ""phase5p5_allowed"": ""False"", ""phase6_allowed"": ""False"", ""policy_varia",False,False,False,False,False
repair5g535_common,scripts/repair5g535_common.py,True,1,,ced4c1dc96888017,,False,False,False,False,False
