feature_name,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_blocked_reason_vertex_conflict_rate,False,False,False,False,False,False
feature_blocked_reason_edge_swap_rate,False,False,False,False,False,False
feature_blocked_reason_reserved_block_rate,False,False,False,False,False,False
feature_blocked_reason_backtrack_rate,False,False,False,False,False,False
feature_blocked_reason_unknown_rate,False,False,False,False,False,False
feature_blocked_progress_event_rate,False,False,False,False,False,False
feature_blocked_nonprogress_event_rate,False,False,False,False,False,False
feature_competing_neighbor_count_mean,False,False,False,False,False,False
feature_competing_neighbor_count_max,False,False,False,False,False,False
feature_committed_local_position_mean,False,False,False,False,False,False
feature_blocked_local_position_mean,False,False,False,False,False,False
feature_wait_local_position_mean,False,False,False,False,False,False
feature_goal_progress_local_position_mean,False,False,False,False,False,False
feature_local_margin_top1_top2_mean,False,False,False,False,False,False
feature_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_candidate_predicted_weight_on_blocked_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_weight_on_committed_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_weight_on_wait_edges,False,False,False,False,False,False
feature_candidate_predicted_blocked_minus_committed_weight,False,False,False,False,False,False
feature_candidate_predicted_progress_minus_wait_weight,False,False,False,False,False,False
feature_candidate_predicted_goal_progress_local_position_shift,False,False,False,False,False,False
feature_candidate_predicted_wait_local_position_shift,False,False,False,False,False,False
feature_candidate_predicted_goal_progress_rank_shift,False,False,False,False,False,False
feature_candidate_predicted_wait_rank_shift,False,False,False,False,False,False
feature_candidate_predicted_blocked_edge_relief_metric,False,False,False,False,False,False
feature_candidate_predicted_nonprogress_penalty_metric,False,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_wait_edges,False,False,False,False,False,False
feature_candidate_predicted_congestion_decay_effect,False,False,False,False,False,False
feature_candidate_predicted_flow_decay_effect,False,False,False,False,False,False
feature_goal_aware_congestion_on_goal_progress_edges,False,False,False,False,False,False
feature_goal_aware_flow_on_goal_progress_edges,False,False,False,False,False,False
feature_goal_aware_congestion_on_blocked_edges,False,False,False,False,False,False
feature_goal_aware_flow_on_blocked_edges,False,False,False,False,False,False
feature_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_goal_aware_update_balance,False,False,False,False,False,False
feature_param_alpha_cong_committed,False,False,False,False,False,False
feature_param_alpha_cong_blocked,False,False,False,False,False,False
feature_param_alpha_flow_progress,False,False,False,False,False,False
feature_param_alpha_flow_wait_or_nonprogress,False,False,False,False,False,False
feature_param_rho_cong,False,False,False,False,False,False
feature_param_rho_flow,False,False,False,False,False,False
feature_param_flow_shield_beta,False,False,False,False,False,False
feature_param_max_flow_shield,False,False,False,False,False,False
feature_param_c_only,False,False,False,False,False,False
feature_mix_alpha_cong_committed_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_alpha_cong_committed_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_alpha_cong_committed_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_alpha_cong_committed_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_alpha_flow_progress_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_alpha_flow_progress_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_alpha_flow_progress_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_alpha_flow_progress_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_rho_cong_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_rho_cong_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_rho_cong_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_rho_cong_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_rho_flow_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_rho_flow_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_rho_flow_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_rho_flow_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_flow_shield_beta_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_flow_shield_beta_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_flow_shield_beta_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_flow_shield_beta_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_max_flow_shield_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_max_flow_shield_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_max_flow_shield_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_max_flow_shield_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_mix_c_only_blocked_progress_event_rate,False,False,False,False,False,False
feature_mix_c_only_competing_neighbor_count_mean,False,False,False,False,False,False
feature_mix_c_only_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_mix_c_only_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
