candidate_id,candidate_region,candidate_family,candidate_purpose,source_candidate,candidate_fingerprint,raw_pool_selected,selected_for_execution,include_in_probe,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,nearest_g518_candidate,nearest_g518_distance,nearest_old14_candidate,nearest_old14_distance,nearest_g521_candidate,nearest_g521_distance,exact_duplicate_of_retained_g518,exact_duplicate_of_old14,exact_duplicate_of_g521,selection_rank
repair5g522_grid_c1p10_b1p15_f1p00_w0p30_dc0p95_df1p00_beta0p30_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.150000|1.000000|0.300000|0.950000|1.000000|0.300000|0.750000|0,False,False,False,1.1,1.15,1.0,0.3,0.95,1.0,0.3,0.75,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.187082869339,repair5g59_wait_conservative,0.273861278753,repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.187082869339,False,False,False,
repair5g522_grid_c1p10_b1p15_f1p00_w0p45_dc0p95_df1p00_beta0p30_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.150000|1.000000|0.450000|0.950000|1.000000|0.300000|0.750000|0,False,False,False,1.1,1.15,1.0,0.45,0.95,1.0,0.3,0.75,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.19364916731,repair5g59_wait_conservative,0.19364916731,repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,0.187082869339,False,False,False,
repair5g522_grid_c1p10_b1p15_f1p00_w0p60_dc0p95_df1p00_beta0p45_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.150000|1.000000|0.600000|0.950000|1.000000|0.450000|0.750000|0,False,False,False,1.1,1.15,1.0,0.6,0.95,1.0,0.45,0.75,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,0.173205080757,repair5g59_wait_conservative,0.229128784748,repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,0.173205080757,False,False,False,
repair5g522_grid_c1p10_b1p40_f1p00_w0p30_dc0p93_df1p00_beta0p30_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.400000|1.000000|0.300000|0.930000|1.000000|0.300000|0.900000|0,False,False,False,1.1,1.4,1.0,0.3,0.93,1.0,0.3,0.9,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.265329983228,repair5g59_block_heavy_flow_guard,0.292232783924,repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.265329983228,False,False,False,
repair5g522_grid_c1p10_b1p40_f1p00_w0p45_dc0p93_df1p00_beta0p30_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.400000|1.000000|0.450000|0.930000|1.000000|0.300000|0.900000|0,False,False,False,1.1,1.4,1.0,0.45,0.93,1.0,0.3,0.9,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.255734237051,repair5g59_block_heavy_flow_guard,0.218860686282,repair5g521_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.255734237051,False,False,False,
repair5g522_grid_c1p10_b1p40_f1p00_w0p60_dc0p93_df1p00_beta0p45_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.400000|1.000000|0.600000|0.930000|1.000000|0.450000|0.900000|0,False,False,False,1.1,1.4,1.0,0.6,0.93,1.0,0.45,0.9,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.260576284416,repair5g59_block_heavy_flow_guard,0.25079872408,repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,0.235372045919,False,False,False,
repair5g522_grid_c1p10_b1p60_f1p00_w0p30_dc0p93_df1p00_beta0p30_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.600000|1.000000|0.300000|0.930000|1.000000|0.300000|0.900000|0,False,False,False,1.1,1.6,1.0,0.3,0.93,1.0,0.3,0.9,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.300665927567,repair5g59_block_heavy_flow_guard,0.292232783924,repair5g521_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.300665927567,False,False,False,
repair5g522_grid_c1p10_b1p60_f1p00_w0p45_dc0p93_df1p00_beta0p30_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.600000|1.000000|0.450000|0.930000|1.000000|0.300000|0.900000|0,False,False,False,1.1,1.6,1.0,0.45,0.93,1.0,0.3,0.9,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.260576284416,repair5g59_block_heavy_flow_guard,0.218860686282,repair5g521_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.260576284416,False,False,False,
repair5g522_grid_c1p10_b1p60_f1p00_w0p60_dc0p93_df1p00_beta0p45_max0p90_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.100000|1.600000|1.000000|0.600000|0.930000|1.000000|0.450000|0.900000|0,False,False,False,1.1,1.6,1.0,0.6,0.93,1.0,0.45,0.9,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.30886890423,repair5g59_block_heavy_flow_guard,0.25079872408,repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.30886890423,False,False,False,
repair5g522_grid_c1p25_b1p15_f1p00_w0p30_dc0p95_df1p00_beta0p30_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,local response around recurrent G5.18 winner,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.250000|1.150000|1.000000|0.300000|0.950000|1.000000|0.300000|0.750000|0,True,True,True,1.25,1.15,1.0,0.3,0.95,1.0,0.3,0.75,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.111803398875,repair5g59_wait_conservative,0.229128784748,repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.111803398875,False,False,False,5
