plan_row_id,split,context_id,map,map_family,agents,seed,nominal_budget_ms,budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,scenario_hash,fresh_seed_block,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,role,candidate_id,materialized_method,sampling_policy,global_fixed_candidate,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,round,theta_cluster,candidate_family,fulltheta_registry_row_id,counts_as_g554_fresh_solver_row
g554_stage2_000000000,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,repair5g554,,,,
g554_stage2_000000001,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,repair5g554,,,,
g554_stage2_000000002,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,False,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.6,0.75,1,11,1,0,0,repair5g554,,,,
g554_stage2_000000003,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c02556,g554_c02556,g554_c02556,trust_region_sobol_around_nearmiss,True,1.25,1.27285908536,1.25,0.75,0.75,0.973087666838,1.05706291644,0.970713891964,1,0.979503192003,1.42332315335,0.374965184965,0.769948332448,1,11.1576861202,0,0,1,,near_miss,trust_region_sobol_around_nearmiss,g554_registry_02556,True
g554_stage2_000000004,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c01014,g554_c01014,g554_c01014,cma_es_style_offline_candidates,True,1.25,1.29350284231,1.25,0.75,0.75,1.034004446,0.705422565426,0.9825,1,0.925456189913,0.567249380501,0.333269232869,0.810988992239,1,10.5305611326,1,0,0,,near_miss,cma_es_style_offline_candidates,g554_registry_01014,True
g554_stage2_000000005,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c02514,g554_c02514,g554_c02514,cma_es_style_offline_candidates,True,1.25,0.927555062898,1.25,0.75,0.75,1.02914203814,0.610642428143,0.9825,1,0.893064747843,0.821820591358,0.370161959362,0.79667953668,1,11.3566503647,1,0,0,,near_miss,cma_es_style_offline_candidates,g554_registry_02514,True
g554_stage2_000000006,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c02496,g554_c02496,g554_c02496,cma_es_style_offline_candidates,True,1.25,1.30447671698,1.25,0.75,0.75,1.05891301042,0.624439666939,0.932553582153,1,0.965942006942,0.245686833627,0.377463827464,0.811586034086,1,11.2524774775,1,0,0,,near_miss,cma_es_style_offline_candidates,g554_registry_02496,True
g554_stage2_000000007,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c00984,g554_c00984,g554_c00984,lambda_cong_micro_sweep,True,1.25,1,1.25,0.75,0.75,1,0,0.95,1,0.85,0,0.35,0.75,1,11,1,0,0,,tiny,lambda_cong_micro_sweep,g554_registry_00984,True
g554_stage2_000000008,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c00990,g554_c00990,g554_c00990,trust_region_sobol_around_hand,True,1.25,1.29557313932,1.25,0.75,0.75,1.02600625726,0,0.906787615538,1,0.985660585661,0,0.389142809143,0.779276185526,0.971621284121,11.1837450087,1,0,0,,small,trust_region_sobol_around_hand,g554_registry_00990,True
g554_stage2_000000009,stage2,stage2|random|a50|s4000|b2000|i2|t0.5,random-32-32-20,random,50,4000,2000,2000,stage2_short1000_t050_i2,1000,0.5,2,210819994780342,4000_4019,False,False,False,False,False,generated_theta::g554_c01026,g554_c01026,g554_c01026,lambda_cong_micro_sweep,True,1.25,1.3,1.25,0.75,0.75,1,0,0.95,1,0.95,0,0.35,0.75,1,11,1,0,0,,tiny,lambda_cong_micro_sweep,g554_registry_01026,True
