split,map_name,agents,seed,iteration,checkpoint_id,target_rule,target_best_rule_id,delta_best_rule_id,second_delta_rule_id,candidate_count,harmful_candidate_count,best_delta_ratio,second_delta_ratio,best_minus_second_margin,best_minus_additive_margin,best_minus_neutral_threshold,label_delta_ratio_best,label_confidence,neutral,within_0_001_count,margin_le_0_001,within_0_0025_count,margin_le_0_0025,within_0_005_count,margin_le_0_005,within_0_01_count,margin_le_0_01,within_0_02_count,margin_le_0_02,within_0_05_count,margin_le_0_05
train,empty-32-32,50,1,0,empty-32-32__a50__i1__phase4_phase4-full__iter0,block_heavy,block_heavy,block_heavy,wait_heavy,8,2,0.010989010989,0.0101437024514,0.0008453085376000005,0.010989010989,0.005989010989,0.010989010989,0.010989010989,0,2,1,2,1,2,1,2,1,6,1,8,1
train,empty-32-32,50,1,1,empty-32-32__a50__i1__phase4_phase4-full__iter1,commit_heavy,commit_heavy,commit_heavy,decay_095,8,0,0.0236686390533,0.0160608622147,0.007607776838600002,0.0236686390533,0.0186686390533,0.0236686390533,0.0236686390533,0,1,0,1,0,1,0,2,1,4,1,8,1
train,empty-32-32,50,1,2,empty-32-32__a50__i1__phase4_phase4-full__iter2,commit_heavy,commit_heavy,wait_heavy,commit_heavy,8,0,0.0126796280642,0.0126796280642,0.0,0.0126796280642,0.0076796280641999995,0.0126796280642,0.0126796280642,0,2,1,2,1,3,1,5,1,8,1,8,1
train,empty-32-32,50,1,3,empty-32-32__a50__i1__phase4_phase4-full__iter3,neutral_additive,additive_ltm,wait_light,block_light,8,0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,1,3,1,4,1,6,1,7,1,8,1,8,1
train,empty-32-32,100,1,0,empty-32-32__a100__i1__phase4_phase4-full__iter0,block_heavy,block_heavy,block_heavy,block_light,8,0,0.0548122572292,0.0388433318947,0.0159689253345,0.0548122572292,0.049812257229200005,0.0548122572292,0.0548122572292,0,1,0,1,0,1,0,1,0,3,1,5,1
train,empty-32-32,100,1,1,empty-32-32__a100__i1__phase4_phase4-full__iter1,block_heavy,block_heavy,block_heavy,commit_heavy,8,0,0.00992662926198,0.00733707380233,0.00258955545965,0.00992662926198,0.004926629261979999,0.00992662926198,0.00992662926198,0,1,0,1,0,2,1,4,1,7,1,8,1
train,empty-32-32,100,1,2,empty-32-32__a100__i1__phase4_phase4-full__iter2,decay_095,decay_095,decay_095,block_heavy,8,1,0.00604229607251,0.00431592576608,0.00172637030643,0.00604229607251,0.0010422960725099996,0.00604229607251,0.00604229607251,0,1,0,2,1,2,1,3,1,7,1,8,1
train,empty-32-32,100,1,3,empty-32-32__a100__i1__phase4_phase4-full__iter3,neutral_additive,additive_ltm,wait_heavy,additive_ltm,8,0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,1,3,1,3,1,5,1,6,1,8,1,8,1
train,empty-32-32,200,1,0,empty-32-32__a200__i1__phase4_phase4-full__iter0,neutral_additive,block_heavy,block_heavy,decay_095,8,2,0.00478905359179,0.0,0.00478905359179,0.00478905359179,-0.0002109464082099997,0.00478905359179,0.00478905359179,1,1,0,1,0,4,1,5,1,6,1,7,1
train,empty-32-32,200,1,1,empty-32-32__a200__i1__phase4_phase4-full__iter1,block_heavy,block_heavy,block_heavy,wait_heavy,8,0,0.0335233751425,0.0280501710376,0.005473204104899997,0.0335233751425,0.028523375142499998,0.0335233751425,0.0335233751425,0,1,0,1,0,1,0,2,1,5,1,8,1
train,empty-32-32,200,1,2,empty-32-32__a200__i1__phase4_phase4-full__iter2,block_light,block_light,block_light,decay_090,8,0,0.0353477765108,0.0207525655644,0.014595210946399997,0.0353477765108,0.030347776510799996,0.0353477765108,0.0353477765108,0,1,0,1,0,1,0,1,0,2,1,8,1
