aaai_ready,analytic_target_rate,field_group_trust,hidden_dim,learned_runtime_policy_validated,model_path,phase5p5_allowed,phase6_allowed,real_label_training,rich_attention_actor,runtime_claim_allowed,safe_subspace,scalar_only_control,seed,train_examples,uses_cross_attention,validation_examples,validation_fraction_exact_g556,validation_real_label_normalized_l1,validation_theta_variance_mean,variant_id,variant_name,checkpoint_exists
False,0.0,False,32,False,artifacts/models/gcst/g562_c0_scalar_context_control_seed562.pt,False,False,True,False,False,False,True,562,394,False,222,0.0,0.04649460761228929,8.889297532732598e-06,C0,scalar_context_control,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed562.pt,False,False,True,True,False,False,False,562,394,False,222,0.0,0.04337374187234017,3.686975105665624e-06,A1,dual_stream_c0_f0_graph_actor,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed563.pt,False,False,True,True,False,False,False,563,394,False,222,0.0,0.04338300304470567,3.4510730984038673e-06,A1,dual_stream_c0_f0_graph_actor,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed564.pt,False,False,True,True,False,False,False,564,394,False,222,0.0,0.04632905464585837,8.203335710277315e-06,A1,dual_stream_c0_f0_graph_actor,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a2_od_graph_cross_attention_actor_seed562.pt,False,False,True,True,False,False,False,562,394,True,222,0.0,0.04371895393574828,3.0019780297152465e-06,A2,od_graph_cross_attention_actor,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a2_od_graph_cross_attention_actor_seed563.pt,False,False,True,True,False,False,False,563,394,True,222,0.0,0.04316769507168247,3.3855387755465927e-06,A2,od_graph_cross_attention_actor,True
False,0.0,False,32,False,artifacts/models/gcst/g562_a2_od_graph_cross_attention_actor_seed564.pt,False,False,True,True,False,False,False,564,394,True,222,0.0,0.04616110432926599,9.859689271252137e-06,A2,od_graph_cross_attention_actor,True
False,0.0,True,32,False,artifacts/models/gcst/g562_a4_field_group_trust_safe_subspace_actor_seed562.pt,False,False,True,True,False,True,False,562,394,True,222,0.0,0.049798124083863186,1.4239824963624415e-07,A4,field_group_trust_safe_subspace_actor,True
False,0.0,True,32,False,artifacts/models/gcst/g562_a4_field_group_trust_safe_subspace_actor_seed563.pt,False,False,True,True,False,True,False,563,394,True,222,0.0,0.049149503629352595,8.892581604413863e-07,A4,field_group_trust_safe_subspace_actor,True
False,0.0,True,32,False,artifacts/models/gcst/g562_a4_field_group_trust_safe_subspace_actor_seed564.pt,False,False,True,True,False,True,False,564,394,True,222,0.0,0.04918864268708874,1.982454023163882e-06,A4,field_group_trust_safe_subspace_actor,True
