baseline_level,support_rows,success_regression_count_vs_additive,success_gain_count_vs_additive,quality_only_mean_delta_vs_additive,quality_only_mean_delta_vs_static_flow,fallback_or_additive_selection_rate,top_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,map_family,budget_ms,agents,iteration
additive_ltm,815,0,0,0,0.00430173360989,1,repair5g59_additive_fallback,False,False,False,False,False,,,,
best_budget_static_goal_aware,815,205,9,-0.00755361419748,-0.000325064944327,0,repair5g59_flow_decay,False,False,False,False,False,,,,
best_family_budget_static_goal_aware,815,177,7,-0.00365439418855,0.00275302102682,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,,
best_family_static_goal_aware,815,325,4,-0.00776180143996,-0.000168029029523,0.111656441718,repair5g59_wait_aggressive,False,False,False,False,False,,,,
best_fixed_static_goal_aware,815,27,11,-0.00510725430175,-0.00031007551141,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,,
best_safe_static_oracle_upper_bound,815,14,29,-0.00701214654165,-0.00197360877716,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,,,
static_flow_shield,815,25,10,-0.00430173360989,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,
additive_ltm,324,0,0,0,0.00383828144291,1,repair5g59_additive_fallback,False,False,False,False,False,maze,,,
additive_ltm,400,0,0,0,0.00485401848231,1,repair5g59_additive_fallback,False,False,False,False,False,random,,,
additive_ltm,91,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,warehouse,,,
best_budget_static_goal_aware,324,84,1,-0.00713211336268,-0.000796810877817,0,repair5g59_flow_decay,False,False,False,False,False,maze,,,
best_budget_static_goal_aware,400,121,5,-0.00841025060449,7.24377122826e-05,0,repair5g59_flow_decay,False,False,False,False,False,random,,,
best_budget_static_goal_aware,91,0,3,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,warehouse,,,
best_family_budget_static_goal_aware,324,0,1,-0.00472609921624,-0.000526923322427,0,repair5g59_flow_decay,False,False,False,False,False,maze,,,
best_family_budget_static_goal_aware,400,177,3,-0.00195209020664,0.00949282635984,0,repair5g59_c_only_f_disabled,False,False,False,False,False,random,,,
best_family_budget_static_goal_aware,91,0,3,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,warehouse,,,
best_family_static_goal_aware,324,142,0,-0.00587367135523,-0.000855555753349,0,repair5g59_low_beta_high_cap,False,False,False,False,False,maze,,,
best_family_static_goal_aware,400,183,4,-0.0101231737307,0.00040155130992,0,repair5g59_wait_aggressive,False,False,False,False,False,random,,,
best_family_static_goal_aware,91,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,warehouse,,,
best_fixed_static_goal_aware,324,1,0,-0.00393592790875,6.73712566802e-05,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,maze,,,
best_fixed_static_goal_aware,400,23,10,-0.00628779547432,-0.000647082398063,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,random,,,
best_fixed_static_goal_aware,91,3,1,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,warehouse,,,
best_safe_static_oracle_upper_bound,324,0,5,-0.00663855834685,-0.00240952830813,0,repair5g59_flow_decay,False,False,False,False,False,maze,,,
best_safe_static_oracle_upper_bound,400,14,21,-0.00761476293282,-0.00168974901993,0,repair5g59_flow_decay,False,False,False,False,False,random,,,
best_safe_static_oracle_upper_bound,91,0,3,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,warehouse,,,
static_flow_shield,324,1,1,-0.00383828144291,0,0,repair5g59_static_flow_shield,False,False,False,False,False,maze,,,
static_flow_shield,400,22,6,-0.00485401848231,0,0,repair5g59_static_flow_shield,False,False,False,False,False,random,,,
static_flow_shield,91,2,3,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,warehouse,,,
additive_ltm,288,0,0,0,-3.50740452e-05,1,repair5g59_additive_fallback,False,False,False,False,False,,1000,,
additive_ltm,293,0,0,0,0.0113389270185,1,repair5g59_additive_fallback,False,False,False,False,False,,2000,,
additive_ltm,234,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,,500,,
best_budget_static_goal_aware,288,119,0,-0.00102668810011,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,1000,,
best_budget_static_goal_aware,293,9,8,-0.0125880898141,-0.000556153767308,0,repair5g59_flow_decay,False,False,False,False,False,,2000,,
best_budget_static_goal_aware,234,77,1,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,500,,
best_family_budget_static_goal_aware,288,63,0,-0.000635568823878,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,1000,,
best_family_budget_static_goal_aware,293,65,6,-0.00863931551486,0.00696352377371,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,2000,,
