model,selected_policy_utility,candidate_induced_no_solution_count,region_match_rate,action_class_accuracy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
exact_failure_feature_only_ablation,0.019194682557,23,0.618932038835,0.339805825243,False,False,False,False,False
no_exact_failure_feature_ablation,0.012582825352,28,0.628640776699,0.334951456311,False,False,False,False,False
