candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c000919,maze,100,1000,stage2_short1000_t050_i2,70,0,70,0.00691710086729,30,35,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short1000_t050_i4,57,0,57,0.0068152127314,19,28,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short1000_t100_i2,51,0,51,0.000359247561569,20,19,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short1000_t100_i4,44,0,44,0.0129835989982,11,30,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short2000_t050_i2,34,0,34,0.014135400365,9,22,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short2000_t050_i4,29,0,29,-0.000341127704828,15,13,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short2000_t100_i2,26,0,26,0.0162760643812,7,14,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short2000_t100_i4,22,0,22,0.0151799070645,5,14,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short5000_t050_i2,70,0,70,0.005677390754,24,37,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short5000_t050_i4,57,0,57,0.00261483904,23,28,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short5000_t100_i2,52,0,52,0.000359741856731,18,21,False,False,False,False,False
g556_c000919,maze,100,1000,stage2_short5000_t100_i4,43,0,43,0.00872344224767,13,20,False,False,False,False,False
g556_c000919,maze,100,2000,stage2_short1000_t050_i2,70,0,70,0.00568342115271,23,37,False,False,False,False,False
g556_c000919,maze,100,2000,stage2_short1000_t050_i4,57,0,57,0.00294706225421,19,26,False,False,False,False,False
g556_c000919,maze,100,2000,stage2_short1000_t100_i2,53,0,53,0.0116032076545,18,29,False,False,False,False,False
