row_type,policy,model,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,0,0.00564015517,30,121,0.368932038835,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,1,0.004566921078,23,133,0.405339805825,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,2,0.00422839957,26,142,0.419902912621,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,3,0.004573011679,29,135,0.422330097087,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,4,0.004466765397,34,117,0.407766990291,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,5,0.005862222425,27,112,0.371359223301,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,6,0.004520613719,16,134,0.410194174757,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,7,0.004398976905,20,141,0.422330097087,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,8,0.005629692312,22,122,0.371359223301,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,9,0.004610914406,25,122,0.402912621359,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,10,0.00633302402,27,116,0.339805825243,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,11,0.004343067757,25,130,0.415048543689,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,12,0.005373485646,27,127,0.395631067961,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,13,0.003911360339,38,125,0.415048543689,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,14,0.004100719781,20,131,0.415048543689,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,15,0.006547167859,25,124,0.419902912621,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,16,0.003685531709,24,143,0.407766990291,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,17,0.004959870428,24,125,0.344660194175,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,18,0.006885423843,21,120,0.398058252427,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,19,0.005036256506,23,131,0.441747572816,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,20,0.005976678842,25,121,0.390776699029,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,21,0.003837400942,21,125,0.412621359223,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,22,0.005315872878,31,112,0.402912621359,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,23,0.003736598832,32,129,0.388349514563,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,24,0.003383955289,30,129,0.436893203883,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,25,0.004971435565,29,119,0.405339805825,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,26,0.004013718666,22,123,0.378640776699,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,27,0.005595583893,32,103,0.415048543689,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,28,0.007034454863,28,122,0.354368932039,False,False,False,False,False
bootstrap,distilled_policy_no_abstention,distilled_policy_no_abstention,29,0.004262854999,26,122,0.388349514563,False,False,False,False,False
