candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed
g566_repeatability_single_worker_e1_s565_d34581809933,,,,,,,,,,,,,False,False,False,False,False,1.2535667419433594,1.1708420515060425,1.2495503425598145,0.7241941690444946,0.768007218837738,1.0214885473251343,0.7084526419639587,0.9810523986816406,1.0,0.6750913858413696,0.6378558874130249,0.3424387276172638,0.9291168451309204,1.0,10.840883255004883,1,0,0,b427fea5988360f027270f4282442c34b5caaf7db74be669eeb1dc79457de855,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_05ccc2b53796,,,,,,,,,,,,,False,False,False,False,False,1.2538851499557495,1.1664478778839111,1.2522610425949097,0.7190624475479126,0.7612688541412354,1.0324246883392334,0.7037504315376282,0.9810020923614502,1.0,0.6691139936447144,0.6335071325302124,0.35109642148017883,0.94788658618927,1.0,10.85816764831543,1,0,0,5166cda044c5cd4cf1d541a1175478e3aa72f3d39b7596631517b5a4e8cfc6a1,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_023aa21217ba,,,,,,,,,,,,,False,False,False,False,False,1.2522438764572144,1.1656821966171265,1.2544163465499878,0.7230604290962219,0.7618144750595093,1.0368648767471313,0.7014691829681396,0.9810760021209717,1.0,0.6711742877960205,0.6358559131622314,0.35193267464637756,0.9383132457733154,1.0,10.855393409729004,1,0,0,447a002b21bd1442e75e4225b5538cc360b27b84c83f784973b62daf100a360d,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_f15c36382948,,,,,,,,,,,,,False,False,False,False,False,1.2272053956985474,1.1705360412597656,1.283179759979248,0.7475669384002686,0.7557058334350586,1.04509699344635,0.7082852125167847,0.9809632301330566,1.0,0.6818345785140991,0.653659999370575,0.34021133184432983,0.8422656059265137,1.0,10.824281692504883,1,0,0,38add29118bf4fa18c05e413a8d9225a7fc4b1c16e04d783314ac395b0f361bb,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_bfd1dc0ed153,,,,,,,,,,,,,False,False,False,False,False,1.2537552118301392,1.1669870615005493,1.2553943395614624,0.7151241302490234,0.7604730725288391,1.0322678089141846,0.7047519087791443,0.981132447719574,1.0,0.6675042510032654,0.6301690936088562,0.35471731424331665,0.95424485206604,1.0,10.867021560668945,1,0,0,64b9ab298050d5dc1f8e1491f8a4c1f085936492cb27a81749d6143625a38b15,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_ec01585f60e4,,,,,,,,,,,,,False,False,False,False,False,1.2520920038223267,1.1694942712783813,1.2527353763580322,0.7398942112922668,0.7576665878295898,1.04074227809906,0.7028132677078247,0.9805108308792114,1.0,0.6794918775558472,0.6450940370559692,0.3399607539176941,0.8598303198814392,1.0,10.825630187988281,1,0,0,3ba650ffaa82360ab546273b1a695fdfdb0469d3a124830a2f395974b656acf2,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_1232039fcf22,,,,,,,,,,,,,False,False,False,False,False,1.2497477531433105,1.1697008609771729,1.26150643825531,0.7216348648071289,0.7593039870262146,1.0391175746917725,0.7019252181053162,0.981166422367096,1.0,0.6714286804199219,0.6381661891937256,0.35545092821121216,0.9432788491249084,1.0,10.862405776977539,1,0,0,496de83d8495e495d6273067dafc10d570511d449c2ae1d1008597afa32016de,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_0f8d252e13d3,,,,,,,,,,,,,False,False,False,False,False,1.2534259557724,1.172146201133728,1.247908592224121,0.7252798080444336,0.7692554593086243,1.0189263820648193,0.7092599868774414,0.9810335040092468,1.0,0.6762872934341431,0.6390658617019653,0.34099632501602173,0.9249576330184937,1.0,10.83796215057373,1,0,0,6d14babb4ebb1abed253704cfe78c5a7738de43957b46ac89a98c0ba4593e525,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_343cd19b0509,,,,,,,,,,,,,False,False,False,False,False,1.2485637664794922,1.1709612607955933,1.2802506685256958,0.7132399678230286,0.7583695650100708,1.038530945777893,0.7035378813743591,0.9816806316375732,1.0,0.6644006967544556,0.6326221227645874,0.36297062039375305,0.9597283005714417,1.0,10.855443954467773,1,0,0,1827a94960b1ec33b4a2f4afb08753f2c764fe0a4771fdf5362ce2db9912ae58,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_25c2ea282a74,,,,,,,,,,,,,False,False,False,False,False,1.252251148223877,1.1657159328460693,1.2551194429397583,0.7215394377708435,0.7609355449676514,1.037168264389038,0.701704204082489,0.9810929298400879,1.0,0.6701620221138,0.6345450282096863,0.35345107316970825,0.9424256086349487,1.0,10.859875679016113,1,0,0,421fd80eac9e3aa11232d9fea821300666b49cb0697911061d1203db9cec9150,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
