candidate_id,candidate_region,candidate_family,rows,finite_rows,oracle_win_count,candidate_induced_no_solution_count,budget_sensitive_candidate_failure_count,mean_score,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g522_grid_c0p80_b1p15_f0p75_w0p30_dc0p88_df0p90_beta0p25_max0p50_c0,D_fractional_coverage,orthogonal_coverage,120,79,0,41,1,1.282291371462,0.8,1.15,0.75,0.3,0.88,0.9,0.25,0.5,0.0,False,False,False,False,False
repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,D_fractional_coverage,orthogonal_coverage,120,80,8,40,4,1.242394284862,0.83,1.5,1.04,0.64,0.97,1.0,0.68,1.0,0.0,False,False,False,False,False
repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,D_fractional_coverage,orthogonal_coverage,120,82,1,38,2,1.24044635581,0.85,1.24,0.87,0.48,0.95,0.98,0.65,0.99,0.0,False,False,False,False,False
repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,orthogonal_coverage,120,80,10,40,2,1.216321962716,0.87,1.57,1.13,0.79,0.91,0.95,0.54,0.89,0.0,False,False,False,False,False
repair5g522_grid_c0p90_b1p30_f1p00_w0p40_dc0p95_df1p00_beta0p30_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,120,81,0,39,3,1.238663138579,0.9,1.3,1.0,0.4,0.95,1.0,0.3,0.75,0.0,False,False,False,False,False
repair5g522_grid_c0p90_b1p40_f1p00_w0p40_dc0p95_df1p00_beta0p40_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,120,80,0,40,0,1.240517558954,0.9,1.4,1.0,0.4,0.95,1.0,0.4,0.75,0.0,False,False,False,False,False
repair5g522_grid_c0p90_b1p55_f1p00_w0p55_dc0p95_df1p00_beta0p45_max0p75_c0,A_g518_winner_neighborhood,winner_neighborhood,120,78,0,42,2,1.24374759496,0.9,1.55,1.0,0.55,0.95,1.0,0.45,0.75,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p65_c0,B_static_recovery_feasibility,feasibility_oriented,120,82,2,38,2,1.25663332225,1.0,1.35,1.0,0.4,0.92,0.98,0.35,0.65,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p80_c0,B_static_recovery_feasibility,feasibility_oriented,120,79,4,41,3,1.23277540749,1.0,1.35,1.0,0.4,0.92,0.98,0.35,0.8,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p50_dc0p92_df0p98_beta0p35_max0p65_c0,B_static_recovery_feasibility,feasibility_oriented,120,81,2,39,1,1.258025799901,1.0,1.35,1.0,0.5,0.92,0.98,0.35,0.65,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p50_dc0p92_df0p98_beta0p35_max0p80_c0,B_static_recovery_feasibility,feasibility_oriented,120,79,0,41,1,1.232068739536,1.0,1.35,1.0,0.5,0.92,0.98,0.35,0.8,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p40_dc0p92_df0p98_beta0p30_max0p80_c0,B_static_recovery_feasibility,feasibility_oriented,120,80,2,40,0,1.234585969398,1.0,1.45,1.0,0.4,0.92,0.98,0.3,0.8,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p65_c0,B_static_recovery_feasibility,feasibility_oriented,120,80,1,40,4,1.250460425906,1.0,1.45,1.0,0.4,0.92,0.98,0.35,0.65,0.0,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p50_dc0p92_df0p98_beta0p30_max0p80_c0,B_static_recovery_feasibility,feasibility_oriented,120,81,1,39,3,1.234785616054,1.0,1.45,1.0,0.5,0.92,0.98,0.3,0.8,0.0,False,False,False,False,False
repair5g522_grid_c1p14_b1p46_f0p83_w0p73_dc0p90_df1p00_beta0p34_max0p94_c0,D_fractional_coverage,orthogonal_coverage,120,81,9,39,3,1.22382576839,1.14,1.46,0.83,0.73,0.9,1.0,0.34,0.94,0.0,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p55_max0p90_c0,C_risk_boundary,risk_boundary,120,82,4,38,2,1.215840788556,1.2,1.55,1.05,0.75,0.9,0.95,0.55,0.9,0.0,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p65_max0p90_c0,C_risk_boundary,risk_boundary,120,79,4,41,1,1.216677886326,1.2,1.55,1.05,0.75,0.9,0.95,0.65,0.9,0.0,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p90_dc0p90_df0p95_beta0p55_max0p90_c0,C_risk_boundary,risk_boundary,120,82,8,38,2,1.214478816636,1.2,1.55,1.05,0.9,0.9,0.95,0.55,0.9,0.0,False,False,False,False,False
repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,orthogonal_coverage,120,83,8,37,3,1.235351194181,1.22,1.29,0.78,0.75,0.94,0.94,0.25,0.92,0.0,False,False,False,False,False
repair5g522_grid_c1p25_b1p66_f1p09_w0p62_dc0p93_df0p94_beta0p31_max0p51_c0,D_fractional_coverage,orthogonal_coverage,120,80,0,40,4,1.274937156209,1.25,1.66,1.09,0.62,0.93,0.94,0.31,0.51,0.0,False,False,False,False,False
repair5g522_grid_c1p26_b1p68_f1p11_w0p66_dc0p95_df0p96_beta0p39_max0p61_c0,D_fractional_coverage,orthogonal_coverage,120,77,0,43,1,1.264110260195,1.26,1.68,1.11,0.66,0.95,0.96,0.39,0.61,0.0,False,False,False,False,False
repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,D_fractional_coverage,orthogonal_coverage,120,81,10,39,1,1.214113591239,1.29,1.74,1.18,0.77,0.99,1.01,0.62,0.91,0.0,False,False,False,False,False
