feature,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_agent_density_per_corridor_vertex,False,False,False,False,False,False
feature_agent_density_per_free_vertex,False,False,False,False,False,False
feature_agent_goal_clustering_proxy,False,False,False,False,False,False
feature_agent_path_intersection_proxy,False,False,False,False,False,False
feature_agent_path_length_imbalance,False,False,False,False,False,False
feature_agent_start_goal_overlap_rate,False,False,False,False,False,False
feature_blocked_local_position_mean,False,False,False,False,False,False
feature_blocked_reason_backtrack_rate,False,False,False,False,False,False
feature_blocked_reason_edge_swap_rate,False,False,False,False,False,False
feature_blocked_reason_vertex_conflict_rate,False,False,False,False,False,False
feature_candidate_predicted_blocked_edge_relief_metric,False,False,False,False,False,False
feature_candidate_predicted_blocked_minus_committed_weight,False,False,False,False,False,False
feature_candidate_predicted_congestion_decay_effect,False,False,False,False,False,False
feature_candidate_predicted_flow_decay_effect,False,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_wait_edges,False,False,False,False,False,False
feature_candidate_predicted_goal_progress_local_position_shift,False,False,False,False,False,False
feature_candidate_predicted_goal_progress_rank_shift,False,False,False,False,False,False
feature_candidate_predicted_nonprogress_penalty_metric,False,False,False,False,False,False
feature_candidate_predicted_progress_minus_wait_weight,False,False,False,False,False,False
feature_candidate_predicted_wait_local_position_shift,False,False,False,False,False,False
feature_candidate_predicted_wait_rank_shift,False,False,False,False,False,False
feature_candidate_predicted_weight_on_blocked_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_weight_on_committed_progress_edges,False,False,False,False,False,False
feature_candidate_predicted_weight_on_wait_edges,False,False,False,False,False,False
feature_candidate_x_backtrack_beta,False,False,False,False,False,False
feature_candidate_x_bottleneck_alpha_blocked,False,False,False,False,False,False
feature_candidate_x_corridor_flow_shield,False,False,False,False,False,False
feature_candidate_x_dead_end_wait_penalty,False,False,False,False,False,False
feature_candidate_x_density_beta,False,False,False,False,False,False
feature_candidate_x_failure_rank_alpha_wait,False,False,False,False,False,False
feature_candidate_x_local_cut_congestion_decay,False,False,False,False,False,False
feature_candidate_x_path_overlap_flow_progress,False,False,False,False,False,False
feature_candidate_x_vertex_conflict_flow_decay,False,False,False,False,False,False
feature_committed_local_position_mean,False,False,False,False,False,False
feature_committed_vs_blocked_rank_margin_x_candidate_flow,False,False,False,False,False,False
feature_competing_neighbor_count_max,False,False,False,False,False,False
feature_competing_neighbor_count_mean,False,False,False,False,False,False
feature_congestion_decay_expected_on_blocked_edges,False,False,False,False,False,False
feature_failed_candidate_backtrack_histogram,False,False,False,False,False,False
feature_failed_candidate_edge_swap_histogram,False,False,False,False,False,False
feature_failed_candidate_priority_block_histogram,False,False,False,False,False,False
feature_failed_candidate_rank_histogram_max,False,False,False,False,False,False
feature_failed_candidate_rank_histogram_mean,False,False,False,False,False,False
feature_failed_candidate_reason_x_candidate_param_backtrack_flow_shield,False,False,False,False,False,False
feature_failed_candidate_reason_x_candidate_param_vertex_conflict_alpha_blocked,False,False,False,False,False,False
feature_failed_candidate_vertex_conflict_histogram,False,False,False,False,False,False
feature_failed_rank_x_alpha_blocked,False,False,False,False,False,False
feature_failed_rank_x_alpha_wait,False,False,False,False,False,False
feature_failed_rank_x_flow_shield,False,False,False,False,False,False
feature_failure_agent_repetition_rate,False,False,False,False,False,False
feature_failure_audit_event_count,False,False,False,False,False,False
feature_failure_backtrack_rate,False,False,False,False,False,False
feature_failure_candidate_count_max,False,False,False,False,False,False
feature_failure_candidate_count_mean,False,False,False,False,False,False
feature_failure_dependency_chain_proxy,False,False,False,False,False,False
feature_failure_edge_swap_rate,False,False,False,False,False,False
feature_failure_first_reason_hash,False,False,False,False,False,False
feature_failure_last_reason_hash,False,False,False,False,False,False
