context_id,topology_id,gcst_theta_id,oracle_theta_id,fallback_to_g556,gcst_quality_delta_vs_g556,oracle_quality_delta_vs_g556,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|a25|s101443|it0|g557_label_matrix_random_32_32_20_a25_s101443_hb500_short1000_t200_i2_b500,,g556_c063174,g557_gcst_00366,True,0,-0.02550091075,False,False,False,False,False
random-32-32-10|a25|s103845|it0|g557_label_matrix_random_32_32_10_a25_s103845_hb1000_short500_t100_i4_b1000,,g556_c063174,g557_gcst_00014,True,0,-0.0281124498,False,False,False,False,False
random-64-64-10|a25|s103126|it0|g557_label_matrix_random_64_64_10_a25_s103126_hb1000_short1000_t200_i2_b1000,,g556_c063174,g557_gcst_00079,True,0,-0.02284011917,False,False,False,False,False
random-64-64-20|a25|s103638|it0|g557_label_matrix_random_64_64_20_a25_s103638_hb5000_short2000_t050_i2_b5000,,g556_c063174,g557_gcst_00042,True,0,-0.03069466882,False,False,False,False,False
random-64-64-20|a25|s105044|it0|g557_label_matrix_random_64_64_20_a25_s105044_hb500_short250_t200_i4_b500,,g556_c063174,g557_gcst_00042,True,0,-0.02439024391,False,False,False,False,False
random-64-64-20|a25|s105764|it0|g557_label_matrix_random_64_64_20_a25_s105764_hb500_short2000_t200_i8_b500,,g556_c063174,g557_gcst_00089,True,0,-0.02066115702,False,False,False,False,False
random-32-32-10|a25|s107719|it0|g557_label_matrix_random_32_32_10_a25_s107719_hb5000_short1000_t200_i8_b5000,,g556_c063174,g557_gcst_00052,True,0,-0.00844594594,False,False,False,False,False
random-32-32-20|a25|s109157|it0|g557_label_matrix_random_32_32_20_a25_s109157_hb5000_short250_t100_i8_b5000,,g556_c063174,g557_gcst_00509,True,0,-0.02728731942,False,False,False,False,False
random-32-32-10|a25|s109605|it0|g557_label_matrix_random_32_32_10_a25_s109605_hb1000_short250_t050_i2_b1000,,g556_c063174,g557_gcst_00253,True,0,-0.05081300813,False,False,False,False,False
random-64-64-10|a25|s107840|it0|g557_label_matrix_random_64_64_10_a25_s107840_hb500_short250_t100_i2_b500,,g556_c063174,g557_gcst_00230,True,0,-0.01755926251,False,False,False,False,False
random-32-32-10|a25|s110085|it0|g557_label_matrix_random_32_32_10_a25_s110085_hb1000_short250_t100_i4_b1000,,g556_c063174,g557_gcst_00349,True,0,-0.03376205788,False,False,False,False,False
random-32-32-10|a25|s112005|it0|g557_label_matrix_random_32_32_10_a25_s112005_hb1000_short2000_t200_i8_b1000,,g556_c063174,g557_gcst_00042,True,0,-0.04597701149,False,False,False,False,False
random-32-32-10|a25|s112039|it0|g557_label_matrix_random_32_32_10_a25_s112039_hb5000_short2000_t200_i8_b5000,,g556_c063174,g557_gcst_00190,True,0,-0.0581655481,False,False,False,False,False
random-32-32-20|a25|s112963|it0|g557_label_matrix_random_32_32_20_a25_s112963_hb500_short2000_t200_i4_b500,,g556_c063174,g557_gcst_00184,True,0,-0.07640067912,False,False,False,False,False
random-32-32-10|a50|s100099|it0|g557_label_matrix_random_32_32_10_a50_s100099_hb5000_short1000_t050_i4_b5000,,g556_c063174,g557_gcst_00244,True,0,-0.00833333333,False,False,False,False,False
random-32-32-20|a50|s102497|it0|g557_label_matrix_random_32_32_20_a50_s102497_hb5000_short250_t200_i2_b5000,,g556_c063174,g557_gcst_00334,True,0,-0.08196721311,False,False,False,False,False
random-64-64-20|a50|s100098|it0|g557_label_matrix_random_64_64_20_a50_s100098_hb5000_short1000_t200_i4_b5000,,g556_c063174,g557_gcst_00509,True,0,-0.01103448276,False,False,False,False,False
random-64-64-10|a50|s100066|it0|g557_label_matrix_random_64_64_10_a50_s100066_hb1000_short500_t050_i8_b1000,,g556_c063174,g557_gcst_00339,True,0,-0.01339712919,False,False,False,False,False
random-32-32-10|a50|s102979|it0|g557_label_matrix_random_32_32_10_a50_s102979_hb5000_short500_t050_i4_b5000,,g556_c063174,g557_gcst_00050,True,0,-0.0397877984,False,False,False,False,False
random-64-64-10|a50|s100880|it0|g557_label_matrix_random_64_64_10_a50_s100880_hb500_short500_t200_i4_b500,,g556_c063174,g557_gcst_00042,True,0,-0.0239887112,False,False,False,False,False
random-32-32-10|a50|s103905|it0|g557_label_matrix_random_32_32_10_a50_s103905_hb1000_short500_t100_i2_b1000,,g556_c063174,g557_gcst_00368,True,0,-0.0632008155,False,False,False,False,False
random-32-32-10|a50|s105345|it0|g557_label_matrix_random_32_32_10_a50_s105345_hb1000_short2000_t200_i2_b1000,,g556_c063174,g557_gcst_00024,True,0,-0.03339517625,False,False,False,False,False
random-64-64-20|a50|s103664|it0|g557_label_matrix_random_64_64_20_a50_s103664_hb500_short2000_t050_i8_b500,,g556_c063174,g557_gcst_00443,True,0,-0.02127659575,False,False,False,False,False
random-64-64-10|a50|s104746|it0|g557_label_matrix_random_64_64_10_a50_s104746_hb1000_short1000_t200_i8_b1000,,g556_c063174,g557_gcst_00138,True,0,-0.02744932432,False,False,False,False,False
random-64-64-10|a50|s105526|it0|g557_label_matrix_random_64_64_10_a50_s105526_hb1000_short500_t100_i8_b1000,,g556_c063174,g557_gcst_00368,True,0,-0.01844843898,False,False,False,False,False
random-64-64-20|a50|s107264|it0|g557_label_matrix_random_64_64_20_a50_s107264_hb500_short500_t050_i2_b500,,g556_c063174,g557_gcst_00430,True,0,-0.01479713604,False,False,False,False,False
random-32-32-10|a50|s114019|it0|g557_label_matrix_random_32_32_10_a50_s114019_hb5000_short1000_t200_i4_b5000,,g556_c063174,g557_gcst_00128,True,0,-0.02366863905,False,False,False,False,False
random-64-64-20|a50|s112304|it0|g557_label_matrix_random_64_64_20_a50_s112304_hb500_short500_t200_i4_b500,,g556_c063174,g557_gcst_00294,True,0,-0.01894102454,False,False,False,False,False
random-32-32-10|a50|s114979|it0|g557_label_matrix_random_32_32_10_a50_s114979_hb5000_short2000_t200_i2_b5000,,g556_c063174,g557_gcst_00465,True,0,-0.01996370236,False,False,False,False,False
random-64-64-20|a50|s113744|it0|g557_label_matrix_random_64_64_20_a50_s113744_hb500_short2000_t100_i4_b500,,g556_c063174,g557_gcst_00079,True,0,-0.02270779777,False,False,False,False,False
random-64-64-10|a50|s113360|it0|g557_label_matrix_random_64_64_10_a50_s113360_hb500_short250_t200_i4_b500,,g556_c063174,g557_gcst_00437,True,0,-0.00737463127,False,False,False,False,False
random-32-32-20|a75|s100637|it0|g557_label_matrix_random_32_32_20_a75_s100637_hb5000_short2000_t050_i4_b5000,,g556_c063174,g557_gcst_00230,True,0,-0.06429463171,False,False,False,False,False
random-64-64-10|a50|s114886|it0|g557_label_matrix_random_64_64_10_a50_s114886_hb1000_short1000_t050_i8_b1000,,g556_c063174,g557_gcst_00499,True,0,-0.00790330079,False,False,False,False,False
random-32-32-10|a75|s103039|it0|g557_label_matrix_random_32_32_10_a75_s103039_hb5000_short1000_t050_i8_b5000,,g556_c063174,g557_gcst_00166,True,0,-0.02729970327,False,False,False,False,False
random-32-32-20|a75|s103517|it0|g557_label_matrix_random_32_32_20_a75_s103517_hb5000_short1000_t100_i2_b5000,,g556_c063174,g557_gcst_00246,True,0,-0.02477183833,False,False,False,False,False
random-64-64-10|a75|s100906|it0|g557_label_matrix_random_64_64_10_a75_s100906_hb1000_short500_t100_i2_b1000,,g556_c063174,g557_gcst_00199,True,0,-0.00929080211,False,False,False,False,False
random-32-32-10|a75|s105885|it0|g557_label_matrix_random_32_32_10_a75_s105885_hb1000_short250_t100_i8_b1000,,g556_c063174,g557_gcst_00382,True,0,-0.02524383248,False,False,False,False,False
random-64-64-10|a75|s104026|it0|g557_label_matrix_random_64_64_10_a75_s104026_hb1000_short2000_t050_i2_b1000,,g556_c063174,g557_gcst_00207,True,0,-0.01163146618,False,False,False,False,False
random-64-64-20|a75|s105918|it0|g557_label_matrix_random_64_64_20_a75_s105918_hb5000_short500_t100_i8_b5000,,g556_c063174,g557_gcst_00509,True,0,-0.01112113015,False,False,False,False,False
random-32-32-20|a75|s108283|it0|g557_label_matrix_random_32_32_20_a75_s108283_hb500_short2000_t050_i4_b500,,g556_c063174,g557_gcst_00270,True,0,-0.01005586592,False,False,False,False,False
random-32-32-20|a75|s109757|it0|g557_label_matrix_random_32_32_20_a75_s109757_hb5000_short500_t200_i2_b5000,,g556_c063174,g557_gcst_00402,True,0,-0.03307607497,False,False,False,False,False
random-32-32-10|a75|s109759|it0|g557_label_matrix_random_32_32_10_a75_s109759_hb5000_short1000_t200_i2_b5000,,g556_c063174,g557_gcst_00266,True,0,-0.04774535809,False,False,False,False,False
random-32-32-20|a75|s112123|it0|g557_label_matrix_random_32_32_20_a75_s112123_hb500_short2000_t100_i8_b500,,g556_c063174,g557_gcst_00337,True,0,-0.02792956891,False,False,False,False,False
random-64-64-10|a75|s110266|it0|g557_label_matrix_random_64_64_10_a75_s110266_hb1000_short1000_t050_i2_b1000,,g556_c063174,g557_gcst_00161,True,0,-0.02393442623,False,False,False,False,False
random-64-64-10|a75|s110300|it0|g557_label_matrix_random_64_64_10_a75_s110300_hb500_short2000_t050_i2_b500,,g556_c063174,g557_gcst_00437,True,0,-0.01637879691,False,False,False,False,False
random-32-32-20|a75|s114077|it0|g557_label_matrix_random_32_32_20_a75_s114077_hb5000_short2000_t100_i8_b5000,,g556_c063174,g557_gcst_00116,True,0,-0.05347593583,False,False,False,False,False
random-32-32-20|a100|s100183|it0|g557_label_matrix_random_32_32_20_a100_s100183_hb500_short1000_t100_i8_b500,,g556_c063174,g557_gcst_00243,True,0,-0.00865979381,False,False,False,False,False
random-64-64-10|a75|s112640|it0|g557_label_matrix_random_64_64_10_a75_s112640_hb500_short500_t050_i2_b500,,g556_c063174,g557_gcst_00437,True,0,-0.02327746741,False,False,False,False,False
random-64-64-10|a75|s114946|it0|g557_label_matrix_random_64_64_10_a75_s114946_hb1000_short2000_t200_i2_b1000,,g556_c063174,g557_gcst_00042,True,0,-0.0129032258,False,False,False,False,False
random-32-32-20|a100|s103543|it0|g557_label_matrix_random_32_32_20_a100_s103543_hb500_short1000_t100_i8_b500,,g556_c063174,g557_gcst_00097,True,0,-0.06843764071,False,False,False,False,False
random-64-64-20|a100|s102378|it0|g557_label_matrix_random_64_64_20_a100_s102378_hb5000_short2000_t050_i8_b5000,,g556_c063174,g557_gcst_00349,True,0,-0.04109589041,False,False,False,False,False
random-32-32-10|a100|s104539|it0|g557_label_matrix_random_32_32_10_a100_s104539_hb5000_short250_t100_i4_b5000,,g556_c063174,g557_gcst_00182,True,0,-0.05216165413,False,False,False,False,False
random-32-32-20|a100|s105017|it0|g557_label_matrix_random_32_32_20_a100_s105017_hb5000_short250_t050_i4_b5000,,g556_c063174,g557_gcst_00500,True,0,-0.04296698327,False,False,False,False,False
random-32-32-10|a100|s104985|it0|g557_label_matrix_random_32_32_10_a100_s104985_hb1000_short250_t050_i8_b1000,,g556_c063174,g557_gcst_00483,True,0,-0.04505386876,False,False,False,False,False
