column,model_facing,forbidden,source,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_map_family_maze,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_map_family_random,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_map_family_warehouse,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_agents,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_budget_ms,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_iteration_final,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_obstacle_ratio_proxy,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_corridor_proxy,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_junction_proxy,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_trace_event_count,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_trace_events_per_agent,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_pibt_failure_audit_count,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_expanded_nodes,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_high_level_expansions,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_low_level_pibt_calls,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_expansions_per_agent,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
feature_budget_per_agent,True,False,runtime_context_or_trace_aggregate,False,False,False,False,False
