probe_id,context_id,topology_id,map,map_family,agents,agent_count,seed,nominal_budget_ms,horizon_id,probe_method,probe_budget_ms,main_solver_must_restart_from_scratch,probe_trace_from_candidate_theta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_probe_000000,g557_ctx_00000000,g557_topology_000_empty,empty-32-32,empty,25,25,100000,500,b500_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000001,g557_ctx_00000001,g557_topology_001_empty,empty-48-48,empty,25,25,100001,500,b500_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000002,g557_ctx_00000002,g557_topology_002_empty,empty-16-16,empty,25,25,100002,500,b500_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000003,g557_ctx_00000003,g557_topology_003_random,random-32-32-20,random,25,25,100003,500,b500_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000004,g557_ctx_00000004,g557_topology_004_random,random-64-64-20,random,25,25,100004,500,b500_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000005,g557_ctx_00000005,g557_topology_005_random,random-32-32-10,random,25,25,100005,1000,b1000_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000006,g557_ctx_00000006,g557_topology_006_random,random-64-64-10,random,25,25,100006,1000,b1000_short250_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000007,g557_ctx_00000007,g557_topology_007_maze,maze-32-32-4,maze,25,25,100007,1000,b1000_short500_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000008,g557_ctx_00000008,g557_topology_008_maze,maze-32-32-2,maze,25,25,100008,1000,b1000_short500_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000009,g557_ctx_00000009,g557_topology_009_maze,maze-128-128-2,maze,25,25,100009,1000,b1000_short500_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000010,g557_ctx_00000010,g557_topology_010_maze,maze-128-128-10,maze,25,25,100010,2000,b2000_short500_t050_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000011,g557_ctx_00000011,g557_topology_011_room,room-32-32-4,room,25,25,100011,2000,b2000_short500_t100_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000012,g557_ctx_00000012,g557_topology_012_room,room-64-64-8,room,25,25,100012,2000,b2000_short500_t100_i2,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000013,g557_ctx_00000013,g557_topology_013_room,room-64-64-16,room,25,25,100013,2000,b2000_short500_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000014,g557_ctx_00000014,g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,25,25,100014,2000,b2000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000015,g557_ctx_00000015,g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,25,25,100015,5000,b5000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000016,g557_ctx_00000016,g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,25,25,100016,5000,b5000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000017,g557_ctx_00000017,g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,25,25,100017,5000,b5000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000018,g557_ctx_00000018,g557_topology_018_bottleneck,connector,bottleneck,25,25,100018,5000,b5000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000019,g557_ctx_00000019,g557_topology_019_bottleneck,corners,bottleneck,25,25,100019,5000,b5000_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000020,g557_ctx_00000020,g557_topology_020_bottleneck,tunnel,bottleneck,25,25,100020,500,b500_short1000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000021,g557_ctx_00000021,g557_topology_021_bottleneck,loop-chain,bottleneck,25,25,100021,500,b500_short2000_t100_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000022,g557_ctx_00000022,g557_topology_022_bottleneck,string,bottleneck,25,25,100022,500,b500_short2000_t200_i4,g556_c063174,250,True,False,False,False,False,False,False
g557_probe_000023,g557_ctx_00000023,g557_topology_023_bottleneck,tree,bottleneck,25,25,100023,500,b500_short2000_t200_i4,g556_c063174,250,True,False,False,False,False,False,False
