row_type,feature_name,pearson_corr_delta_vs_static,pearson_corr_harmful,unique_values,mean_value,map_agent,unique_rich_signatures
rich_feature_correlation,feature_rich_blocked_count,0.08651064337040082,0.0333430788099179,58,784.7333333333333,,
rich_feature_correlation,feature_rich_blocked_per_agent,0.08567806078163132,0.04991815540553507,57,9.390833333333306,,
rich_feature_correlation,feature_rich_blocked_per_committed,0.20299540237445346,0.11363096532433452,60,0.08677592748365005,,
rich_feature_correlation,feature_rich_c_flow_update_ratio,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_c_nonzero_edges,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_c_update_count,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_committed_count,-0.0844900364572706,-0.07118890434501575,51,9227.5,,
rich_feature_correlation,feature_rich_committed_per_agent,-0.12556697117920046,-0.06994613026239788,46,120.35,,
rich_feature_correlation,feature_rich_cost_bounds_respected,nan,nan,1,1.0,,
rich_feature_correlation,feature_rich_cost_max,nan,nan,1,2.0,,
rich_feature_correlation,feature_rich_cost_min,nan,nan,1,2.0,,
rich_feature_correlation,feature_rich_cost_span,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_f_nonzero_edges,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_f_update_count,nan,nan,1,0.0,,
rich_feature_correlation,feature_rich_nonprogress_committed_count,-0.09059855623005102,-0.07276326626464438,60,4948.833333333333,,
rich_feature_correlation,feature_rich_progress_committed_count,-0.07137550009909863,-0.06483943211031556,59,4278.666666666667,,
rich_feature_correlation,feature_rich_progress_ratio,0.0790329285498499,0.04277987038865402,60,0.4773624722255341,,
rich_feature_correlation,feature_rich_wait_event_count,0.07614969265010098,0.02963565873496415,58,368.26666666666665,,
rich_feature_correlation,feature_rich_wait_per_committed,0.19832197802606422,0.11675346499403909,59,0.04023027745985001,,
map_agent_leakage_suspicion,,,,,,maze-32-32-4|a100,10
map_agent_leakage_suspicion,,,,,,maze-32-32-4|a50,10
map_agent_leakage_suspicion,,,,,,random-32-32-20|a100,10
map_agent_leakage_suspicion,,,,,,random-32-32-20|a50,10
map_agent_leakage_suspicion,,,,,,warehouse-10-20-10-2-1|a100,10
map_agent_leakage_suspicion,,,,,,warehouse-10-20-10-2-1|a50,10
