budget_ms,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
1000,1280,1,0,320,959,-0.000751330056287,0,-0.000751330056287,-0.000751330056287,-0.000367598065609,149,700,110,149,37,False,False,False,False,False
2000,1280,37,38,246,959,-0.00125875171724,0,-0.00125875171724,-0.00125875171724,-0.00113839288815,254,518,187,292,49,False,False,False,False,False
500,1280,64,50,742,424,0,0,0,0,0.002734375,0,424,0,50,0,False,False,False,False,False
