batch,row_type,candidate_id,candidate_family,batch_candidate_index,old14_control,new_candidate,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,surrogate_selection_score,mean_predicted_new_gap_vs_old_oracle,predicted_harmful_risk,predicted_improvement_context_budget_pairs,nearest_g517_failed_param_distance,nearest_old14_param_distance
A,old14_control,repair5g59_additive_fallback,additive,0,True,False,,,,,,,,,,,,,,,
A,old14_control,repair5g59_block_heavy_flow_guard,block_heavy,1,True,False,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
A,old14_control,repair5g59_c_only_f_disabled,static_boundary,2,True,False,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True,,,,,,
A,old14_control,repair5g59_commit_heavy_flow_guard,commit_heavy,3,True,False,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
A,old14_control,repair5g59_fast_decay_low_shield,flow_decay,4,True,False,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False,,,,,,
A,old14_control,repair5g59_flow_decay,flow_decay,5,True,False,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False,,,,,,
A,old14_control,repair5g59_high_beta_cap_safe,high_beta,6,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,,,,,,
A,old14_control,repair5g59_light_cong_light_flow,static_boundary,7,True,False,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False,,,,,,
A,old14_control,repair5g59_low_beta_high_cap,low_beta_high_cap,8,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,,,,,,
A,old14_control,repair5g59_slow_decay_high_shield,flow_decay,9,True,False,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False,,,,,,
A,old14_control,repair5g59_static_abstain_candidate,static,10,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
