context_id,context_uid,topology_id,physical_map_sha256,start_goal_assignment_hash,graph_tensor_joined,traffic_tensor_joined,context_uid_nonempty,topology_id_nonempty,physical_map_hash_nonempty,start_goal_assignment_hash_nonempty,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,673ab03fef636f3dd5542c6ed061b3596de85dfd642febdfce84d93bd4dc6bab,g557_topology_000_empty,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,ef7225bd0e536468fe536d6ff18488c06e80021840c39a27450b66defb78b99f,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000001,7ab6f1938f3e2ebca35849cf39e1e7432352048400bc35d763d33205f95fbdaf,g557_topology_001_empty,ef39f3104cdd66232f1f5a52d3f7cc79f3f832881ef4b3f93d48ac5b3991d529,b408f1d8c1b6e2d7bea367b58bdf7229fed1e5ea9ea8c5e3933ea2411e40a00b,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000002,79126cdebfdcfd0c0a11a3ce595a1bcc2f9ed7f8185be2421b4b4654c9bc2f51,g557_topology_002_empty,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,f9eb460565b1d88a28e452aa867201c740d2802fc85333883adf5a635e5ea9ea,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000003,fd27e16066b04f578beb4bc8047bf0e5db643e8b0c80c033d797306954b10b1a,g557_topology_003_random,8ea906635f8f6fd7e707b4a850091799283ce888daf530521087bd0d22649206,0cc289f535b976104333ebcdb79ddaf13f9763d81bc4b138c9cf18105451245b,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000004,692ec4fa97b9c33f8b192e007da16324c35f06286c793b876f29198926094fa4,g557_topology_004_random,24f21d0389f624ec31dd9ef53368ae973761ef05e609f6a40e8ea5aa95b9e67f,fae01f29d50a762fba0d57782e57c0cddefc797169b570760957e933977abc54,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000005,968f4f96e973dfebc993de894331373220e2b186718a4fb80c06001e80e3f8f8,g557_topology_005_random,ca04eec63ebd66dedb752ec7d22c6f986727dbf0a1457348190cd5a29d3a9467,7a714f70ee6445ca12caa2078183fa8c6290022fdf19a7ab28ad1a1618baee8a,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000006,f3390d78ff787a38d61ebe73466aa747cf4bfef217bde58d284a2f8f1631c0c8,g557_topology_006_random,29cc1ce264afc04426dbad1e37bf23674297e20693aa2ea30396658a14067f98,92efeb022468e65f1ca56a01228c99f517cba5295dc689fef903052ae2c6836f,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000007,7fff45fb33dd1b358902b524d56a9da31b808d701c994e7f9571f9f4660dd9aa,g557_topology_007_maze,b7b2938c1cbf9259ee71ce9277d43204a416c6c5663035c81e28ea5549f91b0d,1adc72628ade73e8812ac4782ac0ef949cd11c71a8a69c14f78f797b1f47115b,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000008,c0af1de52e2634624de145f29e9bb2f8467c07d5948e89f42aa3af9475248f00,g557_topology_008_maze,95157c1cd3f060c3a74f66fab832df1901ea1c5665e66f613a73c59b96ef202a,e4d672ab2598348f67e6d918c7c05fce8724a4d9e2be0095e9319d4d40b78f9b,True,True,True,True,True,True,False,False,False,False,False
g557_ctx_00000009,5d6fdfe1a9d25c0505efcd3a2d8a977b155940a1e57b68e2287df61bca25da4f,g557_topology_009_maze,cd4a5fc548fdf69df51f3be761b9b29f6186609588906f1d758acd0b72c42ea5,7dbfb85e678765e5529280b99894818e7cb24188859a2e0bc54fea296b0da3d7,True,True,True,True,True,True,False,False,False,False,False
