control,expected_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,positive_candidate_count
static_flow_default,repair5g59_static_flow_shield,False,False,False,False,False,
candidate_shuffle_reported_only,,False,False,False,False,False,1
