evaluation_uid,label_state,positive_rows,harmful_rows,censored_rows,steps,lr,seed,initial_total_repaired_loss,final_total_repaired_loss,best_total_repaired_loss,initial_floor_corrected_positive_loss,best_floor_corrected_positive_loss,initial_nearest_harmful_margin_loss,best_nearest_harmful_margin_loss,oracle_initialized_at_g556,optimizer,weight_decay,uses_sigmoid_parameterization,projected_to_theta_bounds_each_step,oracle_theta_alpha_cong_commit_progress,oracle_theta_alpha_cong_commit_nonprogress,oracle_theta_alpha_cong_block,oracle_theta_alpha_cong_wait_progress,oracle_theta_alpha_cong_wait_nonprogress,oracle_theta_alpha_flow_commit_progress,oracle_theta_alpha_flow_wait_progress,oracle_theta_rho_cong_decay,oracle_theta_rho_flow_decay,oracle_theta_lambda_cong,oracle_theta_lambda_flow,oracle_theta_flow_shield_beta,oracle_theta_max_flow_shield,oracle_theta_min_edge_cost,oracle_theta_max_edge_cost
006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,MIXED_FRONTIER,30,33,0,120,0.04,564,0.00657715821368246,7.748411942741507e-05,0.0,0.00657715821368246,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.3283522129058838,1.1785703897476196,1.328886866569519,0.8340182900428772,0.8272015452384949,1.0057306289672852,0.7166722416877747,0.9790210723876953,0.9974213242530823,0.6851035356521606,0.6279562711715698,0.34130874276161194,0.9133397340774536,1.0,10.850204467773438
0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,MIXED_FRONTIER,43,21,0,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,MIXED_FRONTIER,38,26,0,120,0.04,564,0.001203241316316564,0.0,0.0,0.001203241316316564,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.2868480682373047,1.0918322801589966,1.1835386753082275,0.6631003022193909,0.7769047021865845,1.014198899269104,0.6875389218330383,0.9743753671646118,1.0,0.6267507076263428,0.6159233450889587,0.3337275981903076,0.9667227864265442,0.9955217838287354,10.751391410827637
0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,MIXED_FRONTIER,1,63,0,120,0.04,564,0.22028003819286823,0.0020275681745260954,0.0007634790963493288,0.19123664498329163,0.0007634790963493288,0.029043393209576607,0.0,True,AdamW,0.0,False,True,1.5,0.9519467949867249,0.5648770928382874,1.25,0.0,0.9746958613395691,0.8851211667060852,1.0,1.0,0.5,0.6821344494819641,0.08432529866695404,1.3417397737503052,1.0,10.870615005493164
00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,CENSORED_UNKNOWN,0,0,64,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,CENSORED_UNKNOWN,0,0,64,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,MIXED_FRONTIER,34,29,0,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,CENSORED_UNKNOWN,0,0,64,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,MIXED_FRONTIER,47,17,0,120,0.04,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AdamW,0.0,False,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377
01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,MIXED_FRONTIER,5,59,0,120,0.04,564,0.05258616547856525,0.003796246435267686,0.0017317149789152775,0.05258616547856525,0.0017317149789152775,0.0,0.0,True,AdamW,0.0,False,True,1.254185676574707,1.1940442323684692,1.3521157503128052,0.6674007773399353,0.6851591467857361,1.290041208267212,0.6072458624839783,0.9999201893806458,1.0,0.6226861476898193,0.7505454421043396,0.2732591927051544,0.7493342161178589,1.0,10.61424446105957
