model_kind,hidden_dim,size,seed,checkpoint_path,checkpoint_sha256,mean_train_risk,epochs,epochs_run,best_epoch,early_stop_patience,min_epochs,stopped_early,amp_bf16,initial_validation_risk,best_validation_risk,final_validation_risk,final_train_risk,loss_config_sha256,weight_decay,output_parameterization,anchor,residual_scale,theta_bounds_low,theta_bounds_high,theta_columns,step_zero_outputs_g556,topology_grad_norm,c0_grad_norm,f0_grad_norm,od_grad_norm,scalar_grad_norm,fusion_grad_norm,theta_head_grad_norm,trust_head_grad_norm
E0,64,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e0_n4_seed565_h64.pt,ab7e48fbcf8d644d3a21328cb3b468b00d10e9907ee6508c4d82b4d746575b47,0.008413845724725769,100,100,99,10,30,False,True,0.05701510943071682,0.008413845724725769,0.008413845724725769,0.00844623800367117,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.016424416349764215,0.011825287064311851,0.0168141536287294,0.008629715870483778,0.0009362406071886653,0.019811015983577818,0.07400065148249269,0.016900787129998207
E1,64,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e1_n4_seed565_h64.pt,edc92609f25491c8f4618523d107f0b839c586544d201fcd5cdae8ab3fa2fff1,0.01380714752842406,100,100,100,10,30,False,True,0.05701510943071682,0.01380714752842406,0.01380714752842406,0.013909462839365005,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.014529592401231639,0.0,0.0,0.019970759851275943,0.0007842528984838282,0.01043552387272939,0.05603864835575223,0.010216616792604327
B1,96,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_b1_n4_seed565_h96.pt,4018632e7b67ebbe6c973240ad07180380560935d26f1e96f4ebc244b62a0783,0.05500943076000371,100,100,100,10,30,False,True,0.05701510943071682,0.05500943076000371,0.05500943076000371,0.05503304302692413,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003761821717489511
B2,96,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_b2_n4_seed565_h96.pt,86480fd3715b32bb281852adbf2cb918bb47b6c0d98d5a274e1fcc848ab7638d,0.032596534966978674,100,100,100,10,30,False,True,0.05701510943071682,0.032596534966978674,0.032596534966978674,0.03296319395303726,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.011430475919041783,0.0,0.0274877124466002,0.004293514532037079
E0,96,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e0_n4_seed565_h96.pt,db3968cb9cc6336ff472358eb020701d63ea460d83df687122cef323e3e4f3c9,0.007679333150709414,100,100,96,10,30,False,True,0.05701510943071682,0.00767933403218183,0.00767933403218183,0.007761691696941853,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.00328106327833666,0.005080128462395805,0.003522262189335379,0.003378686436917633,0.00039781294435670134,0.012854168293415569,0.08514514146372676,0.02251662325579673
E1,96,4,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e1_n4_seed565_h96.pt,16d81bea40a042c6de9956cfa2902c416842377be478003a295a8e43fa2dcdca,0.010189102381468168,100,100,100,10,30,False,True,0.05701510943071682,0.010189102381468168,0.010189102381468168,0.010216922499239445,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.008722809332539327,0.0,0.0,0.01764894322695909,0.0007346497695834842,0.010305833857273683,0.04897078359499574,0.010226791840977967
B1,64,8,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_b1_n8_seed565_h64.pt,c155026224ec41d96cb6345fd1c09808187f1d10e8e6f61fc6ce46c7d3380912,0.03790831465919625,100,100,100,10,30,False,True,0.03909865029579623,0.03790831465919625,0.03790831465919625,0.03791828826069832,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018545521015767008
B2,64,8,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_b2_n8_seed565_h64.pt,4d1ebc4b2148411867832abb3c0a096288605423886f1fa2f4ebe7d5e707021d,0.03107438638332255,100,100,100,10,30,False,True,0.03909865029579623,0.03107438638332255,0.03107438638332255,0.03112293779850006,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.00733407522784546,0.0,0.02683051861822605,0.0028443820192478597
E0,64,8,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e0_n8_seed565_h64.pt,931823316b517c2f90a8467bee2e9ff70a668c6a72a1233522d1080a9abb0749,0.008602651998575123,100,100,100,10,30,False,True,0.03909865029579623,0.008602672444025206,0.0086026640798149,0.008839583955705166,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.026244747396049206,0.03871873964817496,0.030124813069051015,0.04855263889476191,0.0020156498885626206,0.021502669202163815,0.04816129012033343,0.00821360998088494
E1,64,8,565,artifacts/models/gcst/phase5p5_repair5g565_memorization_e1_n8_seed565_h64.pt,a05756bb79e0259f7085d40553c88cf3f88cd43e06e4a9802925450667b44bf1,0.01093178054346408,100,100,100,10,30,False,True,0.03909865029579623,0.01093178699324231,0.01093178699324231,0.011520775966346264,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.15534262621076778,0.0,0.0,0.19667147501604632,0.0052923828407074325,0.04506268200930208,0.055856394581496716,0.007947559177409858
