split,run_id,checkpoint_id,map_name,agents,seed,iteration,decision_target,selected_decision,target_rule,predicted_rule,fallback_reason,defer_reason,selection_stage,attention_top1,attention_top3,decision_correct,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,selected_rule_harmful,target_delta,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,best_safe_nonadditive_advantage,opportunity_margin,rule_scores,harmful_probs,opportunity_prob,defer_prob,safety_threshold_by_rule,safety_mask,best_safe_nonadditive_rule,best_safe_nonadditive_score,margin_vs_additive,margin_vs_defer,top3_rules,harmful_labels
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,50,1,0,use_nonadditive,use_nonadditive,wait_light,block_heavy,selected,,select_safe_nonadditive,False,True,True,0.0426356589147,0.0,0.0426356589147,0.0426356589147,0.0,0.0426356589147,False,0.077519379845,True,True,0.077519379845,0.01,"[-0.8925238288608671, -0.015546208620071411, 1.1621900923550128, 0.30223102688789366, 0.978727657198906, -0.5336596155166626, -1.2202104539243737, -1.0421990986983292]","[5.97892576479353e-05, 0.6373497843742371, 0.11871393769979477, 0.519865095615387, 0.3893515169620514, 0.5396653413772583, 0.0003407923795748502, 0.00020084937568753958]",0.8706448078155518,0.06691962480545044,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, true, false, false, false, true, true]",block_heavy,1.1621900923550128,2.05471392121588,0.8037251830101013,"[""block_heavy"", ""wait_light"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,50,1,1,use_nonadditive,use_nonadditive,commit_heavy,block_heavy,selected,,select_safe_nonadditive,False,False,True,0.21511627907,0.0,0.21511627907,0.1,0.0,0.1,False,0.135658914729,True,True,0.1,0.01,"[0.2334834194679388, 1.040064468383789, 1.0898118323087693, 1.095309163928032, 1.0677151548862458, 0.8193153744935989, 1.0481843274831772, 1.0723961210250854]","[6.673240022792015e-06, 0.5943410396575928, 0.3818794786930084, 0.42056313157081604, 0.5058473944664001, 0.4153430163860321, 0.45869091153144836, 0.3672916889190674]",0.9077848196029663,0.05183661729097366,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, true, false, false, false, false, true]",block_heavy,1.0898118323087693,0.8563284128408305,0.8559482023119926,"[""block_light"", ""block_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,50,1,2,use_nonadditive,use_nonadditive,block_light,wait_light,selected,,select_safe_nonadditive,False,False,True,0.0968992248062,0.0,0.0968992248062,0.0968992248062,0.0,0.0968992248062,False,0.0968992248062,True,True,0.0968992248062,0.01,"[0.053883775030917604, 1.0786330258846284, 1.089288402199745, 1.0757017976045609, 1.1014268520474433, 0.09009992837905884, 1.064306725859642, 1.076183284521103]","[2.165857222280465e-05, 0.5276225209236145, 0.16226527094841003, 0.3868597447872162, 0.18334327638149261, 0.5205841064453125, 0.43445876240730286, 0.3711300492286682]",0.8774766325950623,0.07322350889444351,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, true, true, true, false, false, true]",wait_light,1.1014268520474433,1.0475430770165257,0.8042531237006187,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,50,1,3,defer_ltm,defer_ltm,block_heavy,additive_ltm,low_opportunity,low_opportunity,defer_low_opportunity,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0077519379845,False,False,0.0077519379845,0.01,"[1.0410058553387354, 0.4818213641643524, 1.0203081285953521, 0.8512806975841523, 0.8809505426883697, 0.3518293833732605, 0.9786594080924987, 0.8879347157478332]","[7.721101428614929e-05, 0.8693423867225647, 0.5765442252159119, 0.7251794934272766, 0.6600989699363708, 0.7394535541534424, 0.6546667814254761, 0.6741746664047241]",0.32274046540260315,0.4513343274593353,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, false, false, false, false, false, false]",,,,-0.12859386205673218,"[""additive_ltm"", ""block_heavy"", ""decay_095""]","[0, 1, 0, 1, 0, 1, 1, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,100,1,0,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,,select_safe_nonadditive,True,True,True,0.0951923076923,0.0,0.0951923076923,0.0951923076923,0.0,0.0951923076923,False,0.0951923076923,True,True,0.0951923076923,0.01,"[-0.8598066929201014, 1.0216960620880127, 1.0128363555669784, -1.2680212843418122, 1.104969263970852, -1.8989957666397095, -0.8981780316219374, -0.8799447835340106]","[6.438900891225785e-05, 0.5093469619750977, 0.38381722569465637, 0.6303756833076477, 0.2417265921831131, 0.713700532913208, 0.00011874132178490981, 0.0001034183005685918]",0.8820083737373352,0.0664605125784874,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, true, false, true, false, true, true]",wait_light,1.104969263970852,1.9647759568909533,0.8155478611588478,"[""wait_light"", ""commit_heavy"", ""block_heavy""]","[0, 1, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,100,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,unsafe,unsafe,defer_unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0346153846154,True,True,0.0346153846154,0.01,"[0.16988233361393212, 0.907041631937027, 1.0488457077741622, -0.950498468875885, 1.0111797869205474, 0.3995644545555115, 0.9021556150913238, 0.8846976935863495]","[3.0977651476860046e-05, 0.6082732081413269, 0.4681378901004791, 0.6849560737609863, 0.552351176738739, 0.5790914297103882, 0.5104970335960388, 0.5541673302650452]",0.5062444806098938,0.37286293506622314,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, false, false, false, false, false, false]",,,,0.13338154554367065,"[""block_heavy"", ""wait_light"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 1]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,100,1,2,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,,select_safe_nonadditive,True,True,True,0.118269230769,0.0,0.118269230769,0.1,0.0,0.1,False,0.118269230769,True,True,0.1,0.01,"[0.0210384251576761, -0.14155345678329467, 0.9559022706747055, 0.9467886650562286, 1.0568834179639817, -0.6162659096717834, 0.2243250548839569, 0.034553513526916504]","[1.7275899153901264e-05, 0.6715235710144043, 0.4703167974948883, 0.39583760499954224, 0.2505916655063629, 0.6038525104522705, 0.4899236559867859, 0.49951446056365967]",0.8335310220718384,0.1266193836927414,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, false, true, true, false, false, false]",wait_light,1.0568834179639817,1.0358449928063056,0.706911638379097,"[""wait_light"", ""block_heavy"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,100,1,3,use_nonadditive,defer_ltm,decay_090,additive_ltm,low_opportunity,low_opportunity,defer_low_opportunity,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0471153846154,True,True,0.0471153846154,0.01,"[-0.10788499913993292, 0.9605729228258133, 1.057569391131401, 0.13892210364341737, 1.0526507502794267, -0.9182745969295502, 1.049380557537079, 1.038245141506195]","[0.0001041106297634542, 0.3705638349056244, 0.3875192701816559, 0.6179507374763489, 0.19464191794395447, 0.6446011662483215, 0.275396466255188, 0.27832090854644775]",0.4971710443496704,0.41116753220558167,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, true, true, false, true, false, true, true]",block_heavy,1.057569391131401,1.165454390271334,0.08600351214408875,"[""block_heavy"", ""wait_light"", ""decay_095""]","[0, 1, 1, 1, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,200,1,0,use_nonadditive,use_nonadditive,commit_heavy,wait_light,selected,,select_safe_nonadditive,False,True,True,1.12518482011,0.0,1.12518482011,0.1,0.0,0.1,False,1.14440611138,True,True,0.1,0.01,"[-1.223317522671423, 1.0724486744403838, 1.0731594681739807, -1.7484859001636506, 1.1172696223855019, -1.7632159829139709, -1.3210917587764561, -1.3887532914150507]","[0.0003168417315464467, 0.43727439641952515, 0.40760576725006104, 0.7166195511817932, 0.20889703929424286, 0.7204753160476685, 0.00737247709184885, 0.005668225232511759]",0.9677725434303284,0.033300094306468964,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, false, false, true, false, true, true]",wait_light,1.1172696223855019,2.340587145056925,0.9344724491238594,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,200,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,low_opportunity,low_opportunity,defer_low_opportunity,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.116806308526,True,True,0.1,0.01,"[0.014686297611551708, 0.839773918390274, 1.0294269359111785, -1.0176833856105805, 1.0743587428331376, -1.3794282507896423, -1.5043244183063507, -1.3031913566589355]","[4.116514537599869e-05, 0.7097410559654236, 0.4766700863838196, 0.8254587054252625, 0.26148948073387146, 0.7128289937973022, 0.8476129174232483, 0.8516755104064941]",0.1233474612236023,0.6151328086853027,"[1.01, 0.4, 0.4, 0.4, 0.3, 0.4, 0.4, 0.4]","[true, false, false, false, true, false, false, false]",wait_light,1.0743587428331376,1.059672445221586,-0.49178534746170044,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 1]"
