candidate_id,source_round,map_family,agents,seed,nominal_budget_ms,horizon_id,static_flow_success,candidate_success,candidate_minus_static_ratio_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g549_theta_549000633,g549_fulltheta,random,50,1412,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549000634,g549_fulltheta,random,50,1412,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001476,g549_fulltheta,random,50,1400,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001733,g549_fulltheta,random,50,1402,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001744,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001747,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001749,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001750,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001752,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001753,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001754,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001755,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001758,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001760,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001762,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
repair5g549_theta_549001764,g549_fulltheta,random,50,1403,2000,c0_short1000_t050_i2,True,False,,False,False,False,False,False
