target_rule,predicted_rule,selected_decision,count
None,additive_ltm,defer_ltm,6
None,commit_heavy,use_nonadditive,5
None,wait_light,use_nonadditive,5
block_heavy,additive_ltm,defer_ltm,52
block_heavy,block_heavy,use_nonadditive,7
block_heavy,block_light,use_nonadditive,1
block_heavy,commit_heavy,use_nonadditive,26
block_heavy,decay_095,use_nonadditive,4
block_heavy,wait_heavy,use_nonadditive,1
block_heavy,wait_light,use_nonadditive,13
block_light,additive_ltm,defer_ltm,25
block_light,block_light,use_nonadditive,1
block_light,commit_heavy,use_nonadditive,5
block_light,decay_090,use_nonadditive,2
block_light,wait_light,use_nonadditive,5
commit_heavy,additive_ltm,defer_ltm,34
commit_heavy,block_heavy,use_nonadditive,3
commit_heavy,commit_heavy,use_nonadditive,50
commit_heavy,decay_090,use_nonadditive,2
commit_heavy,decay_095,use_nonadditive,2
commit_heavy,wait_heavy,use_nonadditive,2
commit_heavy,wait_light,use_nonadditive,8
decay_090,additive_ltm,defer_ltm,10
decay_090,commit_heavy,use_nonadditive,6
decay_090,decay_095,use_nonadditive,1
decay_090,wait_light,use_nonadditive,2
decay_095,additive_ltm,defer_ltm,19
decay_095,block_heavy,use_nonadditive,1
decay_095,block_light,use_nonadditive,1
decay_095,commit_heavy,use_nonadditive,10
decay_095,decay_095,use_nonadditive,1
decay_095,wait_heavy,use_nonadditive,1
decay_095,wait_light,use_nonadditive,8
wait_heavy,additive_ltm,defer_ltm,30
wait_heavy,block_heavy,use_nonadditive,4
wait_heavy,commit_heavy,use_nonadditive,21
wait_heavy,wait_heavy,use_nonadditive,2
wait_heavy,wait_light,use_nonadditive,7
wait_light,additive_ltm,defer_ltm,36
wait_light,block_heavy,use_nonadditive,3
wait_light,commit_heavy,use_nonadditive,13
wait_light,decay_090,use_nonadditive,2
wait_light,decay_095,use_nonadditive,2
wait_light,wait_heavy,use_nonadditive,1
wait_light,wait_light,use_nonadditive,19
