theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,support_pairs,pair_rows,seed_block_support,vs_static_flow_success_regression_count,vs_static_flow_success_regression_rate,vs_static_flow_quality_only_mean_delta,better_count_vs_static_flow,worse_count_vs_static_flow,development_near_miss_profile,region_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
goal_projection_mode_ablation,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,0.00128791908704,138,100,False,safe_but_no_gain,False,False,False,False,False
negative_control,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,0.00864409385219,125,116,False,safe_but_no_gain,False,False,False,False,False
