context_key,map,map_family,agents,seed,budget_ms,sampling_policy,selected_candidate,selected_method,baseline_role,baseline_candidate,selected_success,baseline_success,selected_ratio,baseline_ratio,quality_delta_ratio,corrected_delta_ratio_for_mean,success_regression,success_gain,both_success,both_fail,better,worse,safe_high_margin_gain,seed_block,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,context_horizon_key,panel,route,theta_cluster,registry_label,candidate_group,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
random-32-32-20|50|2243|2000|0|14650fb0739d0383,random-32-32-20,random,50,2243,2000,checkpoint_residual_expansion,repair5g551_theta_551000329,repair5g551_theta_551000329,static_flow_shield,repair5g59_static_flow_shield,False,True,,0.694037656904,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short2000_t050_i2,2000,2000,0.5,2,random-32-32-20|50|2243|2000|iteration_label_expansion_failure_short2000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,checkpoint_residual_expansion,active_checkpoint_residual_00328,checkpoint_residual_expansion,1.25,0.952822220045,1.25,0.75,0.75,1,1.14,0.95,1,0.830502850339,0.88,0.317,0.933,0.91,11.413,1,0,0
random-32-32-20|50|2247|1000|0|14650fb0739d0383,random-32-32-20,random,50,2247,2000,conservative_shrinkage_10,repair5g551_theta_551000127,repair5g551_theta_551000127,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.12953367876,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2247|2000|iteration_label_expansion_failure_short1000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,conservative_shrinkage_10,toward_static_flow_shield,conservative_shrinkage_10,1.25,1.2725,1.25,0.75,0.75,1,0.98,0.95,1,1.012,1.011,0.35595,0.762,0.974705343173,10.8104441948,1,0,0
random-32-32-20|50|2247|1000|0|14650fb0739d0383,random-32-32-20,random,50,2247,2000,g550_safe_useful_positive,repair5g551_theta_551000004,repair5g551_theta_551000004,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.12953367876,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2247|2000|iteration_label_expansion_failure_short1000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,g550_safe_useful_positive,g550_targeted_safe_useful_theta,g550_safe_useful_positive,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0
random-32-32-20|50|2247|1000|0|14650fb0739d0383,random-32-32-20,random,50,2247,2000,g550_safe_useful_positive,repair5g551_theta_551000034,repair5g551_theta_551000034,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.12953367876,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2247|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,g550_safe_useful_positive,g550_targeted_safe_useful_theta,g550_safe_useful_positive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.639204013402,10.1125523266,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,risk_control_ablation,repair5g551_theta_551000367,repair5g551_theta_551000367,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_failure_short1000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,risk_control_ablation,lower_usage_risk_control,risk_control_ablation,1.25,1.25,1.25,0.75,0.75,1,0.7,0.95,1,1,0.7,0.2,0.75,1,11,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,safe_expert_mixture_lower_usage,repair5g551_theta_551000089,repair5g551_theta_551000089,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_failure_short1000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,safe_expert_mixture_lower_usage,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,1.25,1.33848835673,1.25,0.75,0.75,1,0.87,0.95,1,0.784232867155,0.84,0.4165,0.5925,0.84,8.91,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000284,repair5g551_theta_551000284,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00283,checkpoint_residual_expansion,1.25,1.25,1.25,0.75,0.75,1,1.042,0.95,1,0.933,0.95,0.309,0.803,0.592824218352,9.44415730769,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000285,repair5g551_theta_551000285,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00284,checkpoint_residual_expansion,1.25,1.25,1.25,0.75,0.75,1,0.921,0.95,1,0.978,1.041,0.396,0.83,0.863522376955,10.2281874916,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000286,repair5g551_theta_551000286,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00285,checkpoint_residual_expansion,1.25,1.25,1.25,0.75,0.75,1,0.942,0.95,1,0.968,1.035,0.279,0.726,0.516294389411,11.8715920748,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000290,repair5g551_theta_551000290,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00289,checkpoint_residual_expansion,1.25,1.25,1.25,0.75,0.75,1,0.988,0.95,1,0.944,0.957,0.379,0.655,0.868626801652,10.8450116523,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000295,repair5g551_theta_551000295,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00294,checkpoint_residual_expansion,1.25,0.975,1.25,0.75,0.75,1,0.766532883555,0.95,1,1.109,0.6437794722,0.4005,0.9185,0.834,11.928,1,0,0
random-32-32-20|50|2248|1000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,checkpoint_residual_expansion,repair5g551_theta_551000296,repair5g551_theta_551000296,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,checkpoint_residual_expansion,active_checkpoint_residual_00295,checkpoint_residual_expansion,0,0.5,0.5,0,0,0,0,0.9,0.9,0.5,0.014,0.092,0.25,0.277,8,1,0,0
random-32-32-20|50|2248|2000|0|14650fb0739d0383,random-32-32-20,random,50,2248,2000,conservative_shrinkage_25,repair5g551_theta_551000132,repair5g551_theta_551000132,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18157181572,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short2000_t050_i2,2000,2000,0.5,2,random-32-32-20|50|2248|2000|iteration_label_expansion_failure_short2000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,conservative_shrinkage_25,toward_static_flow_shield,conservative_shrinkage_25,1.25,1.30625,1.25,0.75,0.75,1,1.0475,0.95,1,0.9725,0.9775,0.34475,0.781875,0.930378285866,10.475530254,1,0,0
random-32-32-20|50|2249|1000|0|14650fb0739d0383,random-32-32-20,random,50,2249,2000,risk_control_ablation,repair5g551_theta_551000367,repair5g551_theta_551000367,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18139963168,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_failure_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2249|2000|iteration_label_expansion_failure_short1000_t050_i2,iteration_label_expansion,B_targeted_failure_analog,risk_control_ablation,lower_usage_risk_control,risk_control_ablation,1.25,1.25,1.25,0.75,0.75,1,0.7,0.95,1,1,0.7,0.2,0.75,1,11,1,0,0
random-32-32-20|50|2249|1000|0|14650fb0739d0383,random-32-32-20,random,50,2249,2000,g550_safe_useful_positive,repair5g551_theta_551000052,repair5g551_theta_551000052,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.18139963168,,0.25,True,False,False,False,False,False,False,2240_2259,False,False,False,False,False,iteration_label_expansion_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|2249|2000|iteration_label_expansion_short1000_t050_i2,iteration_label_expansion,A_core_calibrated_evaluable,g550_safe_useful_positive,g550_targeted_safe_useful_theta,g550_safe_useful_positive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.638507206606,10.1160466093,1,0,0
