bool_as_int_violation,gate,is_bool,is_numeric,source,type,value_repr,zero_count_gate,zero_count_strict_pass
False,determinism_repeat_gates_passed,True,False,g3_determinism_repeat,bool,True,False,False
False,phase5p5_allowed,True,False,g3_determinism_repeat,bool,False,False,False
False,phase6_allowed,True,False,g3_determinism_repeat,bool,False,False,False
False,raw_control_parity_exact,True,False,g3_determinism_repeat,bool,False,False,False
False,schema_errors,False,True,g3_determinism_repeat,int,0,True,True
False,selected_mean_delta_sign_stable,True,False,g3_determinism_repeat,bool,True,False,False
False,selected_repeat_mean_delta_ratio_vs_ltm_lt_0_repeats,False,True,g3_determinism_repeat,int,3,False,False
False,selected_success_worse_than_ltm_groups,False,True,g3_determinism_repeat,int,0,False,True
False,solver_crash_count,False,True,g3_determinism_repeat,int,0,True,True
False,strict_control_parity_exact_for_non_timeout_equivalent_controls,True,False,g3_determinism_repeat,bool,True,False,False
False,true_semantic_parity_mismatch_count,False,True,g3_determinism_repeat,int,0,True,True
False,true_semantic_parity_mismatch_count_zero,True,False,g3_determinism_repeat,bool,True,False,False
False,missing_rows,False,True,g3_determinism_repeat,int,0,True,True
False,schema_errors,False,True,g3_determinism_repeat,int,0,True,True
False,solver_crash_count,False,True,g3_determinism_repeat,int,0,True,True
False,row_count,False,True,g3_determinism_repeat,int,3240,True,False
False,expected_row_count,False,True,g3_determinism_repeat,int,3240,True,False
False,additive_parity_exact,True,False,g3_broader,bool,False,False,False
False,all_costs_finite,True,False,g3_broader,bool,True,False,False
False,best_c_equiv_at_least_0p006_worse_than_best_flow,True,False,g3_broader,bool,True,False,False
False,best_flow_shield_mean_delta_ratio_vs_ltm_lt_neg_0p010,True,False,g3_broader,bool,True,False,False
False,best_scalar_at_least_0p006_worse_than_best_flow,True,False,g3_broader,bool,True,False,False
False,cost_bounds_respected,True,False,g3_broader,bool,True,False,False
False,dual_additive_parity_exact,True,False,g3_broader,bool,False,False,False
False,dual_c_equiv_additive_parity_exact,True,False,g3_broader,bool,False,False,False
False,expected_rows_full,True,False,g3_broader,bool,True,False,False
False,flow_shield_family_beats_random_median,True,False,g3_broader,bool,True,False,False
False,flow_shield_family_beats_shuffled_goal_progress_median,True,False,g3_broader,bool,True,False,False
False,laur_disable_parity_exact,True,False,g3_broader,bool,False,False,False
False,laur_force_additive_direct_parity_exact,True,False,g3_broader,bool,False,False,False
False,missing_rows,False,True,g3_broader,int,0,True,True
False,no_ids_le_65_used_as_g3_fresh_validation,True,False,g3_broader,bool,True,False,False
False,phase5p5_allowed,True,False,g3_broader,bool,False,False,False
False,phase6_allowed,True,False,g3_broader,bool,False,False,False
False,protocol_gates_passed,True,False,g3_broader,bool,False,False,False
False,representation_gates_passed,True,False,g3_broader,bool,True,False,False
False,schema_errors,False,True,g3_broader,int,0,True,True
False,selected_better_gt_worse,True,False,g3_broader,bool,True,False,False
False,selected_bootstrap_probability_mean_delta_lt_0_ge_0p99,True,False,g3_broader,bool,True,False,False
False,selected_gates_passed,True,False,g3_broader,bool,True,False,False
False,selected_mean_delta_ratio_vs_ltm_lt_neg_0p008,True,False,g3_broader,bool,True,False,False
False,selected_ratio_worse_than_ltm_groups_le_1,True,False,g3_broader,bool,True,False,False
False,selected_success_worse_than_ltm_groups_eq_0,True,False,g3_broader,bool,True,False,False
False,selector_vs_static_classification,False,False,g3_broader,str,'tied_within_0p001',False,False
False,solver_crash_count,False,True,g3_broader,int,0,True,True
False,true_semantic_parity_mismatch_count,False,True,g3_broader,int,0,True,True
False,missing_rows,False,True,g3_broader,int,0,True,True
False,schema_errors,False,True,g3_broader,int,0,True,True
False,solver_crash_count,False,True,g3_broader,int,0,True,True
False,row_count,False,True,g3_broader,int,6240,True,False
False,expected_row_count,False,True,g3_broader,int,6240,True,False
