feature,validity_class,runtime_model_allowed,f0_static_context_only,f1_fixed_staticflow_trace,f2_full_diagnostic_not_runtime,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_map_family_maze,pre_context_static,True,True,True,True,False,False,False,False,False
feature_map_family_random,pre_context_static,True,True,True,True,False,False,False,False,False
feature_map_family_warehouse,pre_context_static,True,True,True,True,False,False,False,False,False
feature_agents,pre_context_static,True,True,True,True,False,False,False,False,False
feature_budget_ms,pre_context_static,True,True,True,True,False,False,False,False,False
feature_iteration_final,pre_context_static,True,True,True,True,False,False,False,False,False
feature_obstacle_ratio_proxy,pre_context_static,True,True,True,True,False,False,False,False,False
feature_corridor_proxy,pre_context_static,True,True,True,True,False,False,False,False,False
feature_junction_proxy,pre_context_static,True,True,True,True,False,False,False,False,False
feature_trace_event_count,pre_trace_from_fixed_fallback,True,False,True,True,False,False,False,False,False
feature_trace_events_per_agent,pre_trace_from_fixed_fallback,True,False,True,True,False,False,False,False,False
feature_pibt_failure_audit_count,pre_trace_from_fixed_fallback,True,False,True,True,False,False,False,False,False
feature_expanded_nodes,post_solver_leakage,False,False,False,True,False,False,False,False,False
feature_high_level_expansions,post_solver_leakage,False,False,False,True,False,False,False,False,False
feature_low_level_pibt_calls,post_solver_leakage,False,False,False,True,False,False,False,False,False
feature_expansions_per_agent,post_solver_leakage,False,False,False,True,False,False,False,False,False
feature_budget_per_agent,pre_context_static,True,True,True,True,False,False,False,False,False
