map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
random-32-32-20,100,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.267150755212,268.2,317.5,1.0,32135.3,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.39999999999997726
random-32-32-20,100,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.269562964201,261.7,317.3,1.0,30142.8,0.44673999999999997,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 30}",0.0024122089889999643,-6.5,0.19999999999998863
random-32-32-20,100,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.267150755212,268.2,317.7,1.0,32135.3,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.5999999999999659
random-32-32-20,100,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.269562964201,261.7,317.5,1.0,30142.8,0.42972,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 27, ""decay_090"": 3}",0.0024122089889999643,-6.5,0.39999999999997726
warehouse-10-20-10-2-1,50,lacam_star_ltm,10,10,1.0,1.082185273507,380.4,1217.8,1.0,18872.1,0.0,0.0,0.0,0.0,,,,{},,,
warehouse-10-20-10-2-1,50,repair5e4_calibrated_guard_only_on_e3_split,10,10,1.0,1.082185273507,381.5,1222.7,1.0,18927.1,0.31069,1.9,1.0,0.0,0.3448275862068966,0.0,,"{""additive_ltm"": 19}",0.0,1.1000000000000227,4.900000000000091
warehouse-10-20-10-2-1,50,repair5e4_closed_loop_utility_selector,10,10,1.0,1.082185273507,381.6,1225.8,1.0,18927.1,0.37312,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,1.2000000000000455,8.0
warehouse-10-20-10-2-1,50,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.082185273507,381.5,1227.2,1.0,18927.1,0.0,0.0,1.0,0.0,0.3448275862068966,0.0,,"{""additive_ltm"": 19}",0.0,1.1000000000000227,9.400000000000091
warehouse-10-20-10-2-1,50,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.082185273507,381.6,1176.0,1.0,18927.1,0.37217,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,1.2000000000000455,-41.799999999999955
warehouse-10-20-10-2-1,50,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.082185273507,381.6,1211.5,1.0,18927.1,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,1.2000000000000455,-6.2999999999999545
warehouse-10-20-10-2-1,50,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.082185273507,381.6,1179.6,1.0,18927.1,0.40265,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,1.2000000000000455,-38.200000000000045
warehouse-10-20-10-2-1,100,lacam_star_ltm,10,10,1.0,1.178282383689,211.3,2355.7,1.0,20922.3,0.0,0.0,0.0,0.0,,,,{},,,
warehouse-10-20-10-2-1,100,repair5e4_calibrated_guard_only_on_e3_split,10,10,1.0,1.178282383689,211.3,2336.5,1.0,20922.3,0.21598,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-19.199999999999818
warehouse-10-20-10-2-1,100,repair5e4_closed_loop_utility_selector,10,10,1.0,1.178282383689,211.3,2336.8,1.0,20922.3,0.24152,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-18.899999999999636
warehouse-10-20-10-2-1,100,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.178282383689,211.3,2323.0,1.0,20922.3,0.0,0.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-32.69999999999982
warehouse-10-20-10-2-1,100,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.178282383689,211.3,2329.8,1.0,20922.3,0.25095,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-25.899999999999636
warehouse-10-20-10-2-1,100,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.178282383689,211.3,2345.1,1.0,20922.3,0.0,0.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-10.599999999999909
warehouse-10-20-10-2-1,100,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.178282383689,211.3,2329.3,1.0,20922.3,0.23444,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,-26.399999999999636
