budget_ms,pairs,success_regression_count,quality_only_pairs,mean_corrected_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
1000,272,0,154,0,False,False,False,False,False
2000,250,0,176,0,False,False,False,False,False
